date,clicks_nonbrand,clicks_brand,impressions_nonbrand,impressions_brand,clicks_property,impressions_property,clicks_anonymized,impressions_anonymized
2026-06-17,0.0,0.0,7.0,0.0,0,27,0.0,20.0
2026-06-18,0.0,0.0,9.0,0.0,0,22,0.0,13.0
2026-06-19,0.0,0.0,3.0,0.0,0,5,0.0,2.0
2026-06-22,0.0,0.0,1.0,0.0,0,35,0.0,34.0
2026-06-23,0.0,0.0,1.0,0.0,0,20,0.0,19.0
2026-06-24,0.0,0.0,3.0,0.0,1,25,1.0,22.0
2026-06-25,0.0,1.0,4.0,1.0,1,11,0.0,6.0
2026-06-27,0.0,0.0,2.0,0.0,0,5,0.0,3.0
2026-06-30,0.0,0.0,4.0,0.0,0,9,0.0,5.0
2026-07-01,0.0,0.0,5.0,0.0,0,12,0.0,7.0
2026-07-02,0.0,0.0,2.0,6.0,0,14,0.0,6.0
2026-07-03,0.0,0.0,4.0,0.0,0,10,0.0,6.0
2026-07-04,0.0,0.0,5.0,0.0,2,13,2.0,8.0
2026-07-05,0.0,0.0,8.0,0.0,0,28,0.0,20.0
2026-07-06,0.0,0.0,4.0,0.0,0,8,0.0,4.0
2026-07-07,0.0,0.0,7.0,0.0,1,24,1.0,17.0
2026-07-08,0.0,0.0,4.0,0.0,0,16,0.0,12.0
2026-07-09,0.0,0.0,8.0,0.0,1,20,1.0,12.0
2026-07-10,0.0,0.0,11.0,1.0,0,23,0.0,11.0
2026-07-11,0.0,0.0,13.0,0.0,1,22,1.0,9.0
2026-07-12,0.0,0.0,7.0,0.0,1,39,1.0,32.0
2026-07-13,0.0,0.0,9.0,0.0,2,49,2.0,40.0
2026-07-14,0.0,0.0,7.0,1.0,2,51,2.0,43.0
2026-07-15,0.0,1.0,14.0,1.0,1,44,0.0,29.0
2026-07-16,0.0,0.0,11.0,0.0,0,47,0.0,36.0
2026-07-17,0.0,0.0,11.0,0.0,0,39,0.0,28.0
2026-07-18,0.0,0.0,12.0,0.0,0,26,0.0,14.0
2026-07-19,0.0,0.0,11.0,0.0,0,43,0.0,32.0
2026-07-20,0.0,0.0,11.0,0.0,0,38,0.0,27.0
2026-07-21,0.0,0.0,14.0,0.0,1,49,1.0,35.0
2026-07-22,0.0,0.0,9.0,0.0,3,56,3.0,47.0
2026-07-23,0.0,0.0,14.0,0.0,0,37,0.0,23.0
2026-07-24,0.0,0.0,17.0,0.0,0,53,0.0,36.0
2026-07-25,0.0,0.0,16.0,0.0,0,31,0.0,15.0
2026-07-26,0.0,1.0,10.0,1.0,2,41,1.0,30.0
2026-07-27,0.0,0.0,19.0,0.0,1,48,1.0,29.0
2026-07-28,0.0,0.0,29.0,0.0,1,77,1.0,48.0
2026-07-29,0.0,0.0,36.0,0.0,1,94,1.0,58.0
2026-07-30,0.0,0.0,30.0,0.0,2,94,2.0,64.0
2026-07-31,0.0,0.0,36.0,0.0,0,114,0.0,78.0
2026-08-01,0.0,0.0,35.0,0.0,0,104,0.0,69.0
2026-08-02,0.0,0.0,93.0,0.0,3,193,3.0,100.0
2026-08-03,0.0,0.0,161.0,0.0,4,226,4.0,65.0
2026-08-04,1.0,1.0,138.0,1.0,2,211,0.0,72.0
2026-08-05,0.0,0.0,173.0,0.0,4,234,4.0,61.0
2026-08-06,2.0,0.0,346.0,0.0,5,465,3.0,119.0
2026-08-07,2.0,0.0,187.0,0.0,7,276,5.0,89.0
2026-08-08,0.0,0.0,121.0,0.0,2,196,2.0,75.0
2026-08-09,1.0,0.0,190.0,0.0,9,313,8.0,123.0
2026-08-10,0.0,0.0,246.0,0.0,3,375,3.0,129.0
2026-08-11,3.0,0.0,260.0,2.0,5,400,2.0,138.0
2026-08-12,2.0,0.0,244.0,0.0,6,379,4.0,135.0
2026-08-13,0.0,0.0,326.0,0.0,2,469,2.0,143.0
2026-08-14,2.0,0.0,398.0,0.0,5,558,3.0,160.0
2026-08-15,7.0,0.0,381.0,2.0,10,525,3.0,142.0
2026-08-16,2.0,0.0,261.0,1.0,9,441,7.0,179.0
2026-08-17,1.0,0.0,532.0,0.0,4,749,3.0,217.0
2026-08-18,4.0,0.0,522.0,0.0,15,766,11.0,244.0
2026-08-19,1.0,0.0,510.0,0.0,10,718,9.0,208.0
2026-08-20,2.0,0.0,563.0,0.0,13,793,11.0,230.0
2026-08-21,4.0,1.0,556.0,4.0,13,814,8.0,254.0
2026-08-22,2.0,0.0,528.0,0.0,10,720,8.0,192.0
2026-08-23,9.0,2.0,777.0,2.0,14,1007,3.0,228.0
2026-08-24,6.0,0.0,945.0,0.0,17,1216,11.0,271.0
2026-08-25,12.0,0.0,1302.0,0.0,18,1591,6.0,289.0
2026-08-26,9.0,0.0,982.0,1.0,13,1284,4.0,301.0
2026-08-27,12.0,0.0,1205.0,1.0,19,1491,7.0,285.0
2026-08-28,11.0,0.0,1025.0,0.0,15,1263,4.0,238.0
2026-08-29,13.0,1.0,894.0,1.0,20,1117,6.0,222.0
2026-08-30,11.0,0.0,1093.0,1.0,19,1343,8.0,249.0
2026-08-31,15.0,0.0,1216.0,0.0,25,1533,10.0,317.0
2026-09-01,13.0,0.0,1358.0,0.0,21,1685,8.0,327.0
2026-09-02,25.0,0.0,3601.0,0.0,34,4078,9.0,477.0
2026-09-03,35.0,0.0,4869.0,0.0,47,5431,12.0,562.0
2026-09-04,28.0,0.0,3665.0,1.0,39,4112,11.0,446.0
2026-09-05,28.0,1.0,2606.0,1.0,43,2930,14.0,323.0
2026-09-06,32.0,0.0,4081.0,0.0,42,4583,10.0,502.0
2026-09-07,23.0,0.0,3801.0,0.0,39,4336,16.0,535.0
2026-09-08,22.0,0.0,4137.0,0.0,34,4663,12.0,526.0
2026-09-09,30.0,0.0,4321.0,3.0,49,4884,19.0,560.0
2026-09-10,42.0,1.0,4188.0,3.0,57,4692,14.0,501.0
2026-09-11,40.0,0.0,4578.0,1.0,52,5073,12.0,494.0
2026-09-12,29.0,0.0,3467.0,0.0,37,3902,8.0,435.0
2026-09-13,55.0,0.0,4310.0,0.0,86,4900,31.0,590.0
2026-09-14,26.0,0.0,3547.0,0.0,42,4096,16.0,549.0
