query,topic,language,total_impressions_90d,total_clicks_90d,competing_urls,urls,clicks_per_url,impressions_per_url,positions_per_url,dominant_url,dominant_share_pct,dominant_url_last28,dominant_url_prev28,dominant_url_changed,same_locale,verdict,note,likely_primary_url
o'zbekistonda biznes uchun ai bot,chatbot_dev,uz,66,0,3,https://gptbot.uz/uz/ | https://gptbot.uz/uz/blog/biznes-uchun-ai-bot-nima-oddiy-tushuntirish/ | https://gptbot.uz/uz/biznes-uchun-ai-bot/,0 | 0 | 0,12 | 11 | 9,11.1 | 12.1 | 11.3,https://gptbot.uz/uz/,18.2,https://gptbot.uz/uz/,https://gptbot.uz/ru/blog/ai-bot-dlya-biznesa-v-uzbekistane/,True,True,home_vs_landing_review,homepage competes with a dedicated page; check internal links and title,https://gptbot.uz/uz/
chatgpt uzbekcha,chatgpt_online,uz,985,6,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/ru/gpt-chat/,4 | 2,873 | 111,6.2 | 6.4,https://gptbot.uz/uz/gpt-uzbek-tilida/,88.6,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt uz,chatgpt_online,neutral,801,12,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,9 | 3,474 | 326,4.7 | 6.0,https://gptbot.uz/ru/gpt-chat/,59.2,https://gptbot.uz/ru/gpt-chat/,https://gptbot.uz/ru/gpt-chat/,False,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
chatgpt uzbekcha скачать,chatgpt_download,uz,328,3,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2 | 0,243 | 67,8.9 | 7.4,https://gptbot.uz/ru/gpt-chat/,74.1,https://gptbot.uz/ru/gpt-chat/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
chatgpt ozbekcha,chatgpt_online,uz,257,2,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,0 | 2,137 | 119,5.5 | 6.5,https://gptbot.uz/ru/gpt-chat/,53.3,https://gptbot.uz/ru/gpt-chat/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt yozish,chatgpt_online,uz,243,1,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,1 | 0,209 | 34,8.9 | 8.9,https://gptbot.uz/ru/gpt-chat/,86.0,https://gptbot.uz/ru/gpt-chat/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
chat gpt uzbekcha,chatgpt_online,uz,180,5,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/ru/gpt-chat/,1 | 4,161 | 18,5.9 | 4.6,https://gptbot.uz/uz/gpt-uzbek-tilida/,89.4,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
чат гпт узбекча,chatgpt_online,uz,176,3,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/ru/gpt-chat/,3 | 0,136 | 40,5.9 | 4.8,https://gptbot.uz/uz/gpt-uzbek-tilida/,77.3,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt uzbekistan,chatgpt_online,en,170,4,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,4 | 0,96 | 73,4.2 | 5.6,https://gptbot.uz/ru/gpt-chat/,56.5,https://gptbot.uz/ru/gpt-chat/,https://gptbot.uz/ru/gpt-chat/,False,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
chatgpt uzb,chatgpt_online,uz,125,2,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,2 | 0,96 | 29,4.6 | 6.1,https://gptbot.uz/ru/gpt-chat/,76.8,https://gptbot.uz/ru/gpt-chat/,https://gptbot.uz/ru/gpt-chat/,False,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
