country,current_clicks,current_impressions,current_ctr,current_position,current_clicks_share_pct,current_impressions_share_pct,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change
uzb,675.0,65086.0,0.0104,6.79,80.1,86.8,65.0,4423.0,0.0147,10.78,610.0,938.5,60663.0,1371.5,-0.0043,-3.99
rus,114.0,4888.0,0.0233,16.64,13.5,6.5,13.0,998.0,0.013,32.27,101.0,776.9,3890.0,389.8,0.0103,-15.63
ukr,4.0,1155.0,0.0035,44.68,0.5,1.5,0.0,498.0,0.0,54.14,4.0,,657.0,131.9,0.0035,-9.46
usa,1.0,472.0,0.0021,15.94,0.1,0.6,0.0,68.0,0.0,15.71,1.0,,404.0,594.1,0.0021,0.23
kaz,2.0,334.0,0.006,8.75,0.2,0.4,2.0,83.0,0.0241,17.63,0.0,0.0,251.0,302.4,-0.0181,-8.88
gbr,1.0,310.0,0.0032,32.72,0.1,0.4,0.0,52.0,0.0,53.62,1.0,,258.0,496.2,0.0032,-20.9
kgz,8.0,267.0,0.03,6.36,0.9,0.4,0.0,32.0,0.0,9.12,8.0,,235.0,734.4,0.03,-2.76
tjk,6.0,261.0,0.023,6.21,0.7,0.3,2.0,22.0,0.0909,7.95,4.0,200.0,239.0,1086.4,-0.0679,-1.74
blr,2.0,214.0,0.0093,10.98,0.2,0.3,2.0,54.0,0.037,12.94,0.0,0.0,160.0,296.3,-0.0277,-1.96
deu,3.0,190.0,0.0158,19.95,0.4,0.3,0.0,44.0,0.0,27.05,3.0,,146.0,331.8,0.0158,-7.1
tur,4.0,183.0,0.0219,19.64,0.5,0.2,2.0,30.0,0.0667,42.2,2.0,100.0,153.0,510.0,-0.0448,-22.56
lva,0.0,166.0,0.0,48.39,0.0,0.2,0.0,62.0,0.0,62.77,0.0,,104.0,167.7,0.0,-14.38
cze,0.0,166.0,0.0,54.57,0.0,0.2,0.0,67.0,0.0,69.52,0.0,,99.0,147.8,0.0,-14.95
nld,3.0,142.0,0.0211,10.83,0.4,0.2,0.0,43.0,0.0,11.74,3.0,,99.0,230.2,0.0211,-0.91
kor,2.0,108.0,0.0185,6.81,0.2,0.1,0.0,6.0,0.0,3.5,2.0,,102.0,1700.0,0.0185,3.31
mda,0.0,71.0,0.0,41.86,0.0,0.1,0.0,18.0,0.0,30.28,0.0,,53.0,294.4,0.0,11.58
fra,0.0,47.0,0.0,26.06,0.0,0.1,0.0,10.0,0.0,46.0,0.0,,37.0,370.0,0.0,-19.94
tkm,4.0,47.0,0.0851,6.11,0.5,0.1,2.0,9.0,0.2222,7.67,2.0,100.0,38.0,422.2,-0.1371,-1.56
isr,1.0,46.0,0.0217,12.61,0.1,0.1,0.0,26.0,0.0,21.65,1.0,,20.0,76.9,0.0217,-9.04
pol,1.0,43.0,0.0233,12.6,0.1,0.1,0.0,18.0,0.0,33.61,1.0,,25.0,138.9,0.0233,-21.01
are,0.0,42.0,0.0,25.95,0.0,0.1,0.0,13.0,0.0,48.23,0.0,,29.0,223.1,0.0,-22.28
swe,0.0,40.0,0.0,5.85,0.0,0.1,0.0,1.0,0.0,11.0,0.0,,39.0,3900.0,0.0,-5.15
geo,0.0,38.0,0.0,13.53,0.0,0.1,0.0,9.0,0.0,22.56,0.0,,29.0,322.2,0.0,-9.03
tha,0.0,35.0,0.0,35.66,0.0,0.0,0.0,6.0,0.0,56.83,0.0,,29.0,483.3,0.0,-21.17
hkg,3.0,35.0,0.0857,6.06,0.4,0.0,0.0,6.0,0.0,29.5,3.0,,29.0,483.3,0.0857,-23.44
jpn,0.0,32.0,0.0,17.16,0.0,0.0,0.0,1.0,0.0,9.0,0.0,,31.0,3100.0,0.0,8.16
est,0.0,31.0,0.0,35.48,0.0,0.0,0.0,8.0,0.0,48.88,0.0,,23.0,287.5,0.0,-13.4
ita,0.0,30.0,0.0,27.43,0.0,0.0,0.0,4.0,0.0,17.75,0.0,,26.0,650.0,0.0,9.68
bra,0.0,30.0,0.0,20.73,0.0,0.0,0.0,4.0,0.0,55.0,0.0,,26.0,650.0,0.0,-34.27
esp,1.0,27.0,0.037,15.3,0.1,0.0,0.0,9.0,0.0,52.67,1.0,,18.0,200.0,0.037,-37.37
irn,1.0,27.0,0.037,6.37,0.1,0.0,0.0,4.0,0.0,7.0,1.0,,23.0,575.0,0.037,-0.63
fin,0.0,26.0,0.0,6.08,0.0,0.0,0.0,3.0,0.0,6.0,0.0,,23.0,766.7,0.0,0.08
sau,0.0,25.0,0.0,5.84,0.0,0.0,0.0,2.0,0.0,4.5,0.0,,23.0,1150.0,0.0,1.34
cyp,0.0,24.0,0.0,43.5,0.0,0.0,0.0,6.0,0.0,29.17,0.0,,18.0,300.0,0.0,14.33
vnm,0.0,23.0,0.0,30.74,0.0,0.0,0.0,11.0,0.0,61.18,0.0,,12.0,109.1,0.0,-30.44
aze,1.0,23.0,0.0435,8.74,0.1,0.0,0.0,13.0,0.0,11.31,1.0,,10.0,76.9,0.0435,-2.57
idn,0.0,19.0,0.0,55.68,0.0,0.0,0.0,17.0,0.0,53.06,0.0,,2.0,11.8,0.0,2.62
ind,0.0,19.0,0.0,44.53,0.0,0.0,0.0,15.0,0.0,54.87,0.0,,4.0,26.7,0.0,-10.34
arm,0.0,18.0,0.0,14.28,0.0,0.0,0.0,2.0,0.0,10.5,0.0,,16.0,800.0,0.0,3.78
ltu,1.0,16.0,0.0625,6.19,0.1,0.0,0.0,3.0,0.0,50.33,1.0,,13.0,433.3,0.0625,-44.14
bgr,0.0,15.0,0.0,21.47,0.0,0.0,0.0,6.0,0.0,8.67,0.0,,9.0,150.0,0.0,12.8
rou,0.0,13.0,0.0,7.23,0.0,0.0,0.0,3.0,0.0,49.67,0.0,,10.0,333.3,0.0,-42.44
bel,1.0,13.0,0.0769,6.85,0.1,0.0,0.0,2.0,0.0,37.5,1.0,,11.0,550.0,0.0769,-30.65
can,0.0,13.0,0.0,8.69,0.0,0.0,0.0,3.0,0.0,6.67,0.0,,10.0,333.3,0.0,2.02
egy,0.0,12.0,0.0,6.0,0.0,0.0,1.0,10.0,0.1,34.9,-1.0,-100.0,2.0,20.0,-0.1,-28.9
chn,1.0,11.0,0.0909,9.27,0.1,0.0,1.0,3.0,0.3333,3.67,0.0,0.0,8.0,266.7,-0.2424,5.6
arg,1.0,11.0,0.0909,7.09,0.1,0.0,0.0,2.0,0.0,84.5,1.0,,9.0,450.0,0.0909,-77.41
phl,0.0,9.0,0.0,36.22,0.0,0.0,0.0,6.0,0.0,45.83,0.0,,3.0,50.0,0.0,-9.61
mex,0.0,9.0,0.0,8.22,0.0,0.0,0.0,1.0,0.0,6.0,0.0,,8.0,800.0,0.0,2.22
nor,0.0,8.0,0.0,6.25,0.0,0.0,0.0,3.0,0.0,21.0,0.0,,5.0,166.7,0.0,-14.75
jor,0.0,8.0,0.0,19.38,0.0,0.0,0.0,0.0,,,0.0,,8.0,,,
hrv,1.0,7.0,0.1429,6.0,0.1,0.0,0.0,1.0,0.0,5.0,1.0,,6.0,600.0,0.1429,1.0
aut,0.0,7.0,0.0,7.43,0.0,0.0,0.0,3.0,0.0,16.0,0.0,,4.0,133.3,0.0,-8.57
srb,0.0,6.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,15.25,0.0,,2.0,50.0,0.0,-9.25
bgd,0.0,6.0,0.0,50.67,0.0,0.0,0.0,4.0,0.0,60.5,0.0,,2.0,50.0,0.0,-9.83
svk,0.0,6.0,0.0,7.33,0.0,0.0,0.0,0.0,,,0.0,,6.0,,,
grc,0.0,6.0,0.0,9.17,0.0,0.0,0.0,5.0,0.0,8.8,0.0,,1.0,20.0,0.0,0.37
twn,1.0,5.0,0.2,9.4,0.1,0.0,0.0,0.0,,,1.0,,5.0,,,
syr,0.0,5.0,0.0,5.2,0.0,0.0,0.0,1.0,0.0,8.0,0.0,,4.0,400.0,0.0,-2.8
irl,0.0,4.0,0.0,15.5,0.0,0.0,0.0,1.0,0.0,7.0,0.0,,3.0,300.0,0.0,8.5
prt,0.0,4.0,0.0,6.75,0.0,0.0,0.0,2.0,0.0,11.0,0.0,,2.0,100.0,0.0,-4.25
hun,0.0,4.0,0.0,9.75,0.0,0.0,0.0,2.0,0.0,16.5,0.0,,2.0,100.0,0.0,-6.75
mys,0.0,4.0,0.0,54.0,0.0,0.0,0.0,0.0,,,0.0,,4.0,,,
che,0.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,,3.0,300.0,0.0,-3.0
zzz,0.0,4.0,0.0,5.5,0.0,0.0,0.0,6.0,0.0,9.33,0.0,,-2.0,-33.3,0.0,-3.83
qat,0.0,3.0,0.0,8.33,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
zaf,0.0,3.0,0.0,12.67,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
per,0.0,3.0,0.0,10.33,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
pak,0.0,3.0,0.0,60.33,0.0,0.0,0.0,5.0,0.0,77.8,0.0,,-2.0,-40.0,0.0,-17.47
afg,0.0,3.0,0.0,2.67,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
ken,0.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
dza,0.0,3.0,0.0,50.0,0.0,0.0,0.0,3.0,0.0,54.67,0.0,,0.0,0.0,0.0,-4.67
jam,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
dnk,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,
kwt,0.0,2.0,0.0,53.5,0.0,0.0,0.0,1.0,0.0,7.0,0.0,,1.0,100.0,0.0,46.5
gnb,0.0,2.0,0.0,4.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
mng,0.0,2.0,0.0,6.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
gtm,0.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
sgp,0.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,,0.0,0.0,0.0,1.0
alb,0.0,2.0,0.0,9.5,0.0,0.0,0.0,1.0,0.0,12.0,0.0,,1.0,100.0,0.0,-2.5
ury,0.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
chl,0.0,2.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,68.0,0.0,,1.0,100.0,0.0,-38.0
bhr,0.0,2.0,0.0,31.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
pan,0.0,2.0,0.0,5.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
mne,0.0,2.0,0.0,6.5,0.0,0.0,0.0,1.0,0.0,9.0,0.0,,1.0,100.0,0.0,-2.5
aus,0.0,2.0,0.0,5.5,0.0,0.0,0.0,4.0,0.0,72.0,0.0,,-2.0,-50.0,0.0,-66.5
blz,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
