query,country,clicks,impressions,ctr,position,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket
chatgpt kirish,kaz,0,29,0.0,7.482758620689655,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish uzbek tilida,kaz,1,15,0.0666666666666666,5.933333333333334,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chpt yuklab olish,kaz,0,8,0.0,8.125,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chat gpt uzb,kaz,0,7,0.0,3.857142857142857,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10
chatgpt ilovasini yuklab olish,kaz,0,7,0.0,6.857142857142857,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt uzbekcha,kaz,0,7,0.0,5.285714285714286,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt uzbekcha online,kaz,0,7,0.0,4.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt yuklab olish,kaz,0,5,0.0,6.6,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
чат джипити узбекча,kaz,0,5,0.0,8.8,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
процент рекламы телеграм от общего рынка рекламы узбекистан,kaz,0,4,0.0,8.75,telegram_ads,services_marketing,ru,commercial,False,True,False,4-10
chatgpt kirish uzbek tilida,kaz,0,3,0.0,5.666666666666667,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ga yozish,kaz,0,2,0.0,9.5,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt ochish,kaz,0,2,0.0,8.0,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt online kirish,kaz,0,2,0.0,5.0,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ozbekcha,kaz,0,2,0.0,6.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt узбек тилида,kaz,0,2,0.0,7.5,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
jaji piti online,kaz,0,2,0.0,8.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
генерация заявок,kaz,0,2,0.0,25.0,other,other,ru,unknown,False,False,False,21-50
лид как расшифровывается,kaz,0,2,0.0,1.0,leads_automation,services_bots,ru,informational,False,False,False,1-3
лид расшифровка,kaz,0,2,0.0,1.0,leads_automation,services_bots,ru,commercial_investigation,False,False,False,1-3
продвижение с оплатой за лиды,kaz,0,2,0.0,55.0,leads_automation,services_bots,ru,commercial_investigation,False,False,False,51+
сео продвижение сайтов что это,kaz,0,2,0.0,68.0,seo,services_web,ru,informational,False,False,False,51+
сео продвижение что это такое,kaz,0,2,0.0,63.0,seo,services_web,ru,informational,False,False,False,51+
чачи пити узбекча,kaz,0,2,0.0,10.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
ai консультант для сайта,kaz,0,1,0.0,18.0,webdev,services_web,ru,commercial_investigation,False,False,False,11-20
bitrich ai bot,kaz,0,1,0.0,9.0,chatbot_dev,services_bots,en,commercial_investigation,False,False,False,4-10
cakecity,kaz,0,1,0.0,10.0,other,other,neutral,unknown,False,False,False,4-10
chat gpt yuklash,kaz,0,1,0.0,7.0,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt 4 uzbek tilida,kaz,0,1,0.0,10.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt uzbek tilida gaplashish,kaz,0,1,0.0,6.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt kirish,kgz,0,38,0.0,8.131578947368421,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish uzbek tilida,kgz,0,28,0.0,4.571428571428571,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish,kgz,0,17,0.0,7.705882352941177,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
чат гпт узбекча,kgz,0,15,0.0,5.533333333333333,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt uzbekcha online,kgz,0,11,0.0,4.454545454545455,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt на узбекском,kgz,1,10,0.1,2.8,chatgpt_online,chatgpt_product,ru,transactional,False,False,False,1-3
chatgpt ochish,kgz,0,5,0.0,5.6,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
чат гпт на узбекском,kgz,0,5,0.0,2.4,chatgpt_online,chatgpt_product,ru,transactional,False,False,False,1-3
chatgpt ga kirish,kgz,0,4,0.0,7.75,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt uzbekcha,kgz,0,4,0.0,3.25,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
чат джипити узбекча,kgz,1,3,0.3333333333333333,3.6666666666666665,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chat gpt uzbekcha,kgz,0,3,0.0,5.333333333333333,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt kirish uzbek tilida,kgz,0,3,0.0,6.666666666666667,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
лид это,kgz,0,3,0.0,7.333333333333333,leads_automation,services_bots,ru,informational,False,False,False,4-10
чат гпт узб,kgz,1,2,0.5,1.5,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,1-3
chat gpt uchun prompt,kgz,0,2,0.0,7.0,chatgpt_prompts,chatgpt_product,uz,informational,False,False,False,4-10
chatgpt uzb,kgz,0,2,0.0,3.0,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,1-3
bepul chatgpt,kgz,0,1,0.0,7.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chat gpt yuklash,kgz,0,1,0.0,7.0,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt bepul kirish,kgz,0,1,0.0,7.0,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ilovasini yuklab olish,kgz,0,1,0.0,5.0,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt online kirish,kgz,0,1,0.0,4.0,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt skachat qilish,kgz,0,1,0.0,8.0,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt tarjima,kgz,0,1,0.0,9.0,chatgpt_translate,chatgpt_product,uz,informational,False,False,False,4-10
chatgpt uz,kgz,0,1,0.0,4.0,chatgpt_online,chatgpt_product,neutral,transactional,False,True,False,4-10
chatgpt uzbek tilida,kgz,0,1,0.0,7.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt uzbekcha bepul,kgz,0,1,0.0,5.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt uzbekcha скачать,kgz,0,1,0.0,7.0,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
jaji piti online,kgz,0,1,0.0,6.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
аудит сайта чек лист,kgz,0,1,0.0,81.0,seo,services_web,ru,informational,False,False,False,51+
chatgpt kirish,rus,7,608,0.0115131578947368,6.975328947368421,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish uzbek tilida,rus,22,566,0.03886925795053,5.863957597173145,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ilovasini yuklab olish,rus,22,354,0.0621468926553672,6.870056497175141,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish,rus,6,263,0.0228136882129277,6.262357414448669,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ochish,rus,3,196,0.0153061224489795,6.127551020408164,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt bepul kirish,rus,0,158,0.0,7.651898734177215,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
лид это,rus,0,65,0.0,27.43076923076923,leads_automation,services_bots,ru,informational,False,False,False,21-50
chatgpt kirish uzbek tilida,rus,0,49,0.0,5.877551020408164,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
бот для инстаграм директ,rus,0,48,0.0,21.45833333333333,instagram_bots,services_bots,ru,commercial_investigation,False,False,False,21-50
лид,rus,0,45,0.0,32.68888888888889,leads_automation,services_bots,ru,commercial_investigation,False,False,False,21-50
chat gpt yuklash,rus,3,40,0.075,7.55,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
лид это в рекламе,rus,0,28,0.0,24.357142857142858,leads_automation,services_bots,ru,informational,False,False,False,21-50
что такое seo продвижение,rus,0,28,0.0,83.75,seo,services_web,ru,informational,False,False,False,51+
chatgpt uzbekcha online,rus,2,27,0.074074074074074,4.148148148148149,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chat gpt uzbekcha,rus,4,26,0.1538461538461538,5.384615384615385,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt skachat uzbek tilida,rus,0,26,0.0,6.038461538461538,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt uzbekcha bepul,rus,0,25,0.0,5.04,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
как работает seo продвижение,rus,0,23,0.0,77.47826086956522,seo,services_web,ru,informational,False,False,False,51+
чат гпт узбекча,rus,0,23,0.0,4.478260869565217,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
чат джипити узбекча,rus,3,21,0.1428571428571428,5.380952380952381,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
что такое сео продвижение,rus,0,21,0.0,80.04761904761905,seo,services_web,ru,informational,False,False,False,51+
гарантированные лиды для рекламы что это,rus,0,20,0.0,39.0,leads_automation,services_bots,ru,informational,False,False,False,21-50
что такое лид в коммерческом предложении,rus,0,19,0.0,21.68421052631579,leads_automation,services_bots,ru,informational,False,False,False,21-50
что такое лид в коммерческом предложении сдо ржд,rus,0,19,0.0,39.578947368421055,leads_automation,services_bots,ru,informational,False,False,False,21-50
ай менеджер,rus,0,18,0.0,24.55555555555556,other,other,ru,unknown,False,False,False,21-50
ватсап бот для бизнеса,rus,0,18,0.0,36.61111111111112,whatsapp_bots,services_bots,ru,commercial_investigation,False,False,False,21-50
как работает сео продвижение,rus,0,18,0.0,82.33333333333333,seo,services_web,ru,informational,False,False,False,51+
робот для записи на прием,rus,0,18,0.0,25.944444444444443,chatbot_dev,services_bots,ru,commercial_investigation,False,False,False,21-50
что такое seo продвижение простыми словами,rus,0,18,0.0,84.22222222222223,seo,services_web,ru,informational,False,False,False,51+
chatgpt uzbekcha,rus,0,16,0.0,6.0625,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10
chatgpt kirish,tjk,1,31,0.032258064516129,6.774193548387097,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish uzbek tilida,tjk,0,26,0.0,5.884615384615385,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt uzbekcha скачать,tjk,0,25,0.0,7.6,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt yuklab olish,tjk,0,21,0.0,6.9523809523809526,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ochish,tjk,1,20,0.05,5.25,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10
chatgpt ilovasini yuklab olish,tjk,0,12,0.0,6.833333333333333,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10
