date,clicks,impressions,ctr,position,clicks_7d_avg,impressions_7d_avg,position_7d_avg,clicks_desktop,clicks_mobile,clicks_tablet,impressions_desktop,impressions_mobile,impressions_tablet,clicks_kaz,clicks_rus,clicks_uzb,impressions_kaz,impressions_rus,impressions_uzb,is_final
2026-05-21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-22,0,7,0.0,1.2857142857142856,0.0,3.5,0.64,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-23,0,0,0.0,0.0,0.0,2.3,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-24,0,0,0.0,0.0,0.0,1.8,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-25,0,0,0.0,0.0,0.0,1.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-26,0,0,0.0,0.0,0.0,1.2,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-27,0,0,0.0,0.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-28,0,0,0.0,0.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-05-30,0,25,0.0,2.48,0.0,3.6,0.35,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
2026-05-31,0,7,0.0,4.714285714285714,0.0,4.6,1.03,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True
2026-06-01,0,7,0.0,19.285714285714285,0.0,5.6,3.78,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,True
2026-06-02,0,3,0.0,5.666666666666667,0.0,6.0,4.59,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
2026-06-03,0,3,0.0,33.0,0.0,6.4,9.31,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-06-04,0,8,0.0,6.375,0.0,7.6,10.22,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,True
2026-06-05,0,39,0.0,8.692307692307693,0.0,13.1,11.46,0.0,0.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,True
2026-06-06,0,20,0.0,8.75,0.0,12.4,12.35,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,True
2026-06-07,1,8,0.125,19.25,0.14,12.6,14.43,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,True
2026-06-08,1,49,0.0204,8.938775510204081,0.29,18.6,12.95,0.0,1.0,0.0,43.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,True
2026-06-09,0,9,0.0,23.0,0.29,19.4,15.43,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,True
2026-06-10,0,4,0.0,8.5,0.29,19.6,11.93,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,True
2026-06-11,0,6,0.0,23.5,0.29,19.3,14.38,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,True
2026-06-12,0,5,0.0,8.6,0.29,14.4,14.36,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
2026-06-13,0,9,0.0,30.666666666666668,0.29,12.9,17.49,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,True
