device,current_clicks,current_impressions,current_ctr,current_position,current_clicks_share_pct,current_impressions_share_pct,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,start,end,clicks,impressions,ctr,position,clicks_share_pct,impressions_share_pct
MOBILE,648.0,62393.0,0.0104,7.15,76.9,83.2,53.0,4348.0,0.0122,11.1,595.0,1122.6,58045.0,1335.0,-0.0018,-3.95,,,,,,,,
DESKTOP,189.0,12126.0,0.0156,16.37,22.4,16.2,37.0,2403.0,0.0154,36.03,152.0,410.8,9723.0,404.6,0.0002,-19.66,,,,,,,,
TABLET,6.0,502.0,0.012,7.41,0.7,0.7,1.0,57.0,0.0175,22.42,5.0,500.0,445.0,780.7,-0.0055,-15.01,,,,,,,,
MOBILE [last7],,,,,,,,,,,,,,,,,2026-09-08,2026-09-14,291.0,28098.0,0.0104,6.56,81.5,87.2
DESKTOP [last7],,,,,,,,,,,,,,,,,2026-09-08,2026-09-14,64.0,3900.0,0.0164,9.35,17.9,12.1
TABLET [last7],,,,,,,,,,,,,,,,,2026-09-08,2026-09-14,2.0,212.0,0.0094,6.6,0.6,0.7
MOBILE [last28],,,,,,,,,,,,,,,,,2026-08-18,2026-09-14,648.0,62393.0,0.0104,7.15,76.9,83.2
DESKTOP [last28],,,,,,,,,,,,,,,,,2026-08-18,2026-09-14,189.0,12126.0,0.0156,16.37,22.4,16.2
TABLET [last28],,,,,,,,,,,,,,,,,2026-08-18,2026-09-14,6.0,502.0,0.012,7.41,0.7,0.7
MOBILE [prev28],,,,,,,,,,,,,,,,,2026-07-21,2026-08-17,53.0,4348.0,0.0122,11.1,58.2,63.9
DESKTOP [prev28],,,,,,,,,,,,,,,,,2026-07-21,2026-08-17,37.0,2403.0,0.0154,36.03,40.7,35.3
TABLET [prev28],,,,,,,,,,,,,,,,,2026-07-21,2026-08-17,1.0,57.0,0.0175,22.42,1.1,0.8
MOBILE [last90],,,,,,,,,,,,,,,,,2026-06-17,2026-09-14,709.0,67006.0,0.0106,7.46,74.8,81.1
DESKTOP [last90],,,,,,,,,,,,,,,,,2026-06-17,2026-09-14,232.0,15031.0,0.0154,19.84,24.5,18.2
TABLET [last90],,,,,,,,,,,,,,,,,2026-06-17,2026-09-14,7.0,563.0,0.0124,9.28,0.7,0.7
MOBILE [prev90],,,,,,,,,,,,,,,,,2026-03-19,2026-06-16,2.0,45.0,0.0444,10.76,100.0,18.1
DESKTOP [prev90],,,,,,,,,,,,,,,,,2026-03-19,2026-06-16,0.0,202.0,0.0,12.22,0.0,81.5
TABLET [prev90],,,,,,,,,,,,,,,,,2026-03-19,2026-06-16,0.0,1.0,0.0,62.0,0.0,0.4
MOBILE [all16m],,,,,,,,,,,,,,,,,2025-05-04,2026-09-14,711.0,67051.0,0.0106,7.46,74.8,80.9
DESKTOP [all16m],,,,,,,,,,,,,,,,,2025-05-04,2026-09-14,232.0,15233.0,0.0152,19.74,24.4,18.4
TABLET [all16m],,,,,,,,,,,,,,,,,2025-05-04,2026-09-14,7.0,564.0,0.0124,9.37,0.7,0.7
