page,clicks_desktop,clicks_mobile,clicks_tablet,ctr_desktop,ctr_mobile,ctr_tablet,impressions_desktop,impressions_mobile,impressions_tablet,position_desktop,position_mobile,position_tablet,position_gap_desktop_minus_mobile
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,12.0,78.0,0.0,0.0045028142589118,0.0035556365957058,0.0,2665.0,21937.0,169.0,7.30656660412758,7.187491452796645,6.828402366863905,0.12
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,47.0,255.0,3.0,0.0361538461538461,0.0153226775627929,0.0208333333333333,1300.0,16642.0,144.0,6.949230769230769,5.504807114529504,5.555555555555555,1.44
https://gptbot.uz/uz/gpt-uzbek-tilida/,4.0,71.0,2.0,0.0046620046620046,0.0062505502244915,0.0259740259740259,858.0,11359.0,77.0,6.844988344988345,6.886433664935294,6.311688311688312,-0.04
https://gptbot.uz/ru/gpt-chat/,9.0,44.0,0.0,0.0136778115501519,0.0127499275572297,0.0,658.0,3451.0,25.0,5.674772036474164,5.960880904085772,5.88,-0.29
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,0.0,5.0,0.0,0.0,0.0028604118993135,0.0,303.0,1748.0,14.0,8.993399339933994,8.526887871853546,9.071428571428571,0.47
https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,0.0,0.0,0.0,0.0,0.0,0.0,1069.0,390.0,5.0,63.12160898035548,63.41025641025641,59.8,-0.29
https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,0.0,0.0,,0.0,0.0,,510.0,322.0,,31.67843137254902,26.236024844720497,,5.44
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,0.0,2.0,0.0,0.0,0.024390243902439,0.0,3.0,82.0,1.0,29.33333333333333,7.195121951219512,6.0,22.14
https://gptbot.uz/ru/chat-bot-dlya-biznesa/,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,1.0,64.37735849056604,69.49056603773585,78.0,-5.11
https://gptbot.uz/ru/blog/marketingovye-terminy-slovar/,0.0,0.0,,0.0,0.0,,2.0,40.0,,32.0,24.925,,7.07
https://gptbot.uz/ru/whatsapp-bot-dlya-biznesa/,0.0,0.0,,0.0,0.0,,14.0,38.0,,36.5,34.5,,2.0
https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,0.0,0.0,,0.0,0.0,,1.0,38.0,,9.0,8.0,,1.0
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,0.0,0.0,0.0,0.0,0.0,0.0,17.0,33.0,1.0,19.41176470588235,8.757575757575758,11.0,10.65
https://gptbot.uz/uz/gpt-bot-biznes-uchun/,0.0,0.0,,0.0,0.0,,3.0,32.0,,52.0,9.25,,42.75
https://gptbot.uz/ru/blog/priem-oplaty-payme-click-v-telegram-bote/,0.0,0.0,,0.0,0.0,,2.0,30.0,,16.5,8.8,,7.7
https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/,0.0,0.0,,0.0,0.0,,153.0,25.0,,33.372549019607845,29.56,,3.81
https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,0.0,0.0,0.0,0.0,0.0,0.0,110.0,25.0,1.0,16.918181818181818,22.08,9.0,-5.16
https://gptbot.uz/uz/blog/target-reklama-nima/,0.0,0.0,,0.0,0.0,,8.0,25.0,,8.0,8.04,,-0.04
https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/,0.0,0.0,,0.0,0.0,,2.0,25.0,,21.5,18.16,,3.34
https://gptbot.uz/ru/blog/chto-takoe-smm-prodvizhenie/,0.0,0.0,,0.0,0.0,,53.0,24.0,,17.566037735849058,19.33333333333333,,-1.77
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,0.0,0.0,,0.0,0.0,,33.0,24.0,,34.42424242424242,40.208333333333336,,-5.78
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,1.0,4.0,,0.0833333333333333,0.1818181818181818,,12.0,22.0,,2.25,2.4545454545454546,,-0.2
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,0.0,0.0,,0.0,0.0,,14.0,21.0,,3.571428571428572,2.666666666666667,,0.9
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,0.0,1.0,0.0,0.0,0.0476190476190476,0.0,26.0,21.0,2.0,53.30769230769231,13.714285714285714,7.0,39.59
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,,0.0,,,0.0,,,20.0,,,7.3,,
https://gptbot.uz/uz/telegram-bot-biznes-uchun/,0.0,0.0,,0.0,0.0,,1.0,20.0,,9.0,16.05,,-7.05
https://gptbot.uz/,2.0,4.0,,0.1538461538461538,0.2352941176470588,,13.0,17.0,,6.0,28.0,,-22.0
https://gptbot.uz/ru/avtomatizatsiya-prodazh/,0.0,0.0,,0.0,0.0,,17.0,12.0,,45.41176470588236,22.75,,22.66
https://gptbot.uz/ru/,0.0,0.0,,0.0,0.0,,31.0,11.0,,6.645161290322581,43.72727272727273,,-37.08
https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,0.0,0.0,,0.0,0.0,,52.0,10.0,,34.71153846153846,21.4,,13.31
https://gptbot.uz/ru/blog/seo-audit-sayta-chek-list/,0.0,0.0,0.0,0.0,0.0,0.0,38.0,10.0,3.0,71.34210526315789,72.8,67.33333333333333,-1.46
https://gptbot.uz/uz/instagram-uchun-ai-menejer/,,0.0,,,0.0,,,10.0,,,7.0,,
https://gptbot.uz/ru/blog/stoimost-seo-prodvizheniya-v-tashkente/,0.0,0.0,,0.0,0.0,,26.0,9.0,,11.846153846153848,62.44444444444444,,-50.6
https://gptbot.uz/uz/blog/biznes-uchun-ai-bot-nima-oddiy-tushuntirish/,0.0,0.0,,0.0,0.0,,2.0,9.0,,28.0,8.555555555555555,,19.44
https://gptbot.uz/ru/blog/chto-takoe-marketing-kit/,0.0,0.0,,0.0,0.0,,20.0,9.0,,30.0,27.22222222222222,,2.78
https://gptbot.uz/uz/,0.0,0.0,,0.0,0.0,,5.0,9.0,,3.6,11.77777777777778,,-8.18
https://gptbot.uz/ru/stoimost-chat-bota/,0.0,0.0,,0.0,0.0,,6.0,9.0,,21.666666666666668,59.0,,-37.33
https://gptbot.uz/ru/blog/skolko-stoit-smm-i-vedenie-instagram-uzbekistan/,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,12.125,6.285714285714286,11.0,5.84
https://gptbot.uz/ru/razrabotka-telegram-bota-tashkent/,0.0,0.0,,0.0,0.0,,1.0,7.0,,97.0,93.57142857142856,,3.43
https://gptbot.uz/ru/blog/,0.0,0.0,,0.0,0.0,,18.0,7.0,,84.5,93.85714285714286,,-9.36
https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0.0,0.0,,0.0,0.0,,12.0,7.0,,38.5,6.142857142857143,,32.36
https://gptbot.uz/uz/biznes-uchun-ai-bot/,0.0,0.0,,0.0,0.0,,2.0,6.0,,16.5,3.0,,13.5
https://gptbot.uz/uz/smm-xizmatlari/,0.0,0.0,,0.0,0.0,,10.0,6.0,,39.8,36.333333333333336,,3.47
https://gptbot.uz/ru/razrabotka-saytov-tashkent/,1.0,0.0,,0.04,0.0,,25.0,6.0,,43.0,43.333333333333336,,-0.33
https://gptbot.uz/ru/blog/ai-bot-uzbekskiy-yazyk-kak-rabotaet/,0.0,0.0,,0.0,0.0,,1.0,6.0,,9.0,11.666666666666666,,-2.67
https://gptbot.uz/boss-digital/,0.0,0.0,,0.0,0.0,,2.0,5.0,,49.0,92.0,,-43.0
https://gptbot.uz/uz/blog/marketing-nima/,0.0,0.0,,0.0,0.0,,10.0,5.0,,32.3,25.4,,6.9
https://gptbot.uz/uz/blog/telegram-botda-payme-click-humo-tolovlarini-qabul-qilish/,,0.0,,,0.0,,,5.0,,,8.8,,
https://gptbot.uz/ru/internet-reklama-tashkent/,0.0,0.0,,0.0,0.0,,5.0,5.0,,17.8,3.4,,14.4
https://gptbot.uz/ru/blog/telegram-bot-na-python/,,0.0,,,0.0,,,5.0,,,38.4,,
https://gptbot.uz/ru/sozdanie-sayta-dlya-biznesa/,0.0,0.0,,0.0,0.0,,5.0,5.0,,26.4,75.6,,-49.2
https://gptbot.uz/ru/telegram-ads-uzbekistan/,0.0,0.0,,0.0,0.0,,38.0,5.0,,12.5,32.0,,-19.5
https://gptbot.uz/ru/telegram-bot-dlya-biznesa/,,0.0,,,0.0,,,5.0,,,15.0,,
https://gptbot.uz/uz/sayt-yaratish/,0.0,0.0,,0.0,0.0,,16.0,5.0,,60.1875,53.2,,6.99
https://gptbot.uz/uz/blog/smm-nima/,0.0,0.0,,0.0,0.0,,8.0,5.0,,64.625,34.0,,30.62
https://gptbot.uz/uz/gpt-uzbek-tilida-ai-chat/,0.0,0.0,,0.0,0.0,,7.0,4.0,,19.428571428571427,8.0,,11.43
https://gptbot.uz/ru/blog/skolko-stoit-seo-prodvizhenie-uzbekistan-2026/,0.0,0.0,,0.0,0.0,,13.0,4.0,,15.615384615384617,15.75,,-0.13
https://gptbot.uz/ru/kontekstnaya-reklama-tashkent/,0.0,0.0,,0.0,0.0,,6.0,4.0,,52.333333333333336,56.5,,-4.17
https://gptbot.uz/ru/blog/podderzhka-telegram-bota-posle-zapuska/,,0.0,,,0.0,,,4.0,,,10.0,,
https://gptbot.uz/ru/gpt-dlya-ucheby/,0.0,0.0,,0.0,0.0,,10.0,3.0,,30.4,28.33333333333333,,2.07
https://gptbot.uz/uz/biz-haqimizda/,0.0,0.0,,0.0,0.0,,2.0,3.0,,35.0,34.666666666666664,,0.33
https://gptbot.uz/ru/blog/avtomatizatsiya-zayavok-instruktsiya/,0.0,0.0,,0.0,0.0,,18.0,3.0,,57.27777777777778,27.33333333333333,,29.94
https://gptbot.uz/ru/blog/telegram-bot-s-oplatoy-payme-click/,0.0,0.0,,0.0,0.0,,1.0,3.0,,6.0,6.333333333333333,,-0.33
https://gptbot.uz/ru/blog/stoimost-digital-marketinga-v-tashkente/,0.0,0.0,,0.0,0.0,,1.0,2.0,,26.0,35.0,,-9.0
https://gptbot.uz/ru/ai-bot-dlya-biznesa/,,0.0,,,0.0,,,2.0,,,77.0,,
https://gptbot.uz/ru/blog/kak-provesti-audit-digital-marketinga/,0.0,0.0,,0.0,0.0,,19.0,2.0,,11.842105263157896,35.5,,-23.66
https://gptbot.uz/ru/blog/keys-cake-city-platforma-kondirterskoy/,,0.0,,,0.0,,,2.0,,,7.0,,
https://gptbot.uz/ru/blog/chat-gpt-online/,0.0,0.0,,0.0,0.0,,3.0,2.0,,35.333333333333336,37.5,,-2.17
https://gptbot.uz/ru/blog/ai-bot-dlya-biznesa-v-uzbekistane/,0.0,0.0,,0.0,0.0,,1.0,2.0,,182.0,61.0,,121.0
https://gptbot.uz/ru/blog/skolko-stoit-internet-reklama-uzbekistan-2026/,,0.0,,,0.0,,,2.0,,,7.0,,
https://gptbot.uz/ru/blog/skolko-stoit-razrabotka-sayta-v-tashkente/,0.0,0.0,,0.0,0.0,,3.0,2.0,,55.0,28.0,,27.0
https://gptbot.uz/ru/gpt-dlya-biznesa-v-uzbekistane/,,0.0,,,0.0,,,2.0,,,70.5,,
https://gptbot.uz/uz/blog/chat-gpt-uzbek-biznes-uchun/,,0.0,0.0,,0.0,0.0,,2.0,1.0,,6.0,10.0,
https://gptbot.uz/ru/blog/golosovoy-chat-s-ii-dlya-biznesa/,,0.0,,,0.0,,,2.0,,,51.5,,
https://gptbot.uz/ru/blog/telegram-bot-dlya-zapisi-klientov/,0.0,0.0,,0.0,0.0,,4.0,2.0,,25.0,26.0,,-1.0
https://gptbot.uz/uz/blog/telegram-bot-biznes-uchun-narxi-uzbekistonda/,,0.0,,,0.0,,,2.0,,,4.0,,
https://gptbot.uz/ru/instagram-direct-bot/,0.0,0.0,,0.0,0.0,,44.0,2.0,,21.34090909090909,5.5,,15.84
https://gptbot.uz/ru/blog/ai-prodavec-i-otdel-prodazh/,0.0,0.0,,0.0,0.0,,2.0,2.0,,58.5,17.5,,41.0
https://gptbot.uz/ru/ai-bot-s-crm-amocrm-bitrix24/,,0.0,,,0.0,,,1.0,,,9.0,,
https://gptbot.uz/uz/chat-bot-narxi/,0.0,0.0,,0.0,0.0,,1.0,1.0,,189.0,98.0,,91.0
