query,clicks_desktop,clicks_mobile,clicks_tablet,ctr_desktop,ctr_mobile,ctr_tablet,impressions_desktop,impressions_mobile,impressions_tablet,position_desktop,position_mobile,position_tablet,topic,language,position_gap_desktop_minus_mobile,ctr_gap_mobile_minus_desktop
chatgpt kirish,11,69,0.0,0.0036727879799666,0.0032130384167636,0.0,2995,21475,171.0,7.470784641068447,7.354691501746217,7.16374269005848,chatgpt_login,uz,0.12,-0.0005
chatgpt yuklab olish uzbek tilida,34,140,2.0,0.076062639821029,0.015391380826737,0.0327868852459016,447,9096,61.0,4.72930648769575,4.673153034300792,4.590163934426229,chatgpt_download,uz,0.06,-0.0607
chatgpt yuklab olish,6,42,0.0,0.0105448154657293,0.0134271099744245,0.0,569,3128,35.0,8.659050966608085,6.78420716112532,6.228571428571429,chatgpt_download,uz,1.87,0.0029
chatgpt ochish,2,19,1.0,0.0147058823529411,0.0061768530559167,0.04,136,3076,25.0,5.985294117647059,6.072821846553966,5.72,chatgpt_login,uz,-0.09,-0.0085
chatgpt bepul kirish,0,11,0.0,0.0,0.0051522248243559,0.0,66,2135,5.0,7.53030303030303,8.450585480093677,8.4,chatgpt_login,uz,-0.92,0.0052
chatgpt kirish uzbek tilida,0,7,1.0,0.0,0.0035443037974683,0.1111111111111111,30,1975,9.0,5.766666666666667,5.9270886075949365,6.0,chatgpt_login,uz,-0.16,0.0035
chatgpt ilovasini yuklab olish,3,51,0.0,0.044776119402985,0.0277475516866158,0.0,67,1838,25.0,6.208955223880597,5.70348204570185,5.8,chatgpt_download,uz,0.51,-0.017
chatgpt uzbekcha online,0,7,0.0,0.0,0.0069444444444444,0.0,57,1008,14.0,5.385964912280702,5.069444444444445,5.0,chatgpt_online,uz,0.32,0.0069
chatgpt uzbekcha bepul,0,9,0.0,0.0,0.009719222462203,0.0,30,926,11.0,4.733333333333333,5.345572354211663,5.090909090909091,chatgpt_online,uz,-0.61,0.0097
chatgpt uzbekcha,0,6,0.0,0.0,0.0072115384615384,0.0,142,832,10.0,6.105633802816901,6.243990384615385,6.6,chatgpt_online,uz,-0.14,0.0072
chatgpt uzbek tilida online,0,8,0.0,0.0,0.0115942028985507,0.0,7,690,3.0,5.857142857142857,5.9,5.333333333333333,chatgpt_online,uz,-0.04,0.0116
jaji piti online,0,4,0.0,0.0,0.0061919504643962,0.0,23,646,1.0,7.043478260869565,6.979876160990712,6.0,chatgpt_online,uz,0.06,0.0062
chatgpt uzbek tilida gaplashish,0,5,1.0,0.0,0.0079365079365079,0.5,15,630,2.0,6.133333333333334,7.06984126984127,7.5,chatgpt_online,uz,-0.94,0.0079
chat gpt yuklash,0,7,0.0,0.0,0.0122377622377622,0.0,38,572,3.0,8.210526315789473,7.129370629370629,6.333333333333333,chatgpt_download,uz,1.08,0.0122
chatgpt ochish uzbek tilida,0,1,0.0,0.0,0.0021739130434782,0.0,9,460,2.0,6.555555555555555,6.15,6.0,chatgpt_login,uz,0.41,0.0022
chatgpt uz,4,8,0.0,0.0176211453744493,0.0175438596491228,0.0,227,456,2.0,4.753303964757709,5.267543859649122,5.5,chatgpt_online,neutral,-0.51,-0.0001
chatgpt uzbekcha скачать,0,3,0.0,0.0,0.0095846645367412,0.0,12,313,2.0,7.75,8.654952076677317,10.0,chatgpt_download,uz,-0.9,0.0096
chatgpt tarjima,0,3,0.0,0.0,0.009771986970684,0.0,27,307,3.0,7.0,6.423452768729642,7.666666666666667,chatgpt_translate,uz,0.58,0.0098
chatgpt uzbek tilida,0,1,0.0,0.0,0.0041322314049586,0.0,41,242,1.0,6.7560975609756095,6.545454545454546,6.0,chatgpt_online,uz,0.21,0.0041
