query,page,clicks_28d,impressions_28d,ctr_28d,position_28d,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_prev28,impressions_prev28,position_prev28,page_locale,page_type,language_mismatch
chatgpt uzbekcha online,https://gptbot.uz/ru/gpt-chat/,7,1011,0.0069238377843719,5.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7,1013,0.0069101678183613,5.002961500493584,0.0,2.0,6.5,ru,landing,True
jaji piti online,https://gptbot.uz/ru/gpt-chat/,4,612,0.0065359477124183,6.892156862745098,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,612,0.0065359477124183,6.892156862745098,,,,ru,landing,True
chatgpt bepul,https://gptbot.uz/ru/gpt-chat/,4,223,0.0179372197309417,6.147982062780269,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,223,0.0179372197309417,6.147982062780269,,,,ru,landing,True
чат джипити узбекча,https://gptbot.uz/ru/gpt-chat/,4,38,0.1052631578947368,6.315789473684211,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,38,0.1052631578947368,6.315789473684211,,,,ru,landing,True
chat gpt uzbekcha,https://gptbot.uz/ru/gpt-chat/,4,18,0.2222222222222222,4.611111111111111,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4,18,0.2222222222222222,4.611111111111111,,,,ru,landing,True
chatgpt uzbekcha скачать,https://gptbot.uz/ru/gpt-chat/,2,243,0.0082304526748971,8.8559670781893,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,2,243,0.0082304526748971,8.8559670781893,,,,ru,landing,True
chatgpt uzbekcha,https://gptbot.uz/ru/gpt-chat/,2,111,0.018018018018018,6.405405405405405,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,2,111,0.018018018018018,6.405405405405405,,,,ru,landing,True
chatgpt uzb,https://gptbot.uz/ru/gpt-chat/,2,83,0.0240963855421686,4.518072289156626,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,2,96,0.0208333333333333,4.552083333333334,0.0,13.0,4.769230769230769,ru,landing,True
chat gpt uzb,https://gptbot.uz/ru/gpt-chat/,2,36,0.0555555555555555,3.611111111111111,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,2,41,0.048780487804878,4.0,0.0,5.0,6.8,ru,landing,True
чат гпт узб,https://gptbot.uz/ru/gpt-chat/,2,20,0.1,3.35,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,2,26,0.0769230769230769,3.5384615384615383,0.0,6.0,4.166666666666666,ru,landing,True
chatgpt yozish,https://gptbot.uz/ru/gpt-chat/,1,209,0.0047846889952153,8.889952153110048,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,1,209,0.0047846889952153,8.889952153110048,,,,ru,landing,True
чати пити узбекча,https://gptbot.uz/ru/gpt-chat/,1,14,0.0714285714285714,6.071428571428571,other,other,uz,unknown,False,False,False,4-10,1,14,0.0714285714285714,6.071428571428571,,,,ru,landing,True
chatgpt ozbekcha,https://gptbot.uz/ru/gpt-chat/,0,137,0.0,5.518248175182482,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,137,0.0,5.518248175182482,,,,ru,landing,True
chatgpt узбекча,https://gptbot.uz/ru/gpt-chat/,0,99,0.0,6.595959595959596,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,99,0.0,6.595959595959596,,,,ru,landing,True
onlayn chatgpt,https://gptbot.uz/ru/gpt-chat/,0,67,0.0,6.298507462686567,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,67,0.0,6.298507462686567,,,,ru,landing,True
chaji piti online,https://gptbot.uz/ru/gpt-chat/,0,43,0.0,5.8604651162790695,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,43,0.0,5.8604651162790695,,,,ru,landing,True
чат гпт узбекча,https://gptbot.uz/ru/gpt-chat/,0,40,0.0,4.75,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,40,0.0,4.75,,,,ru,landing,True
жажипити,https://gptbot.uz/ru/gpt-chat/,0,39,0.0,3.5128205128205128,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,39,0.0,3.5128205128205128,,,,ru,landing,True
chat chipiti online,https://gptbot.uz/ru/gpt-chat/,0,37,0.0,6.297297297297297,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,37,0.0,6.297297297297297,,,,ru,landing,True
chatgpt uzbek tilida online,https://gptbot.uz/ru/gpt-chat/,0,34,0.0,8.970588235294118,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,34,0.0,8.970588235294118,,,,ru,landing,True
chatgpt uzbekcha bepul,https://gptbot.uz/ru/gpt-chat/,0,27,0.0,5.37037037037037,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,27,0.0,5.37037037037037,,,,ru,landing,True
jaji piti bot,https://gptbot.uz/ru/gpt-chat/,0,20,0.0,5.75,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,20,0.0,5.75,,,,ru,landing,True
чачи пити узбекча,https://gptbot.uz/ru/gpt-chat/,0,14,0.0,8.857142857142858,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,14,0.0,8.857142857142858,,,,ru,landing,True
chatgpt tarjima,https://gptbot.uz/ru/gpt-chat/,0,13,0.0,5.461538461538462,chatgpt_translate,chatgpt_product,uz,informational,False,False,False,4-10,0,13,0.0,5.461538461538462,,,,ru,landing,True
chatgpt uzbek tilida,https://gptbot.uz/ru/gpt-chat/,0,11,0.0,7.545454545454546,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,0,11,0.0,7.545454545454546,,,,ru,landing,True
