page,basis,current_clicks,previous_clicks,clicks_change_pct,current_impressions,previous_impressions,impressions_change_pct,current_position,previous_position,position_change,last7_clicks,prev7_clicks,last7_impressions,prev7_impressions,last7_position,prev7_position,lost_queries,lost_queries_impressions_prev28,examples
https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,7d_vs_prev7,,,,,,,,,,0.0,0.0,95.0,343.0,27.0,27.05,,,
https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,7d_vs_prev7,,,,,,,,,,0.0,0.0,21.0,535.0,56.57,59.65,1.0,7.0,seo поисковое продвижение
https://gptbot.uz/ru/blog/seo-audit-sayta-chek-list/,28d_vs_prev28,0.0,0.0,,55.0,179.0,-69.3,72.52727272727273,86.65921787709497,-14.13,,,,,,,1.0,5.0,чек лист технического аудита сайта
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,,,,,,,,,,,,,,,,,1.0,9.0,ии для салона красоты
https://gptbot.uz/ru/blog/ai-bot-dlya-salona-krasoty-zadachi/,,,,,,,,,,,,,,,,,1.0,11.0,ии для салона красоты
https://gptbot.uz/ru/blog/chat-bot-dlya-sayta-kak-dobavit-i-skolko-stoit/,,,,,,,,,,,,,,,,,2.0,12.0,как сделать бот для сайта | як зробити бот для сайту
https://gptbot.uz/ru/blog/chat-bot-dlya-sayta/,,,,,,,,,,,,,,,,,1.0,10.0,ai бот для сайта
https://gptbot.uz/ru/bot-dlya-obrabotki-zayavok/,,,,,,,,,,,,,,,,,1.0,10.0,прием и обработка заявок
https://gptbot.uz/ru/razrabotka-sayta-pod-klyuch/,,,,,,,,,,,,,,,,,2.0,29.0,разработка сайта под ключ | создание сайта под ключ
https://gptbot.uz/ru/razrabotka-saytov-tashkent/,,,,,,,,,,,,,,,,,2.0,18.0,разработка сайта узбекистан | создание сайтов ташкент
https://gptbot.uz/ru/sozdanie-sayta-dlya-biznesa/,,,,,,,,,,,,,,,,,1.0,17.0,сайт для бизнеса
