page,last7_clicks,last7_impressions,last7_ctr,last7_position,prev7_clicks,prev7_impressions,prev7_ctr,prev7_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,last14_clicks,last14_impressions,last14_ctr,last14_position,prev14_clicks,prev14_impressions,prev14_ctr,prev14_position,w14_clicks_change,w14_clicks_change_pct,w14_impressions_change,w14_impressions_change_pct,w14_ctr_change,w14_position_change,w14_position_direction,w14_status
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,162.0,8260.0,0.019612590799031476,5.19,98.0,5483.0,0.01787342695604596,5.57,64.0,65.3,2777.0,50.6,0.0017,-0.38,stable,both,260,13743,0.01891872225860438,5.34,77,5367,0.014346934972983045,6.29,183,237.7,8376,156.1,0.0046,-0.95,improved,both
https://gptbot.uz/ru/gpt-chat/,61.0,2723.0,0.022401762761659935,5.95,32.0,1621.0,0.01974090067859346,5.18,29.0,90.6,1102.0,68.0,0.0027,0.77,worsened,both,93,4344,0.021408839779005526,5.66,24,1168,0.02054794520547945,5.71,69,287.5,3176,271.9,0.0009,-0.05,stable,both
https://gptbot.uz/uz/gpt-uzbek-tilida/,45.0,6364.0,0.007071024512884978,6.75,40.0,4990.0,0.008016032064128256,6.7,5.0,12.5,1374.0,27.5,-0.0009,0.05,stable,both,85,11354,0.0074863484234630965,6.73,34,2776,0.012247838616714697,7.07,51,150.0,8578,309.0,-0.0048,-0.34,stable,both
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,43.0,12918.0,0.0033286886514940395,7.4,52.0,12326.0,0.0042187246470874575,6.92,-9.0,-17.3,592.0,4.8,-0.0009,0.48,stable,both,95,25244,0.0037632704801140865,7.16,0,0,,,95,,25244,,0.0038,,n/a,new
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,13.0,134.0,0.09701492537313433,4.06,10.0,99.0,0.10101010101010101,4.13,3.0,30.0,35.0,35.4,-0.004,-0.07,stable,both,23,233,0.09871244635193133,4.09,23,153,0.1503267973856209,3.62,0,0.0,80,52.3,-0.0516,0.47,stable,both
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,10.0,209.0,0.04784688995215311,3.68,6.0,182.0,0.03296703296703297,3.85,4.0,66.7,27.0,14.8,0.0149,-0.17,stable,both,16,391,0.04092071611253197,3.76,22,315,0.06984126984126984,3.97,-6,-27.3,76,24.1,-0.0289,-0.21,stable,both
https://gptbot.uz/,3.0,37.0,0.08108108108108109,8.62,3.0,18.0,0.16666666666666666,14.83,0.0,0.0,19.0,105.6,-0.0856,-6.21,improved,both,6,55,0.10909090909090909,10.65,6,50,0.12,12.04,0,0.0,5,10.0,-0.0109,-1.39,improved,both
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,3.0,141.0,0.02127659574468085,5.85,4.0,163.0,0.024539877300613498,6.25,-1.0,-25.0,-22.0,-13.5,-0.0033,-0.4,stable,both,7,304,0.023026315789473683,6.06,7,174,0.040229885057471264,6.36,0,0.0,130,74.7,-0.0172,-0.3,stable,both
https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,2.0,87.0,0.022988505747126436,8.61,0.0,52.0,0.0,10.1,2.0,,35.0,67.3,0.023,-1.49,improved,both,2,139,0.014388489208633094,9.17,0,107,0.0,9.53,2,,32,29.9,0.0144,-0.36,stable,both
https://gptbot.uz/ru/blog/chat-gpt-online/,2.0,22.0,0.09090909090909091,11.45,0.0,23.0,0.0,12.91,2.0,,-1.0,-4.3,0.0909,-1.46,improved,both,2,45,0.044444444444444446,12.2,0,23,0.0,12.22,2,,22,95.7,0.0444,-0.02,stable,both
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2.0,42.0,0.047619047619047616,18.02,0.0,53.0,0.0,26.72,2.0,,-11.0,-20.8,0.0476,-8.7,improved,both,2,95,0.021052631578947368,22.87,1,60,0.016666666666666666,12.92,1,100.0,35,58.3,0.0044,9.95,worsened,both
https://gptbot.uz/ru/gpt-chat-guide/,2.0,8.0,0.25,5.38,0.0,1.0,0.0,3.0,2.0,,7.0,700.0,0.25,2.38,worsened,both,2,9,0.2222222222222222,5.11,0,3,0.0,5.67,2,,6,200.0,0.2222,-0.56,improved,both
https://gptbot.uz/ru/stoimost-chat-bota/,2.0,33.0,0.06060606060606061,13.24,0.0,18.0,0.0,14.83,2.0,,15.0,83.3,0.0606,-1.59,improved,both,2,51,0.0392156862745098,13.8,0,20,0.0,21.7,2,,31,155.0,0.0392,-7.9,improved,both
