query,segment,topic,topic_group,language,intent,relevant,first_seen,days_since_first_seen,days_with_impressions,last7_impressions,prev7_impressions,last14_impressions,prev14_impressions,impressions_change_14_pct,last28_impressions,impressions_90d,last7_clicks,last14_clicks,last28_clicks,clicks_90d,ctr_last28,last14_position,prev14_position,position_change_14,position_bucket_14d,striking_distance,visible_no_clicks,emerging_score,top_page_28d
chatgpt yozish,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-01,13,10,210,33,243,0,,243,243,1,1,1,1,0.0041,8.89,,,4-10,True,False,14.32,https://gptbot.uz/ru/gpt-chat/
chatgpt bepul,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-01,13,14,192,49,241,0,,241,241,2,4,4,4,0.0166,6.29,,,4-10,True,False,14.3,https://gptbot.uz/ru/gpt-chat/
таргет нима,new_14d,digital_marketing,services_marketing,uz,commercial_investigation,True,2026-09-03,11,10,14,9,23,0,,23,23,0,0,0,0,0.0,8.26,,,4-10,True,True,11.04,https://gptbot.uz/uz/blog/target-reklama-nima/
chatgpt ga kirish,new_14d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-09-01,13,14,74,48,122,0,,122,122,0,0,0,0,0.0,7.99,,,4-10,True,True,10.45,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt õzbekcha,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-03,11,9,16,32,48,0,,48,48,0,0,0,0,0.0,7.12,,,4-10,True,True,10.14,https://gptbot.uz/uz/gpt-uzbek-tilida/
chaji piti online,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-07,7,8,42,1,43,0,,43,43,0,0,0,0,0.0,5.86,,,4-10,True,True,9.86,https://gptbot.uz/ru/gpt-chat/
жажипити,new_14d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-09-02,12,12,30,9,39,0,,39,39,0,0,0,0,0.0,3.51,,,4-10,False,True,9.61,https://gptbot.uz/ru/gpt-chat/
chatgptga kirish,new_14d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-09-02,12,13,42,22,64,0,,64,64,1,1,1,1,0.0156,3.66,,,4-10,False,False,9.06,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chat gpt kirish,new_14d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-09-03,11,12,27,16,43,0,,43,43,0,0,0,0,0.0,8.09,,,4-10,True,True,8.22,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgptga,new_14d,chatgpt_online,chatgpt_product,neutral,transactional,True,2026-09-04,10,9,12,10,22,0,,22,22,0,0,0,0,0.0,6.05,,,4-10,True,True,8.17,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
