segment,topic,queries,impressions_14d,impressions_28d,clicks_28d,avg_position_14d
new_14d,chatgpt_online,12,733,733,8,6.7
new_14d,chatgpt_login,4,239,239,1,6.3
new_14d,chatgpt_download,2,58,58,0,8.6
new_14d,chatgpt_translate,2,42,42,1,6.9
new_14d,digital_marketing,1,23,23,0,8.3
new_14d,other,1,10,10,0,8.5
new_28d,chatgpt_login,4,25463,27098,94,6.7
new_28d,chatgpt_online,21,3507,4217,36,6.6
new_28d,chatgpt_download,7,798,867,11,7.3
new_28d,leads_automation,9,52,125,0,38.3
new_28d,other,4,49,86,1,6.5
new_28d,chatgpt_translate,2,52,80,1,6.8
new_28d,chatbot_dev,3,45,69,0,27.0
new_28d,seo,3,23,50,0,51.2
new_28d,telegram_ads,1,24,26,0,8.8
new_28d,whatsapp_bots,1,12,23,0,37.3
new_28d,chatgpt_payment,1,8,22,5,1.1
new_28d,telegram_bots,1,7,19,0,12.6
new_28d,digital_marketing,1,3,10,0,47.3
rising,chatgpt_download,5,4943,6468,110,6.4
rising,chatgpt_login,3,4963,5722,31,5.9
rising,chatgpt_online,7,1729,2396,20,5.4
rising,chatgpt_translate,1,275,337,3,6.5
rising,chatbot_dev,1,53,73,0,57.3
visible_no_clicks,seo,26,418,1168,0,63.2
visible_no_clicks,leads_automation,9,145,334,0,29.6
visible_no_clicks,chatgpt_online,5,102,195,0,5.5
visible_no_clicks,instagram_bots,2,36,83,0,13.5
visible_no_clicks,smm,1,34,78,0,8.7
visible_no_clicks,chatbot_dev,2,28,63,0,31.9
visible_no_clicks,chatgpt_download,2,42,58,0,6.7
visible_no_clicks,irrelevant_ukr,1,13,29,0,80.1
