query,week_start,impressions,clicks,position
chachipiti oʻzbek tilida,2026-08-17,4,0,8.5
chachipiti oʻzbek tilida,2026-08-24,16,0,8.1
chachipiti oʻzbek tilida,2026-08-31,63,0,8.7
chachipiti oʻzbek tilida,2026-09-07,61,0,8.4
chachipiti oʻzbek tilida,2026-09-14,17,0,7.2
chat gpt uzbekcha,2026-08-17,2,0,7.5
chat gpt uzbekcha,2026-08-24,46,1,8.9
chat gpt uzbekcha,2026-08-31,67,4,6.0
chat gpt uzbekcha,2026-09-07,58,0,5.4
chat gpt uzbekcha,2026-09-14,7,0,5.1
chat gpt yuklash,2026-08-03,1,0,11.0
chat gpt yuklash,2026-08-17,1,0,26.0
chat gpt yuklash,2026-08-24,62,0,8.3
chat gpt yuklash,2026-08-31,242,1,7.2
chat gpt yuklash,2026-09-07,267,6,6.8
chat gpt yuklash,2026-09-14,41,0,7.0
chatgpt 4 uzbek tilida,2026-08-17,1,0,10.0
chatgpt 4 uzbek tilida,2026-08-24,6,0,9.7
chatgpt 4 uzbek tilida,2026-08-31,89,0,9.2
chatgpt 4 uzbek tilida,2026-09-07,15,0,9.6
chatgpt 4 uzbek tilida,2026-09-14,1,0,7.0
chatgpt bepul,2026-08-31,42,2,6.5
chatgpt bepul,2026-09-07,80,0,5.4
chatgpt bepul,2026-09-14,119,2,6.8
chatgpt bepul kirish,2026-08-24,217,1,11.3
chatgpt bepul kirish,2026-08-31,588,1,8.8
chatgpt bepul kirish,2026-09-07,1138,9,8.2
chatgpt bepul kirish,2026-09-14,263,0,8.7
chatgpt ga kirish,2026-08-31,40,0,7.5
chatgpt ga kirish,2026-09-07,73,0,7.8
chatgpt ga kirish,2026-09-14,9,0,9.0
chatgpt ilovasini yuklab olish,2026-07-27,14,0,9.7
chatgpt ilovasini yuklab olish,2026-08-03,54,2,8.3
chatgpt ilovasini yuklab olish,2026-08-10,212,1,7.0
chatgpt ilovasini yuklab olish,2026-08-17,302,3,8.1
chatgpt ilovasini yuklab olish,2026-08-24,291,6,5.9
chatgpt ilovasini yuklab olish,2026-08-31,585,15,5.1
chatgpt ilovasini yuklab olish,2026-09-07,668,25,5.2
chatgpt ilovasini yuklab olish,2026-09-14,114,5,6.0
chatgpt kirish,2026-08-17,60,0,9.0
chatgpt kirish,2026-08-24,1237,2,8.8
chatgpt kirish,2026-08-31,8939,37,7.4
chatgpt kirish,2026-09-07,13725,41,7.5
chatgpt kirish,2026-09-14,680,0,8.6
chatgpt kirish login,2026-08-24,1,0,7.0
chatgpt kirish login,2026-08-31,60,3,6.1
chatgpt kirish login,2026-09-07,50,0,6.9
chatgpt kirish login,2026-09-14,4,0,7.5
chatgpt kirish uzbek tilida,2026-08-03,13,0,8.7
chatgpt kirish uzbek tilida,2026-08-10,3,0,7.0
chatgpt kirish uzbek tilida,2026-08-17,68,0,7.9
chatgpt kirish uzbek tilida,2026-08-24,241,0,7.1
chatgpt kirish uzbek tilida,2026-08-31,729,3,5.6
chatgpt kirish uzbek tilida,2026-09-07,858,4,5.8
chatgpt kirish uzbek tilida,2026-09-14,118,1,5.9
chatgpt ochish,2026-08-03,5,0,9.4
chatgpt ochish,2026-08-10,41,1,8.4
chatgpt ochish,2026-08-17,297,0,8.1
chatgpt ochish,2026-08-24,104,1,6.1
chatgpt ochish,2026-08-31,1029,8,5.7
chatgpt ochish,2026-09-07,1639,12,5.8
chatgpt ochish,2026-09-14,220,1,6.4
chatgpt ochish uzbek tilida,2026-08-03,1,0,8.0
chatgpt ochish uzbek tilida,2026-08-10,5,0,6.9
chatgpt ochish uzbek tilida,2026-08-24,32,1,6.5
chatgpt ochish uzbek tilida,2026-08-31,199,0,6.3
chatgpt ochish uzbek tilida,2026-09-07,220,0,6.1
chatgpt ochish uzbek tilida,2026-09-14,20,0,6.8
chatgpt online kirish,2026-08-24,9,0,6.7
chatgpt online kirish,2026-08-31,63,0,5.1
chatgpt online kirish,2026-09-07,50,0,5.5
chatgpt online kirish,2026-09-14,14,0,6.2
chatgpt ozbekcha,2026-08-17,5,0,7.8
chatgpt ozbekcha,2026-08-24,40,1,6.4
chatgpt ozbekcha,2026-08-31,68,0,6.7
chatgpt ozbekcha,2026-09-07,129,1,5.4
chatgpt ozbekcha,2026-09-14,15,0,5.4
chatgpt oʻzbek tilida,2026-08-03,1,0,14.0
chatgpt oʻzbek tilida,2026-08-17,8,0,7.9
