query,topic,topic_group,language,intent,is_brand,is_local,position_bucket,top_page_28d,pages_ranking_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,is_commercial_modifier,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_all,impressions_all,position_all,top_page_impressions_28d,current_period,previous_period
chatgpt yuklab olish uzbek tilida,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,3.0,176,9604,0.0183256976259891,4.675239483548522,11,1878,0.0058572949946751,8.209797657082003,165,1500.0,7726,411.4,0.0125,-3.53,improved,both,False,187,11482,0.0162863612611043,5.253353074377286,187,11482,5.253353074377286,9601.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt ilovasini yuklab olish,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,54,1930,0.0279792746113989,5.722279792746114,3,310,0.0096774193548387,7.2709677419354835,51,1700.0,1620,522.6,0.0183,-1.55,improved,both,False,57,2240,0.0254464285714285,5.936607142857143,57,2240,5.936607142857143,1930.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt yuklab olish,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,48,3732,0.0128617363344051,7.064844587352626,2,130,0.0153846153846153,4.7846153846153845,46,2300.0,3602,2770.8,-0.0025,2.28,worsened,both,False,50,3862,0.0129466597617814,6.988089073019161,50,3862,6.988089073019161,3732.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt ochish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,4.0,22,3237,0.0067964164349706,6.06641952425085,1,98,0.010204081632653,9.214285714285714,21,2100.0,3139,3203.1,-0.0034,-3.15,improved,both,False,23,3335,0.0068965517241379,6.158920539730135,23,3335,6.158920539730135,1855.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uz,chatgpt_online,chatgpt_product,neutral,transactional,False,True,4-10,https://gptbot.uz/ru/gpt-chat/,3.0,12,685,0.0175182481751824,5.097810218978102,0,116,0.0,5.896551724137931,12,,569,490.5,0.0175,-0.8,improved,both,False,12,801,0.0149812734082397,5.213483146067416,12,801,5.213483146067416,368.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt kirish uzbek tilida,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,4.0,8,2014,0.0039721946375372,5.925024826216484,0,16,0.0,8.4375,8,,1998,12487.5,0.004,-2.51,improved,both,False,8,2030,0.0039408866995073,5.944827586206896,8,2030,5.944827586206896,1920.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbek tilida online,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,4.0,8,700,0.0114285714285714,5.897142857142857,0,43,0.0,6.930232558139535,8,,657,1527.9,0.0114,-1.03,improved,both,False,8,743,0.0107671601615074,5.956931359353971,8,743,5.956931359353971,665.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbekcha online,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,2.0,7,1079,0.0064874884151992,5.085264133456905,0,4,0.0,8.0,7,,1075,26875.0,0.0065,-2.91,improved,both,False,7,1083,0.0064635272391505,5.096029547553093,7,1083,5.096029547553093,1011.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chat gpt yuklash,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2.0,7,613,0.0114192495921696,7.192495921696574,0,1,0.0,11.0,7,,612,61200.0,0.0114,-3.81,improved,both,False,7,614,0.011400651465798,7.198697068403908,7,614,7.198697068403908,613.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbek tilida gaplashish,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,6,647,0.0092735703245749,7.049459041731066,0,4,0.0,6.5,6,,643,16075.0,0.0093,0.55,worsened,both,False,6,651,0.0092165898617511,7.046082949308755,6,651,7.046082949308755,638.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt tarjima,chatgpt_translate,chatgpt_product,uz,informational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,3,337,0.0089020771513353,6.480712166172107,0,10,0.0,6.5,3,,327,3270.0,0.0089,-0.02,stable,both,False,3,347,0.0086455331412103,6.481268011527377,3,347,6.481268011527377,324.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt ochish uzbek tilida,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,4.0,1,471,0.0021231422505307,6.157112526539279,0,6,0.0,7.0,1,,465,7750.0,0.0021,-0.84,improved,both,False,1,477,0.0020964360587002,6.167714884696017,1,477,6.167714884696017,322.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
