query,topic,topic_group,language,intent,is_brand,is_local,position_bucket,top_page_28d,pages_ranking_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,is_commercial_modifier,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_all,impressions_all,position_all,top_page_impressions_28d,current_period,previous_period
chatgpt kirish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,4.0,80,24641,0.0032466214845176,7.367476969278844,0,0,,,80,,24641,,0.0032,,n/a,new,False,80,24641,0.0032466214845176,7.367476969278844,80,24641,7.367476969278844,21142.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt bepul kirish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,11,2206,0.0049864007252946,8.422937443336355,0,0,,,11,,2206,,0.005,,n/a,new,False,11,2206,0.0049864007252946,8.422937443336355,11,2206,8.422937443336355,2205.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbekcha,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,6,984,0.0060975609756097,6.227642276422764,0,0,,,6,,984,,0.0061,,n/a,new,False,6,984,0.0060975609756097,6.227642276422764,6,984,6.227642276422764,873.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbekcha bepul,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,9,967,0.0093071354705274,5.323681489141675,0,0,,,9,,967,,0.0093,,n/a,new,False,9,967,0.0093071354705274,5.323681489141675,9,967,5.323681489141675,939.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
jaji piti online,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,2.0,4,670,0.0059701492537313,6.980597014925373,0,0,,,4,,670,,0.006,,n/a,new,False,4,670,0.0059701492537313,6.980597014925373,4,670,6.980597014925373,612.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbekcha скачать,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,3.0,3,327,0.0091743119266055,8.629969418960243,0,0,,,3,,327,,0.0092,,n/a,new,False,3,327,0.0091743119266055,8.629969418960243,3,327,8.629969418960243,243.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt ozbekcha,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,3.0,2,257,0.0077821011673151,5.972762645914397,0,0,,,2,,257,,0.0078,,n/a,new,False,2,257,0.0077821011673151,5.972762645914397,2,257,5.972762645914397,137.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt yozish,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,2.0,1,243,0.0041152263374485,8.893004115226336,0,0,,,1,,243,,0.0041,,n/a,new,False,1,243,0.0041152263374485,8.893004115226336,1,243,8.893004115226336,209.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt bepul,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,2.0,4,241,0.0165975103734439,6.294605809128631,0,0,,,4,,241,,0.0166,,n/a,new,False,4,241,0.0165975103734439,6.294605809128631,4,241,6.294605809128631,223.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chat gpt uzbekcha,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,5,180,0.0277777777777777,6.216666666666667,0,0,,,5,,180,,0.0278,,n/a,new,False,5,180,0.0277777777777777,6.216666666666667,5,180,6.216666666666667,161.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чат гпт узбекча,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,3,176,0.0170454545454545,5.607954545454546,0,0,,,3,,176,,0.017,,n/a,new,False,3,176,0.0170454545454545,5.607954545454546,3,176,5.607954545454546,136.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chachipiti oʻzbek tilida,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,1.0,0,161,0.0,8.298136645962732,0,0,,,0,,161,,0.0,,n/a,new,False,0,161,0.0,8.298136645962732,0,161,8.298136645962732,161.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt skachat uzbek tilida,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2.0,2,137,0.0145985401459854,7.087591240875913,0,0,,,2,,137,,0.0146,,n/a,new,False,2,137,0.0145985401459854,7.087591240875913,2,137,7.087591240875913,126.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt online kirish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,3.0,0,136,0.0,5.316176470588236,0,0,,,0,,136,,0.0,,n/a,new,False,0,136,0.0,5.316176470588236,0,136,5.316176470588236,101.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt ga kirish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,3.0,0,122,0.0,7.991803278688525,0,0,,,0,,122,,0.0,,n/a,new,False,0,122,0.0,7.991803278688525,0,122,7.991803278688525,95.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
