query,clicks,impressions,ctr,position,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket,fine_bucket,expected_ctr_site,ctr_gap,ctr_ratio,potential_extra_clicks_28d,norm_impressions,top10_proximity,commercial_relevance,service_fit,improvement_probability,difficulty,opportunity_score,top_page_28d,top_page_impressions_28d,pages_ranking_28d,quick_win_type
chatgpt kirish,80,24641,0.0032466214845176,7.367476969278844,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0053,0.38,130.6,1.0,1.0,0.5,1.0,0.8,1,40.0,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,21142,4,ctr_gap
chatgpt uzbekcha online,7,1079,0.0064874884151992,5.085264133456905,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4-6,0.015625,0.0091,0.42,9.9,0.691,1.0,0.6,1.0,0.8,1,33.17,https://gptbot.uz/ru/gpt-chat/,1011,2,ctr_gap
услуги смм специалиста,0,78,0.0,9.23076923076923,smm,services_marketing,ru,commercial,False,False,True,4-10,7-10,0.0085470085470085,0.0085,0.0,0.7,0.432,1.0,0.9,1.0,0.8,1,31.1,https://gptbot.uz/ru/blog/chto-vhodit-v-uslugi-smm-specialista/,76,2,ctr_gap
chatgpt kirish uzbek tilida,8,2014,0.0039721946375372,5.925024826216484,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,4-6,0.015625,0.0117,0.25,23.5,0.752,1.0,0.5,1.0,0.8,1,30.08,https://gptbot.uz/uz/gpt-uzbek-tilida/,1920,4,ctr_gap
chatgpt uzbek tilida,1,284,0.0035211267605633,6.573943661971831,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.005,0.41,1.4,0.559,1.0,0.6,1.0,0.8,1,26.83,https://gptbot.uz/uz/gpt-uzbek-tilida/,273,3,ctr_gap
chatgpt yozish,1,243,0.0041152263374485,8.893004115226336,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0044,0.48,1.1,0.544,1.0,0.6,1.0,0.8,1,26.11,https://gptbot.uz/ru/gpt-chat/,209,2,ctr_gap
chatgpt uzbekcha,6,984,0.0060975609756097,6.227642276422764,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0024,0.71,2.4,0.682,1.0,0.6,1.0,0.6,1,24.55,https://gptbot.uz/uz/gpt-uzbek-tilida/,873,3,volume_pos4_10
chatgpt uzbekcha bepul,9,967,0.0093071354705274,5.323681489141675,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4-6,0.015625,0.0063,0.6,6.1,0.68,1.0,0.6,1.0,0.6,1,24.48,https://gptbot.uz/uz/gpt-uzbek-tilida/,939,3,volume_pos4_10
chatgpt ochish uzbek tilida,1,471,0.0021231422505307,6.157112526539279,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0064,0.25,3.0,0.609,1.0,0.5,1.0,0.8,1,24.36,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,322,4,ctr_gap
chachipiti oʻzbek tilida,0,161,0.0,8.298136645962732,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,1.4,0.503,1.0,0.6,1.0,0.8,1,24.14,https://gptbot.uz/uz/gpt-uzbek-tilida/,161,1,ctr_gap
chatgpt ochish,22,3237,0.0067964164349706,6.06641952425085,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0018,0.8,5.7,0.799,1.0,0.5,1.0,0.6,1,23.97,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1855,4,volume_pos4_10
chatgpt uzbek tilida online,8,700,0.0114285714285714,5.897142857142857,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4-6,0.015625,0.0042,0.73,2.9,0.648,1.0,0.6,1.0,0.6,1,23.33,https://gptbot.uz/uz/gpt-uzbek-tilida/,665,4,volume_pos4_10
jaji piti online,4,670,0.0059701492537313,6.980597014925373,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0026,0.7,1.7,0.644,1.0,0.6,1.0,0.6,1,23.18,https://gptbot.uz/ru/gpt-chat/,612,2,volume_pos4_10
chatgpt bepul kirish,11,2206,0.0049864007252946,8.422937443336355,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0036,0.58,7.9,0.761,1.0,0.5,1.0,0.6,1,22.83,https://gptbot.uz/uz/gpt-uzbek-tilida/,2205,2,ctr_gap
chatgpt 4 uzbek tilida,0,112,0.0,9.116071428571429,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,1.0,0.467,1.0,0.6,1.0,0.8,1,22.42,https://gptbot.uz/uz/gpt-uzbek-tilida/,90,3,ctr_gap
chatgpt uzbek,0,102,0.0,6.598039215686274,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,0.9,0.458,1.0,0.6,1.0,0.8,1,21.98,https://gptbot.uz/uz/gpt-uzbek-tilida/,99,2,ctr_gap
chatgpt узбекча,0,99,0.0,6.595959595959596,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,0.8,0.455,1.0,0.6,1.0,0.8,1,21.84,https://gptbot.uz/ru/gpt-chat/,99,1,ctr_gap
onlayn chatgpt,0,87,0.0,6.114942528735632,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,0.7,0.443,1.0,0.6,1.0,0.8,1,21.26,https://gptbot.uz/ru/gpt-chat/,67,2,ctr_gap
chatgpt ozbekcha,2,257,0.0077821011673151,5.972762645914397,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4-6,0.015625,0.0078,0.5,2.0,0.549,1.0,0.6,1.0,0.6,1,19.76,https://gptbot.uz/ru/gpt-chat/,137,3,ctr_gap
chatgpt online kirish,0,136,0.0,5.316176470588236,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,4-6,0.015625,0.0156,0.0,2.1,0.487,1.0,0.5,1.0,0.8,1,19.48,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,101,3,ctr_gap
chatgpt yuklab olish kompyuter uchun,0,132,0.0,7.204545454545454,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,1.1,0.484,1.0,0.5,1.0,0.8,1,19.36,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,132,1,ctr_gap
chatgpt ga kirish,0,122,0.0,7.991803278688525,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,1.0,0.476,1.0,0.5,1.0,0.8,1,19.04,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,95,3,ctr_gap
chatgpt uzbek tilida skachat,0,100,0.0,7.67,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0085,0.0,0.9,0.456,1.0,0.5,1.0,0.8,1,18.24,https://gptbot.uz/uz/gpt-uzbek-tilida/,60,3,ctr_gap
chat gpt uz,1,70,0.0142857142857142,4.614285714285714,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,4-6,0.015625,0.0013,0.91,0.1,0.422,1.0,0.6,1.0,0.6,1,15.19,https://gptbot.uz/ru/gpt-chat/,38,2,volume_pos4_10
