query,last7_clicks,last7_impressions,last7_ctr,last7_position,prev7_clicks,prev7_impressions,prev7_ctr,prev7_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,last14_clicks,last14_impressions,last14_ctr,last14_position,prev14_clicks,prev14_impressions,prev14_ctr,prev14_position,w14_clicks_change,w14_clicks_change_pct,w14_impressions_change,w14_impressions_change_pct,w14_ctr_change,w14_position_change,w14_position_direction,w14_status,topic,language,is_brand,last7_period,prev7_period
chatgpt yuklab olish uzbek tilida,81.0,3608.0,0.02245011086474501,4.09,44.0,2736.0,0.01608187134502924,4.37,37.0,84.1,872.0,31.9,0.0064,-0.28,stable,both,125,6344,0.019703656998738966,4.21,51,3260,0.015644171779141104,5.58,74,145.1,3084,94.6,0.0041,-1.37,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt kirish,39.0,12609.0,0.0030930287889602663,7.46,39.0,10700.0,0.003644859813084112,7.07,0.0,0.0,1909.0,17.8,-0.0006,0.39,stable,both,78,23309,0.0033463469046291134,7.28,2,1332,0.0015015015015015015,8.86,76,3800.0,21977,1649.9,0.0018,-1.58,improved,both,chatgpt_login,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt ilovasini yuklab olish,28.0,715.0,0.039160839160839164,5.37,17.0,602.0,0.02823920265780731,5.11,11.0,64.7,113.0,18.8,0.0109,0.26,stable,both,45,1317,0.03416856492027335,5.25,9,613,0.01468189233278956,6.74,36,400.0,704,114.8,0.0195,-1.49,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt yuklab olish,21.0,1813.0,0.011583011583011582,6.23,21.0,1147.0,0.018308631211857017,7.86,0.0,0.0,666.0,58.1,-0.0067,-1.63,improved,both,42,2960,0.01418918918918919,6.86,6,772,0.007772020725388601,7.84,36,600.0,2188,283.4,0.0064,-0.98,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt ochish,10.0,1634.0,0.006119951040391677,5.95,10.0,1241.0,0.008058017727639,5.74,0.0,0.0,393.0,31.7,-0.0019,0.21,stable,both,20,2875,0.006956521739130435,5.86,2,362,0.0055248618784530384,7.73,18,900.0,2513,694.2,0.0014,-1.87,improved,both,chatgpt_login,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt bepul kirish,8.0,1290.0,0.006201550387596899,8.27,1.0,629.0,0.001589825119236884,8.32,7.0,700.0,661.0,105.1,0.0046,-0.05,stable,both,9,1919,0.004689942678478374,8.29,2,287,0.006968641114982578,9.33,7,350.0,1632,568.6,-0.0023,-1.04,improved,both,chatgpt_login,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chat gpt yuklash,6.0,275.0,0.02181818181818182,6.87,1.0,249.0,0.004016064257028112,7.02,5.0,500.0,26.0,10.4,0.0178,-0.15,stable,both,7,524,0.013358778625954198,6.94,0,89,0.0,8.65,7,,435,488.8,0.0134,-1.71,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt uzbekcha bepul,5.0,524.0,0.009541984732824428,4.92,2.0,265.0,0.007547169811320755,5.55,3.0,150.0,259.0,97.7,0.002,-0.63,improved,both,7,789,0.008871989860583017,5.13,2,178,0.011235955056179775,6.18,5,250.0,611,343.3,-0.0024,-1.05,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат джипити узбекча,4.0,16.0,0.25,4.81,0.0,3.0,0.0,8.0,4.0,,13.0,433.3,0.25,-3.19,improved,both,4,19,0.21052631578947367,5.32,0,19,0.0,7.32,4,,0,0.0,0.2105,-2.0,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt kirish uzbek tilida,4.0,838.0,0.00477326968973747,5.8,4.0,816.0,0.004901960784313725,5.63,0.0,0.0,22.0,2.7,-0.0001,0.17,stable,both,8,1654,0.0048367593712212815,5.71,0,360,0.0,6.89,8,,1294,359.4,0.0048,-1.18,improved,both,chatgpt_login,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
