dimension,value,queries,clicks,impressions,ctr,position,clicks_share_pct,impressions_share_pct,period
topic,ai_general,41,1,83,0.012,34.93,0.2,0.1,last28
topic,brand,3,6,19,0.3158,2.68,1.1,0.0,last28
topic,chatbot_dev,40,0,300,0.0,43.25,0.0,0.5,last28
topic,chatgpt_alternatives,4,0,4,0.0,29.0,0.0,0.0,last28
topic,chatgpt_download,22,298,17077,0.0175,5.61,54.7,26.4,last28
topic,chatgpt_login,11,126,33059,0.0038,7.19,23.1,51.1,last28
topic,chatgpt_online,130,99,9569,0.0103,6.17,18.2,14.8,last28
topic,chatgpt_payment,9,5,31,0.1613,1.74,0.9,0.0,last28
topic,chatgpt_prompts,3,2,54,0.037,6.52,0.4,0.1,last28
topic,chatgpt_translate,6,5,463,0.0108,6.44,0.9,0.7,last28
topic,digital_marketing,74,0,208,0.0,23.4,0.0,0.3,last28
topic,instagram_bots,24,0,149,0.0,18.78,0.0,0.2,last28
topic,irrelevant_ukr,1,0,29,0.0,85.72,0.0,0.0,last28
topic,leads_automation,126,0,881,0.0,31.1,0.0,1.4,last28
topic,other,137,1,353,0.0028,12.41,0.2,0.5,last28
topic,seo,205,0,1751,0.0,58.91,0.0,2.7,last28
topic,smm,60,1,290,0.0034,22.72,0.2,0.4,last28
topic,telegram_ads,18,0,96,0.0,36.65,0.0,0.1,last28
topic,telegram_bots,26,0,99,0.0,17.75,0.0,0.2,last28
topic,webdev,40,1,99,0.0101,44.25,0.2,0.2,last28
topic,whatsapp_bots,4,0,52,0.0,35.04,0.0,0.1,last28
topic_group,ai_informational,41,1,83,0.012,34.93,0.2,0.1,last28
topic_group,brand,3,6,19,0.3158,2.68,1.1,0.0,last28
topic_group,chatgpt_product,185,535,60257,0.0089,6.57,98.2,93.2,last28
topic_group,irrelevant,1,0,29,0.0,85.72,0.0,0.0,last28
topic_group,other,137,1,353,0.0028,12.41,0.2,0.5,last28
topic_group,services_bots,220,0,1481,0.0,31.57,0.0,2.3,last28
topic_group,services_marketing,152,1,594,0.0017,25.21,0.2,0.9,last28
topic_group,services_web,245,1,1850,0.0005,58.12,0.2,2.9,last28
language,en,33,5,404,0.0124,8.29,0.9,0.6,last28
language,neutral,106,18,977,0.0184,8.54,3.3,1.5,last28
language,ru,705,11,4112,0.0027,41.32,2.0,6.4,last28
language,ukr,1,0,29,0.0,85.72,0.0,0.0,last28
language,uz,139,511,59144,0.0086,6.61,93.8,91.5,last28
intent,commercial,192,2,712,0.0028,30.67,0.4,1.1,last28
intent,commercial_investigation,265,0,1818,0.0,44.71,0.0,2.8,last28
intent,informational,223,13,2030,0.0064,35.73,2.4,3.1,last28
intent,navigational,36,430,50155,0.0086,6.65,78.9,77.6,last28
intent,transactional,130,99,9569,0.0103,6.17,18.2,14.8,last28
intent,unknown,138,1,382,0.0026,17.98,0.2,0.6,last28
position_bucket,1-3,43,12,84,0.1429,1.8,2.2,0.1,last28
position_bucket,11-20,91,1,274,0.0036,14.96,0.2,0.4,last28
position_bucket,21-50,303,1,1589,0.0006,31.69,0.2,2.5,last28
position_bucket,4-10,345,531,60873,0.0087,6.57,97.4,94.1,last28
position_bucket,51+,202,0,1846,0.0,65.16,0.0,2.9,last28
topic,ai_general,11,1,25,0.04,46.56,4.0,0.6,prev28
topic,brand,3,2,7,0.2857,13.43,8.0,0.2,prev28
topic,chatbot_dev,33,0,112,0.0,66.25,0.0,2.6,prev28
topic,chatgpt_alternatives,2,0,4,0.0,4.0,0.0,0.1,prev28
topic,chatgpt_download,8,16,2345,0.0068,7.89,64.0,54.2,prev28
topic,chatgpt_login,3,1,120,0.0083,9.0,4.0,2.8,prev28
topic,chatgpt_online,43,5,454,0.011,8.86,20.0,10.5,prev28
topic,chatgpt_prompts,2,0,15,0.0,4.6,0.0,0.3,prev28
topic,chatgpt_translate,1,0,10,0.0,6.5,0.0,0.2,prev28
topic,digital_marketing,33,0,81,0.0,30.25,0.0,1.9,prev28
topic,instagram_bots,9,0,49,0.0,34.84,0.0,1.1,prev28
topic,irrelevant_ukr,3,0,12,0.0,68.17,0.0,0.3,prev28
topic,leads_automation,46,0,120,0.0,39.77,0.0,2.8,prev28
topic,other,40,0,59,0.0,26.85,0.0,1.4,prev28
topic,seo,128,0,557,0.0,73.89,0.0,12.9,prev28
topic,smm,19,0,71,0.0,27.82,0.0,1.6,prev28
topic,telegram_bots,44,0,83,0.0,53.59,0.0,1.9,prev28
topic,webdev,44,0,190,0.0,67.73,0.0,4.4,prev28
topic,whatsapp_bots,3,0,15,0.0,40.47,0.0,0.3,prev28
topic_group,ai_informational,11,1,25,0.04,46.56,4.0,0.6,prev28
topic_group,brand,3,2,7,0.2857,13.43,8.0,0.2,prev28
topic_group,chatgpt_product,59,22,2948,0.0075,8.06,88.0,68.1,prev28
topic_group,irrelevant,3,0,12,0.0,68.17,0.0,0.3,prev28
topic_group,other,40,0,59,0.0,26.85,0.0,1.4,prev28
topic_group,services_bots,135,0,379,0.0,50.01,0.0,8.8,prev28
topic_group,services_marketing,52,0,152,0.0,29.11,0.0,3.5,prev28
topic_group,services_web,172,0,747,0.0,72.33,0.0,17.3,prev28
language,en,23,1,97,0.0103,23.37,4.0,2.2,prev28
language,neutral,44,2,206,0.0097,13.59,8.0,4.8,prev28
language,ru,367,2,1297,0.0015,59.61,8.0,30.0,prev28
language,ukr,3,0,12,0.0,68.17,0.0,0.3,prev28
language,uz,38,20,2717,0.0074,7.96,80.0,62.8,prev28
intent,commercial,89,0,251,0.0,61.8,0.0,5.8,prev28
intent,commercial_investigation,150,0,641,0.0,58.31,0.0,14.8,prev28
intent,informational,136,1,440,0.0023,58.71,4.0,10.2,prev28
intent,navigational,14,19,2472,0.0077,7.96,76.0,57.1,prev28
intent,transactional,43,5,454,0.011,8.86,20.0,10.5,prev28
intent,unknown,43,0,71,0.0,33.83,0.0,1.6,prev28
position_bucket,1-3,10,3,15,0.2,2.27,12.0,0.3,prev28
position_bucket,11-20,34,1,76,0.0132,16.36,4.0,1.8,prev28
position_bucket,21-50,130,0,369,0.0,34.33,0.0,8.5,prev28
position_bucket,4-10,79,21,2981,0.007,7.69,84.0,68.9,prev28
position_bucket,51+,222,0,888,0.0,76.53,0.0,20.5,prev28
topic,ai_general,46,2,122,0.0164,39.0,0.3,0.2,last90
topic,brand,4,10,36,0.2778,5.58,1.7,0.1,last90
topic,chatbot_dev,60,0,481,0.0,51.21,0.0,0.7,last90
topic,chatgpt_alternatives,7,0,10,0.0,14.3,0.0,0.0,last90
topic,chatgpt_download,22,314,19422,0.0162,5.89,54.9,28.1,last90
topic,chatgpt_login,11,127,33179,0.0038,7.19,22.2,47.9,last90
topic,chatgpt_online,144,104,10026,0.0104,6.3,18.2,14.5,last90
topic,chatgpt_payment,10,5,32,0.1562,1.84,0.9,0.0,last90
topic,chatgpt_prompts,3,2,69,0.029,6.1,0.3,0.1,last90
topic,chatgpt_translate,6,5,473,0.0106,6.44,0.9,0.7,last90
topic,digital_marketing,83,0,289,0.0,25.32,0.0,0.4,last90
topic,instagram_bots,27,0,231,0.0,24.8,0.0,0.3,last90
topic,irrelevant_ukr,3,0,53,0.0,73.64,0.0,0.1,last90
topic,leads_automation,138,0,1033,0.0,33.44,0.0,1.5,last90
topic,other,172,1,422,0.0024,14.84,0.2,0.6,last90
topic,seo,245,0,2308,0.0,62.53,0.0,3.3,last90
topic,smm,64,1,361,0.0028,23.72,0.2,0.5,last90
topic,telegram_ads,18,0,96,0.0,36.65,0.0,0.1,last90
topic,telegram_bots,62,0,189,0.0,34.43,0.0,0.3,last90
topic,webdev,71,1,304,0.0033,60.6,0.2,0.4,last90
topic,whatsapp_bots,4,0,67,0.0,36.25,0.0,0.1,last90
topic_group,ai_informational,46,2,122,0.0164,39.0,0.3,0.2,last90
topic_group,brand,4,10,36,0.2778,5.58,1.7,0.1,last90
topic_group,chatgpt_product,203,557,63211,0.0088,6.64,97.4,91.3,last90
topic_group,irrelevant,3,0,53,0.0,73.64,0.0,0.1,last90
topic_group,other,172,1,422,0.0024,14.84,0.2,0.6,last90
topic_group,services_bots,291,0,2001,0.0,36.9,0.0,2.9,last90
topic_group,services_marketing,165,1,746,0.0013,26.0,0.2,1.1,last90
topic_group,services_web,316,1,2612,0.0004,62.3,0.2,3.8,last90
language,en,45,6,513,0.0117,11.51,1.0,0.7,last90
language,neutral,135,22,1199,0.0183,9.54,3.8,1.7,last90
language,ru,873,13,5567,0.0023,46.16,2.3,8.0,last90
language,ukr,3,0,53,0.0,73.64,0.0,0.1,last90
language,uz,144,531,61871,0.0086,6.67,92.8,89.4,last90
intent,commercial,240,2,976,0.002,39.27,0.3,1.4,last90
intent,commercial_investigation,334,0,2559,0.0,48.72,0.0,3.7,last90
intent,informational,270,14,2530,0.0055,40.08,2.4,3.7,last90
intent,navigational,37,451,52637,0.0086,6.71,78.8,76.1,last90
intent,transactional,144,104,10026,0.0104,6.3,18.2,14.5,last90
intent,unknown,175,1,475,0.0021,21.4,0.2,0.7,last90
position_bucket,1-3,51,17,101,0.1683,1.85,3.0,0.1,last90
position_bucket,11-20,110,1,345,0.0029,15.03,0.2,0.5,last90
position_bucket,21-50,344,0,2020,0.0,32.31,0.0,2.9,last90
position_bucket,4-10,374,552,63856,0.0086,6.63,96.5,92.3,last90
position_bucket,51+,321,2,2881,0.0007,68.42,0.3,4.2,last90
topic,ai_general,13,0,19,0.0,28.58,0.0,0.1,last7
topic,brand,2,1,7,0.1429,1.14,0.4,0.0,last7
topic,chatbot_dev,11,0,88,0.0,46.07,0.0,0.3,last7
topic,chatgpt_download,20,145,7116,0.0204,5.24,59.2,24.9,last7
topic,chatgpt_login,11,62,16809,0.0037,7.26,25.3,58.9,last7
topic,chatgpt_online,91,34,3896,0.0087,5.96,13.9,13.6,last7
topic,chatgpt_payment,4,0,5,0.0,2.0,0.0,0.0,last7
topic,chatgpt_prompts,2,0,16,0.0,7.19,0.0,0.1,last7
topic,chatgpt_translate,2,2,155,0.0129,6.14,0.8,0.5,last7
topic,digital_marketing,12,0,37,0.0,16.22,0.0,0.1,last7
topic,instagram_bots,8,0,25,0.0,18.6,0.0,0.1,last7
topic,irrelevant_ukr,1,0,11,0.0,80.36,0.0,0.0,last7
topic,leads_automation,52,0,85,0.0,31.31,0.0,0.3,last7
topic,other,54,1,104,0.0096,8.15,0.4,0.4,last7
topic,seo,30,0,67,0.0,44.45,0.0,0.2,last7
topic,smm,23,0,41,0.0,22.98,0.0,0.1,last7
topic,telegram_ads,15,0,35,0.0,32.2,0.0,0.1,last7
topic,telegram_bots,9,0,23,0.0,15.74,0.0,0.1,last7
topic,webdev,9,0,10,0.0,49.7,0.0,0.0,last7
topic,whatsapp_bots,3,0,6,0.0,35.5,0.0,0.0,last7
topic_group,ai_informational,13,0,19,0.0,28.58,0.0,0.1,last7
topic_group,brand,2,1,7,0.1429,1.14,0.4,0.0,last7
topic_group,chatgpt_product,130,243,27997,0.0087,6.56,99.2,98.0,last7
topic_group,irrelevant,1,0,11,0.0,80.36,0.0,0.0,last7
topic_group,other,54,1,104,0.0096,8.15,0.4,0.4,last7
topic_group,services_bots,83,0,227,0.0,34.16,0.0,0.8,last7
topic_group,services_marketing,50,0,113,0.0,23.62,0.0,0.4,last7
topic_group,services_web,39,0,77,0.0,45.13,0.0,0.3,last7
language,en,14,3,138,0.0217,6.25,1.2,0.5,last7
language,neutral,29,5,315,0.0159,5.38,2.0,1.1,last7
language,ru,220,0,499,0.0,28.98,0.0,1.7,last7
language,ukr,1,0,11,0.0,80.36,0.0,0.0,last7
language,uz,108,237,27592,0.0086,6.6,96.7,96.6,last7
intent,commercial,71,0,171,0.0,34.39,0.0,0.6,last7
intent,commercial_investigation,66,0,179,0.0,36.09,0.0,0.6,last7
intent,informational,56,2,262,0.0076,12.13,0.8,0.9,last7
intent,navigational,33,208,23932,0.0087,6.66,84.9,83.8,last7
intent,transactional,91,34,3896,0.0087,5.96,13.9,13.6,last7
intent,unknown,55,1,115,0.0087,15.06,0.4,0.4,last7
position_bucket,1-3,25,3,36,0.0833,1.81,1.2,0.1,last7
position_bucket,11-20,44,0,82,0.0,15.59,0.0,0.3,last7
position_bucket,21-50,81,0,147,0.0,32.86,0.0,0.5,last7
position_bucket,4-10,182,242,28155,0.0086,6.57,98.8,98.6,last7
position_bucket,51+,40,0,135,0.0,65.48,0.0,0.5,last7
