query,clicks_kaz,clicks_rus,clicks_uzb,ctr_kaz,ctr_rus,ctr_uzb,impressions_kaz,impressions_rus,impressions_uzb,position_kaz,position_rus,position_uzb,topic,language,position_gap_rus_minus_uzb
chatgpt kirish,0.0,7.0,70.0,0.0,0.0115131578947368,0.0029469961689049,29.0,608.0,23753.0,7.482758620689655,6.975328947368421,7.376373510714436,chatgpt_login,uz,-0.4
chatgpt yuklab olish uzbek tilida,1.0,22.0,146.0,0.0666666666666666,0.03886925795053,0.016471119133574,15.0,566.0,8864.0,5.933333333333334,5.863957597173145,4.594652527075812,chatgpt_download,uz,1.27
chatgpt ilovasini yuklab olish,0.0,22.0,32.0,0.0,0.0621468926553672,0.0207657365347177,7.0,354.0,1541.0,6.857142857142857,6.870056497175141,5.434133679428943,chatgpt_download,uz,1.44
chatgpt yuklab olish,0.0,6.0,39.0,0.0,0.0228136882129277,0.0115658362989323,5.0,263.0,3372.0,6.6,6.262357414448669,7.120996441281139,chatgpt_download,uz,-0.86
chatgpt ochish,0.0,3.0,18.0,0.0,0.0153061224489795,0.0060080106809078,2.0,196.0,2996.0,8.0,6.127551020408164,6.065086782376502,chatgpt_login,uz,0.06
chatgpt bepul kirish,,0.0,11.0,,0.0,0.0054187192118226,,158.0,2030.0,,7.651898734177215,8.493103448275862,chatgpt_login,uz,-0.84
chatgpt kirish uzbek tilida,0.0,0.0,8.0,0.0,0.0,0.0041365046535677,3.0,49.0,1934.0,5.666666666666667,5.877551020408164,5.914684591520166,chatgpt_login,uz,-0.04
chat gpt yuklash,0.0,3.0,4.0,0.0,0.075,0.0070422535211267,1.0,40.0,568.0,7.0,7.55,7.165492957746479,chatgpt_download,uz,0.38
chatgpt uzbekcha online,0.0,2.0,4.0,0.0,0.074074074074074,0.0039525691699604,7.0,27.0,1012.0,4.0,4.148148148148149,5.117588932806324,chatgpt_online,uz,-0.97
chat gpt uzbekcha,,4.0,0.0,,0.1538461538461538,0.0,,26.0,143.0,,5.384615384615385,5.867132867132868,chatgpt_online,uz,-0.48
chatgpt skachat uzbek tilida,,0.0,2.0,,0.0,0.0185185185185185,,26.0,108.0,,6.038461538461538,7.333333333333333,chatgpt_download,uz,-1.29
chatgpt uzbekcha bepul,0.0,0.0,9.0,0.0,0.0,0.0096256684491978,1.0,25.0,935.0,6.0,5.04,5.33048128342246,chatgpt_online,uz,-0.29
чат гпт узбекча,,0.0,3.0,,0.0,0.0223880597014925,,23.0,134.0,,4.478260869565217,5.858208955223881,chatgpt_online,uz,-1.38
chatgpt uzbekcha,0.0,0.0,4.0,0.0,0.0,0.0042372881355932,7.0,16.0,944.0,5.285714285714286,6.0625,6.25,chatgpt_online,uz,-0.19
chatgpt uz,,2.0,10.0,,0.1428571428571428,0.0150375939849624,,14.0,665.0,,4.071428571428571,5.121804511278196,chatgpt_online,neutral,-1.05
чати пити узбекча,,0.0,0.0,,0.0,0.0,,11.0,28.0,,5.636363636363637,7.607142857142857,other,uz,-1.97
