page,week_start,clicks,impressions,position
https://gptbot.uz/,2026-05-18,0,5,1.4
https://gptbot.uz/,2026-05-25,0,14,4.5
https://gptbot.uz/,2026-06-01,0,11,6.4
https://gptbot.uz/,2026-06-08,0,6,3.1
https://gptbot.uz/,2026-06-15,0,12,6.5
https://gptbot.uz/,2026-06-22,3,20,3.3
https://gptbot.uz/,2026-06-29,0,7,4.4
https://gptbot.uz/,2026-07-06,2,10,6.8
https://gptbot.uz/,2026-07-13,1,13,6.8
https://gptbot.uz/,2026-07-20,2,8,5.7
https://gptbot.uz/,2026-07-27,0,19,6.6
https://gptbot.uz/,2026-08-03,2,15,13.2
https://gptbot.uz/,2026-08-10,1,13,16.3
https://gptbot.uz/,2026-08-17,5,21,8.5
https://gptbot.uz/,2026-08-24,1,25,17.4
https://gptbot.uz/,2026-08-31,3,19,11.2
https://gptbot.uz/,2026-09-07,3,36,9.7
https://gptbot.uz/,2026-09-14,0,5,6.4
https://gptbot.uz/boss-digital/,2026-06-29,0,6,8.0
https://gptbot.uz/boss-digital/,2026-07-13,0,2,9.0
https://gptbot.uz/boss-digital/,2026-07-20,0,1,38.0
https://gptbot.uz/boss-digital/,2026-08-03,0,5,5.5
https://gptbot.uz/boss-digital/,2026-08-10,0,4,73.2
https://gptbot.uz/boss-digital/,2026-08-17,0,3,51.8
https://gptbot.uz/boss-digital/,2026-08-24,0,6,19.4
https://gptbot.uz/boss-digital/,2026-08-31,2,8,6.1
https://gptbot.uz/boss-digital/,2026-09-07,1,7,58.7
https://gptbot.uz/boss-digital/,2026-09-14,0,2,4.0
https://gptbot.uz/ru/,2026-07-06,0,2,3.5
https://gptbot.uz/ru/,2026-07-13,0,16,7.0
https://gptbot.uz/ru/,2026-07-20,0,3,7.3
https://gptbot.uz/ru/,2026-07-27,0,9,10.8
https://gptbot.uz/ru/,2026-08-03,1,4,7.7
https://gptbot.uz/ru/,2026-08-10,0,4,42.8
https://gptbot.uz/ru/,2026-08-17,0,24,5.3
https://gptbot.uz/ru/,2026-08-24,1,31,18.1
https://gptbot.uz/ru/,2026-08-31,1,33,11.4
https://gptbot.uz/ru/,2026-09-07,1,48,13.0
https://gptbot.uz/ru/,2026-09-14,0,2,4.5
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-06-01,0,4,30.5
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-06-08,0,2,9.0
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-06-15,0,2,8.5
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-06-22,0,1,2.0
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-06-29,0,2,7.5
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-07-06,0,9,34.2
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-07-13,0,9,12.0
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-07-20,0,4,58.8
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-07-27,0,2,50.5
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-08-03,1,9,31.2
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-08-10,0,5,28.5
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-08-17,2,9,17.8
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-08-24,0,11,19.2
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-08-31,0,7,8.4
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-09-07,1,14,20.1
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,2026-09-14,0,1,91.0
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-06-08,0,3,6.7
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-06-15,0,2,10.0
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-07-06,0,2,52.0
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-07-13,0,1,8.0
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-07-20,0,4,14.3
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-08-03,0,2,28.5
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-08-17,1,8,37.8
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-08-24,0,2,8.5
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-08-31,0,7,45.5
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-09-07,2,7,3.3
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,2026-09-14,0,1,6.0
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-07-06,0,4,43.8
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-07-13,0,8,26.9
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-07-20,0,9,10.5
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-07-27,0,7,14.4
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-08-03,0,1,11.0
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-08-10,1,20,8.6
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-08-17,0,27,9.5
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-08-24,1,35,17.9
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-08-31,0,31,19.1
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-09-07,2,60,19.4
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,2026-09-14,0,6,23.0
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-07-06,0,14,5.4
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-07-13,2,43,7.6
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-07-20,3,21,4.5
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-07-27,7,83,5.2
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-08-03,6,93,4.6
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-08-10,6,97,4.3
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-08-17,14,163,3.6
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-08-24,7,145,4.1
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-08-31,6,178,3.7
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-09-07,11,204,3.6
https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,2026-09-14,1,34,3.9
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-07-06,1,8,28.9
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-07-13,0,4,6.2
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-07-20,0,1,10.0
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-07-27,0,8,7.4
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-08-03,1,17,5.2
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-08-10,0,15,7.4
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-08-17,0,12,5.4
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-08-24,1,13,8.4
