query,week_start,clicks,impressions,position
chat gpt uzbekcha,2026-08-17,0,2,7.5
chat gpt uzbekcha,2026-08-24,1,46,8.9
chat gpt uzbekcha,2026-08-31,4,67,6.0
chat gpt uzbekcha,2026-09-07,0,58,5.4
chat gpt uzbekcha,2026-09-14,0,7,5.1
chat gpt yuklash,2026-08-03,0,1,11.0
chat gpt yuklash,2026-08-17,0,1,26.0
chat gpt yuklash,2026-08-24,0,62,8.3
chat gpt yuklash,2026-08-31,1,242,7.2
chat gpt yuklash,2026-09-07,6,267,6.8
chat gpt yuklash,2026-09-14,0,41,7.0
chatgpt bepul,2026-08-31,2,42,6.5
chatgpt bepul,2026-09-07,0,80,5.4
chatgpt bepul,2026-09-14,2,119,6.8
chatgpt bepul kirish,2026-08-24,1,217,11.3
chatgpt bepul kirish,2026-08-31,1,588,8.8
chatgpt bepul kirish,2026-09-07,9,1138,8.2
chatgpt bepul kirish,2026-09-14,0,263,8.7
chatgpt ilovasini yuklab olish,2026-07-27,0,14,9.7
chatgpt ilovasini yuklab olish,2026-08-03,2,54,8.3
chatgpt ilovasini yuklab olish,2026-08-10,1,212,7.0
chatgpt ilovasini yuklab olish,2026-08-17,3,302,8.1
chatgpt ilovasini yuklab olish,2026-08-24,6,291,5.9
chatgpt ilovasini yuklab olish,2026-08-31,15,585,5.1
chatgpt ilovasini yuklab olish,2026-09-07,25,668,5.2
chatgpt ilovasini yuklab olish,2026-09-14,5,114,6.0
chatgpt kirish,2026-08-17,0,60,9.0
chatgpt kirish,2026-08-24,2,1237,8.8
chatgpt kirish,2026-08-31,37,8939,7.4
chatgpt kirish,2026-09-07,41,13725,7.5
chatgpt kirish,2026-09-14,0,680,8.6
chatgpt kirish login,2026-08-24,0,1,7.0
chatgpt kirish login,2026-08-31,3,60,6.1
chatgpt kirish login,2026-09-07,0,50,6.9
chatgpt kirish login,2026-09-14,0,4,7.5
chatgpt kirish uzbek tilida,2026-08-03,0,13,8.7
chatgpt kirish uzbek tilida,2026-08-10,0,3,7.0
chatgpt kirish uzbek tilida,2026-08-17,0,68,7.9
chatgpt kirish uzbek tilida,2026-08-24,0,241,7.1
chatgpt kirish uzbek tilida,2026-08-31,3,729,5.6
chatgpt kirish uzbek tilida,2026-09-07,4,858,5.8
chatgpt kirish uzbek tilida,2026-09-14,1,118,5.9
chatgpt ochish,2026-08-03,0,5,9.4
chatgpt ochish,2026-08-10,1,41,8.4
chatgpt ochish,2026-08-17,0,297,8.1
chatgpt ochish,2026-08-24,1,104,6.1
chatgpt ochish,2026-08-31,8,1029,5.7
chatgpt ochish,2026-09-07,12,1639,5.8
chatgpt ochish,2026-09-14,1,220,6.4
chatgpt oʻzbekcha,2026-08-24,0,6,7.7
chatgpt oʻzbekcha,2026-08-31,1,49,7.3
chatgpt oʻzbekcha,2026-09-07,1,54,6.8
chatgpt oʻzbekcha,2026-09-14,0,9,6.1
chatgpt skachat uzbek tilida,2026-08-24,1,13,8.3
chatgpt skachat uzbek tilida,2026-08-31,0,56,6.8
chatgpt skachat uzbek tilida,2026-09-07,1,57,7.4
chatgpt skachat uzbek tilida,2026-09-14,0,11,7.8
chatgpt tarjima,2026-08-10,0,3,5.3
chatgpt tarjima,2026-08-17,0,20,8.1
chatgpt tarjima,2026-08-24,0,41,6.2
chatgpt tarjima,2026-08-31,0,117,6.9
chatgpt tarjima,2026-09-07,3,150,6.4
chatgpt tarjima,2026-09-14,0,16,4.5
chatgpt uz,2026-07-27,0,1,10.0
chatgpt uz,2026-08-03,0,45,5.3
chatgpt uz,2026-08-10,0,58,6.3
chatgpt uz,2026-08-17,2,108,6.1
chatgpt uz,2026-08-24,2,143,5.5
chatgpt uz,2026-08-31,4,171,4.6
chatgpt uz,2026-09-07,4,241,4.8
chatgpt uz,2026-09-14,0,34,5.4
chatgpt uzb,2026-08-03,0,7,5.5
chatgpt uzb,2026-08-10,0,6,3.8
chatgpt uzb,2026-08-17,0,9,4.9
chatgpt uzb,2026-08-24,1,31,4.3
chatgpt uzb,2026-08-31,1,38,4.9
chatgpt uzb,2026-09-07,0,33,5.7
chatgpt uzb,2026-09-14,0,1,4.0
chatgpt uzbek tilida gaplashish,2026-08-03,0,2,6.0
chatgpt uzbek tilida gaplashish,2026-08-10,0,2,7.0
chatgpt uzbek tilida gaplashish,2026-08-17,0,10,8.3
chatgpt uzbek tilida gaplashish,2026-08-24,2,131,7.7
chatgpt uzbek tilida gaplashish,2026-08-31,3,300,7.4
chatgpt uzbek tilida gaplashish,2026-09-07,1,132,6.1
chatgpt uzbek tilida gaplashish,2026-09-14,0,74,5.9
chatgpt uzbek tilida online,2026-08-03,0,15,5.9
chatgpt uzbek tilida online,2026-08-10,0,14,8.2
chatgpt uzbek tilida online,2026-08-17,2,115,6.9
chatgpt uzbek tilida online,2026-08-24,2,175,6.2
chatgpt uzbek tilida online,2026-08-31,3,258,5.3
chatgpt uzbek tilida online,2026-09-07,1,117,6.9
chatgpt uzbek tilida online,2026-09-14,0,49,5.1
chatgpt uzbekcha,2026-08-17,0,1,28.0
chatgpt uzbekcha,2026-08-24,1,130,6.6
chatgpt uzbekcha,2026-08-31,3,462,6.5
chatgpt uzbekcha,2026-09-07,1,313,6.1
chatgpt uzbekcha,2026-09-14,1,78,5.4
chatgpt uzbekcha bepul,2026-08-24,2,146,6.5
chatgpt uzbekcha bepul,2026-08-31,2,260,5.7
chatgpt uzbekcha bepul,2026-09-07,4,485,5.1
