date,topic,clicks,impressions
2026-06-17,chatbot_dev,0,4
2026-06-17,instagram_bots,0,3
2026-06-18,chatbot_dev,0,4
2026-06-18,chatgpt_alternatives,0,1
2026-06-18,instagram_bots,0,1
2026-06-18,leads_automation,0,3
2026-06-19,ai_general,0,1
2026-06-19,chatbot_dev,0,1
2026-06-19,instagram_bots,0,1
2026-06-22,chatbot_dev,0,1
2026-06-23,instagram_bots,0,1
2026-06-24,other,0,3
2026-06-25,brand,1,1
2026-06-25,chatbot_dev,0,3
2026-06-25,instagram_bots,0,1
2026-06-27,leads_automation,0,2
2026-06-30,instagram_bots,0,1
2026-06-30,leads_automation,0,3
2026-07-01,instagram_bots,0,1
2026-07-01,leads_automation,0,3
2026-07-01,other,0,1
2026-07-02,brand,0,6
2026-07-02,leads_automation,0,2
2026-07-03,leads_automation,0,4
2026-07-04,instagram_bots,0,2
2026-07-04,leads_automation,0,2
2026-07-04,telegram_bots,0,1
2026-07-05,instagram_bots,0,5
2026-07-05,other,0,3
2026-07-06,chatbot_dev,0,1
2026-07-06,leads_automation,0,1
2026-07-06,other,0,1
2026-07-06,telegram_bots,0,1
2026-07-07,chatbot_dev,0,7
2026-07-08,chatbot_dev,0,2
2026-07-08,leads_automation,0,1
2026-07-08,telegram_bots,0,1
2026-07-09,ai_general,0,2
2026-07-09,chatbot_dev,0,3
2026-07-09,leads_automation,0,3
2026-07-10,ai_general,0,2
2026-07-10,brand,0,1
2026-07-10,chatbot_dev,0,3
2026-07-10,chatgpt_online,0,1
2026-07-10,instagram_bots,0,3
2026-07-10,irrelevant_ukr,0,2
2026-07-11,ai_general,0,2
2026-07-11,chatbot_dev,0,3
2026-07-11,instagram_bots,0,6
2026-07-11,irrelevant_ukr,0,1
2026-07-11,webdev,0,1
2026-07-12,ai_general,0,2
2026-07-12,chatbot_dev,0,3
2026-07-12,instagram_bots,0,1
2026-07-12,leads_automation,0,1
2026-07-13,ai_general,0,2
2026-07-13,chatbot_dev,0,2
2026-07-13,chatgpt_payment,0,1
2026-07-13,leads_automation,0,1
2026-07-13,webdev,0,3
2026-07-14,ai_general,0,1
2026-07-14,brand,0,1
2026-07-14,chatbot_dev,0,1
2026-07-14,irrelevant_ukr,0,2
2026-07-14,other,0,1
2026-07-14,webdev,0,2
2026-07-15,ai_general,0,1
2026-07-15,brand,1,1
2026-07-15,chatbot_dev,0,7
2026-07-15,instagram_bots,0,1
2026-07-15,irrelevant_ukr,0,3
2026-07-15,other,0,1
2026-07-15,telegram_bots,0,1
2026-07-16,chatbot_dev,0,4
2026-07-16,chatgpt_alternatives,0,1
2026-07-16,irrelevant_ukr,0,1
2026-07-16,leads_automation,0,3
2026-07-16,telegram_bots,0,1
2026-07-16,webdev,0,1
2026-07-17,chatbot_dev,0,5
2026-07-17,instagram_bots,0,1
2026-07-17,irrelevant_ukr,0,1
2026-07-17,leads_automation,0,1
2026-07-17,telegram_bots,0,1
2026-07-17,webdev,0,2
2026-07-18,chatbot_dev,0,4
2026-07-18,instagram_bots,0,5
2026-07-18,irrelevant_ukr,0,1
2026-07-18,leads_automation,0,1
2026-07-18,webdev,0,1
2026-07-19,ai_general,0,1
2026-07-19,chatbot_dev,0,5
2026-07-19,chatgpt_online,0,1
2026-07-19,irrelevant_ukr,0,1
2026-07-19,telegram_bots,0,1
2026-07-19,webdev,0,2
2026-07-20,chatbot_dev,0,6
2026-07-20,chatgpt_online,0,1
2026-07-20,leads_automation,0,1
2026-07-20,webdev,0,3
2026-07-21,chatbot_dev,0,6
2026-07-21,chatgpt_download,0,1
2026-07-21,instagram_bots,0,2
2026-07-21,irrelevant_ukr,0,2
2026-07-21,leads_automation,0,1
2026-07-21,webdev,0,2
2026-07-22,chatbot_dev,0,6
2026-07-22,chatgpt_online,0,1
2026-07-22,irrelevant_ukr,0,1
2026-07-22,leads_automation,0,1
2026-07-23,chatgpt_online,0,1
2026-07-23,irrelevant_ukr,0,2
2026-07-23,webdev,0,11
2026-07-24,ai_general,0,2
2026-07-24,chatbot_dev,0,8
2026-07-24,chatgpt_online,0,1
2026-07-24,leads_automation,0,1
2026-07-24,webdev,0,5
2026-07-25,chatbot_dev,0,3
2026-07-25,chatgpt_alternatives,0,2
2026-07-25,instagram_bots,0,5
2026-07-25,other,0,1
2026-07-25,webdev,0,5
2026-07-26,brand,1,1
2026-07-26,chatbot_dev,0,3
2026-07-26,leads_automation,0,2
2026-07-26,webdev,0,5
2026-07-27,chatbot_dev,0,3
2026-07-27,chatgpt_online,0,1
2026-07-27,leads_automation,0,1
2026-07-27,webdev,0,14
2026-07-28,ai_general,0,1
2026-07-28,chatbot_dev,0,6
2026-07-28,chatgpt_alternatives,0,1
2026-07-28,chatgpt_online,0,4
2026-07-28,instagram_bots,0,2
2026-07-28,leads_automation,0,4
2026-07-28,telegram_bots,0,2
2026-07-28,webdev,0,9
2026-07-29,ai_general,0,1
2026-07-29,chatbot_dev,0,3
2026-07-29,chatgpt_online,0,9
2026-07-29,instagram_bots,0,2
2026-07-29,other,0,2
2026-07-29,seo,0,6
2026-07-29,telegram_bots,0,6
2026-07-29,webdev,0,7
2026-07-30,ai_general,0,1
2026-07-30,chatbot_dev,0,3
2026-07-30,chatgpt_download,0,2
2026-07-30,chatgpt_online,0,4
2026-07-30,leads_automation,0,1
2026-07-30,seo,0,6
2026-07-30,telegram_bots,0,4
2026-07-30,webdev,0,9
2026-07-31,chatbot_dev,0,4
2026-07-31,chatgpt_download,0,10
2026-07-31,chatgpt_online,0,2
2026-07-31,leads_automation,0,1
2026-07-31,other,0,1
2026-07-31,seo,0,5
2026-07-31,telegram_bots,0,7
2026-07-31,webdev,0,6
2026-08-01,chatbot_dev,0,3
2026-08-01,chatgpt_download,0,2
2026-08-01,chatgpt_online,0,4
2026-08-01,digital_marketing,0,2
2026-08-01,instagram_bots,0,3
2026-08-01,other,0,2
2026-08-01,seo,0,3
2026-08-01,telegram_bots,0,10
2026-08-01,webdev,0,6
2026-08-02,chatbot_dev,0,3
2026-08-02,chatgpt_download,0,47
2026-08-02,chatgpt_online,0,1
2026-08-02,digital_marketing,0,4
2026-08-02,leads_automation,0,1
2026-08-02,other,0,3
2026-08-02,seo,0,14
2026-08-02,telegram_bots,0,8
2026-08-02,webdev,0,12
2026-08-03,ai_general,0,2
2026-08-03,chatbot_dev,0,5
2026-08-03,chatgpt_download,0,84
2026-08-03,chatgpt_login,0,1
2026-08-03,chatgpt_online,0,12
2026-08-03,digital_marketing,0,8
2026-08-03,leads_automation,0,6
2026-08-03,other,0,2
2026-08-03,seo,0,16
2026-08-03,telegram_bots,0,5
2026-08-03,webdev,0,20
2026-08-04,brand,1,1
2026-08-04,chatbot_dev,0,3
2026-08-04,chatgpt_download,1,44
2026-08-04,chatgpt_online,0,2
2026-08-04,chatgpt_prompts,0,2
2026-08-04,digital_marketing,0,10
2026-08-04,leads_automation,0,5
2026-08-04,other,0,1
2026-08-04,seo,0,41
2026-08-04,smm,0,8
2026-08-04,telegram_bots,0,9
2026-08-04,webdev,0,13
2026-08-05,ai_general,0,3
2026-08-05,chatbot_dev,0,1
2026-08-05,chatgpt_download,0,95
2026-08-05,chatgpt_login,0,1
2026-08-05,chatgpt_online,0,18
2026-08-05,chatgpt_prompts,0,1
2026-08-05,digital_marketing,0,1
2026-08-05,instagram_bots,0,1
2026-08-05,leads_automation,0,6
2026-08-05,other,0,1
2026-08-05,seo,0,32
2026-08-05,telegram_bots,0,3
2026-08-05,webdev,0,10
2026-08-06,ai_general,0,1
2026-08-06,chatbot_dev,0,2
2026-08-06,chatgpt_download,1,131
2026-08-06,chatgpt_login,0,12
2026-08-06,chatgpt_online,1,60
2026-08-06,chatgpt_prompts,0,1
2026-08-06,digital_marketing,0,6
2026-08-06,instagram_bots,0,1
2026-08-06,leads_automation,0,4
2026-08-06,other,0,2
2026-08-06,seo,0,102
2026-08-06,smm,0,8
2026-08-06,telegram_bots,0,1
2026-08-06,webdev,0,15
2026-08-07,chatgpt_download,0,79
2026-08-07,chatgpt_login,0,4
2026-08-07,chatgpt_online,2,34
2026-08-07,chatgpt_prompts,0,2
2026-08-07,digital_marketing,0,4
2026-08-07,instagram_bots,0,2
2026-08-07,leads_automation,0,11
2026-08-07,other,0,2
2026-08-07,seo,0,34
2026-08-07,smm,0,1
2026-08-07,telegram_bots,0,2
2026-08-07,webdev,0,12
2026-08-08,chatgpt_download,0,68
2026-08-08,chatgpt_online,0,16
2026-08-08,digital_marketing,0,4
2026-08-08,instagram_bots,0,5
2026-08-08,leads_automation,0,2
2026-08-08,other,0,1
2026-08-08,seo,0,18
2026-08-08,smm,0,2
2026-08-08,telegram_bots,0,2
2026-08-08,webdev,0,3
2026-08-09,chatgpt_download,1,126
2026-08-09,chatgpt_login,0,1
2026-08-09,chatgpt_online,0,22
2026-08-09,chatgpt_prompts,0,1
2026-08-09,digital_marketing,0,6
2026-08-09,instagram_bots,0,1
2026-08-09,leads_automation,0,2
2026-08-09,other,0,1
2026-08-09,seo,0,19
2026-08-09,smm,0,9
2026-08-09,whatsapp_bots,0,2
2026-08-10,chatbot_dev,0,7
2026-08-10,chatgpt_alternatives,0,1
2026-08-10,chatgpt_download,0,147
2026-08-10,chatgpt_login,0,1
2026-08-10,chatgpt_online,0,46
2026-08-10,chatgpt_prompts,0,7
2026-08-10,digital_marketing,0,1
2026-08-10,irrelevant_ukr,0,1
2026-08-10,leads_automation,0,2
2026-08-10,other,0,2
2026-08-10,seo,0,20
2026-08-10,smm,0,3
2026-08-10,telegram_bots,0,2
2026-08-10,webdev,0,6
2026-08-11,ai_general,0,3
2026-08-11,brand,0,2
2026-08-11,chatbot_dev,0,9
2026-08-11,chatgpt_download,2,188
2026-08-11,chatgpt_login,0,6
2026-08-11,chatgpt_online,1,29
2026-08-11,chatgpt_prompts,0,1
2026-08-11,digital_marketing,0,3
2026-08-11,instagram_bots,0,1
2026-08-11,irrelevant_ukr,0,1
2026-08-11,other,0,2
2026-08-11,seo,0,6
2026-08-11,smm,0,3
2026-08-11,telegram_bots,0,5
2026-08-11,webdev,0,1
2026-08-11,whatsapp_bots,0,2
2026-08-12,ai_general,0,2
2026-08-12,chatbot_dev,0,3
2026-08-12,chatgpt_download,2,179
2026-08-12,chatgpt_online,0,34
2026-08-12,digital_marketing,0,1
2026-08-12,instagram_bots,0,1
2026-08-12,leads_automation,0,3
2026-08-12,other,0,5
2026-08-12,seo,0,7
2026-08-12,smm,0,3
2026-08-12,telegram_bots,0,3
2026-08-12,whatsapp_bots,0,3
2026-08-13,chatbot_dev,0,10
2026-08-13,chatgpt_download,0,225
2026-08-13,chatgpt_login,0,3
2026-08-13,chatgpt_online,0,33
2026-08-13,digital_marketing,0,3
2026-08-13,instagram_bots,0,2
2026-08-13,leads_automation,0,6
2026-08-13,other,0,4
2026-08-13,seo,0,22
2026-08-13,smm,0,6
2026-08-13,telegram_bots,0,5
2026-08-13,webdev,0,7
2026-08-14,ai_general,0,1
2026-08-14,chatbot_dev,0,5
2026-08-14,chatgpt_download,2,306
2026-08-14,chatgpt_login,0,15
2026-08-14,chatgpt_online,0,28
2026-08-14,digital_marketing,0,3
2026-08-14,irrelevant_ukr,0,1
2026-08-14,leads_automation,0,7
2026-08-14,other,0,5
2026-08-14,seo,0,16
2026-08-14,smm,0,5
2026-08-14,webdev,0,3
2026-08-14,whatsapp_bots,0,3
2026-08-15,ai_general,1,2
2026-08-15,brand,0,2
2026-08-15,chatbot_dev,0,3
2026-08-15,chatgpt_download,5,277
2026-08-15,chatgpt_login,1,22
2026-08-15,chatgpt_online,0,19
2026-08-15,digital_marketing,0,5
2026-08-15,instagram_bots,0,12
2026-08-15,irrelevant_ukr,0,2
2026-08-15,leads_automation,0,2
2026-08-15,other,0,1
2026-08-15,seo,0,31
2026-08-15,smm,0,1
2026-08-15,telegram_bots,0,2
2026-08-15,webdev,0,2
2026-08-16,ai_general,0,2
2026-08-16,brand,0,1
2026-08-16,chatbot_dev,0,3
2026-08-16,chatgpt_download,1,128
2026-08-16,chatgpt_login,0,2
2026-08-16,chatgpt_online,1,23
2026-08-16,chatgpt_translate,0,3
2026-08-16,digital_marketing,0,4
2026-08-16,instagram_bots,0,3
2026-08-16,irrelevant_ukr,0,1
2026-08-16,leads_automation,0,13
2026-08-16,other,0,7
2026-08-16,seo,0,63
2026-08-16,smm,0,5
2026-08-16,telegram_bots,0,2
2026-08-16,webdev,0,1
2026-08-16,whatsapp_bots,0,1
2026-08-17,ai_general,0,4
2026-08-17,chatbot_dev,0,10
2026-08-17,chatgpt_download,1,206
2026-08-17,chatgpt_login,0,52
2026-08-17,chatgpt_online,0,50
2026-08-17,chatgpt_translate,0,7
2026-08-17,digital_marketing,0,16
2026-08-17,instagram_bots,0,6
