topic,queries_28d,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_share_28d_pct,impressions_share_28d_pct,clicks_prev28,impressions_prev28,position_prev28,queries_90d,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_change_28_pct,impressions_change_28_pct,topic_group
chatgpt_login,11,126,33059,0.0038,7.19,23.1,51.1,1.0,120.0,9.0,11,127,33179,0.0038,7.19,12500.0,27449.2,chatgpt_product
chatgpt_download,22,298,17077,0.0175,5.61,54.7,26.4,16.0,2345.0,7.89,22,314,19422,0.0162,5.89,1762.5,628.2,chatgpt_product
chatgpt_online,130,99,9569,0.0103,6.17,18.2,14.8,5.0,454.0,8.86,144,104,10026,0.0104,6.3,1880.0,2007.7,chatgpt_product
seo,205,0,1751,0.0,58.91,0.0,2.7,0.0,557.0,73.89,245,0,2308,0.0,62.53,,214.4,services_web
leads_automation,126,0,881,0.0,31.1,0.0,1.4,0.0,120.0,39.77,138,0,1033,0.0,33.44,,634.2,services_bots
chatgpt_translate,6,5,463,0.0108,6.44,0.9,0.7,0.0,10.0,6.5,6,5,473,0.0106,6.44,,4530.0,chatgpt_product
other,137,1,353,0.0028,12.41,0.2,0.5,0.0,59.0,26.85,172,1,422,0.0024,14.84,,498.3,other
chatbot_dev,40,0,300,0.0,43.25,0.0,0.5,0.0,112.0,66.25,60,0,481,0.0,51.21,,167.9,services_bots
smm,60,1,290,0.0034,22.72,0.2,0.4,0.0,71.0,27.82,64,1,361,0.0028,23.72,,308.5,services_marketing
digital_marketing,74,0,208,0.0,23.4,0.0,0.3,0.0,81.0,30.25,83,0,289,0.0,25.32,,156.8,services_marketing
instagram_bots,24,0,149,0.0,18.78,0.0,0.2,0.0,49.0,34.84,27,0,231,0.0,24.8,,204.1,services_bots
webdev,40,1,99,0.0101,44.25,0.2,0.2,0.0,190.0,67.73,71,1,304,0.0033,60.6,,-47.9,services_web
telegram_bots,26,0,99,0.0,17.75,0.0,0.2,0.0,83.0,53.59,62,0,189,0.0,34.43,,19.3,services_bots
telegram_ads,18,0,96,0.0,36.65,0.0,0.1,0.0,0.0,0.0,18,0,96,0.0,36.65,,,services_marketing
ai_general,41,1,83,0.012,34.93,0.2,0.1,1.0,25.0,46.56,46,2,122,0.0164,39.0,0.0,232.0,ai_informational
chatgpt_prompts,3,2,54,0.037,6.52,0.4,0.1,0.0,15.0,4.6,3,2,69,0.029,6.1,,260.0,chatgpt_product
whatsapp_bots,4,0,52,0.0,35.04,0.0,0.1,0.0,15.0,40.47,4,0,67,0.0,36.25,,246.7,services_bots
chatgpt_payment,9,5,31,0.1613,1.74,0.9,0.0,0.0,0.0,0.0,10,5,32,0.1562,1.84,,,chatgpt_product
irrelevant_ukr,1,0,29,0.0,85.72,0.0,0.0,0.0,12.0,68.17,3,0,53,0.0,73.64,,141.7,irrelevant
brand,3,6,19,0.3158,2.68,1.1,0.0,2.0,7.0,13.43,4,10,36,0.2778,5.58,200.0,171.4,brand
chatgpt_alternatives,4,0,4,0.0,29.0,0.0,0.0,0.0,4.0,4.0,7,0,10,0.0,14.3,,0.0,chatgpt_product
