week_start,days,clicks,impressions,position,ctr,complete_week
2026-05-18,4,0,7,1.29,0.0,False
2026-05-25,7,0,32,2.97,0.0,True
2026-06-01,7,1,88,11.02,0.0114,True
2026-06-08,7,1,87,13.59,0.0115,True
2026-06-15,7,0,122,17.61,0.0,True
2026-06-22,7,3,106,14.44,0.0283,True
2026-06-29,7,2,88,29.09,0.0227,True
2026-07-06,7,4,152,30.09,0.0263,True
2026-07-13,7,5,299,23.72,0.0167,True
2026-07-20,7,6,305,31.41,0.0197,True
2026-07-27,7,8,724,31.56,0.011,True
2026-08-03,7,33,1921,23.04,0.0172,True
2026-08-10,7,40,3147,13.68,0.0127,True
2026-08-17,7,79,5567,16.08,0.0142,True
2026-08-24,7,121,9305,12.31,0.013,True
2026-08-31,7,251,24352,8.39,0.0103,True
2026-09-07,7,354,32450,7.08,0.0109,True
2026-09-14,1,42,4096,6.78,0.0103,False
