country,clicks,impressions,ctr,position
uzb,753,69799,0.010788120173641455,7.06778034069256
rus,130,6073,0.021406224271365057,19.71315659476371
kgz,8,302,0.026490066225165563,6.682119205298013
tjk,8,285,0.028070175438596492,6.368421052631579
tkm,6,57,0.10526315789473684,6.43859649122807
tur,6,216,0.027777777777777776,22.61111111111111
blr,4,277,0.01444043321299639,11.916967509025271
kaz,4,442,0.00904977375565611,10.68552036199095
ukr,4,1785,0.002240896358543417,48.411204481792716
deu,3,276,0.010869565217391304,18.706521739130434
hkg,3,42,0.07142857142857142,9.333333333333334
nld,3,243,0.012345679012345678,10.08641975308642
chn,2,16,0.125,7.625
kor,2,118,0.01694915254237288,6.593220338983051
arg,1,18,0.05555555555555555,15.333333333333334
aze,1,37,0.02702702702702703,9.64864864864865
bel,1,16,0.0625,10.9375
egy,1,22,0.045454545454545456,19.136363636363637
esp,1,39,0.02564102564102564,23.205128205128204
gbr,1,378,0.0026455026455026454,34.47089947089947
hrv,1,8,0.125,5.875
irn,1,32,0.03125,6.53125
isr,1,76,0.013157894736842105,16.289473684210527
ltu,1,19,0.05263157894736842,13.157894736842104
nga,1,2,0.5,7.5
pol,1,61,0.01639344262295082,18.80327868852459
twn,1,5,0.2,9.4
usa,1,667,0.0014992503748125937,14.694152923538232
afg,0,3,0,2.666666666666667
alb,0,3,0,10.333333333333334
are,0,56,0,30.696428571428573
arm,0,22,0,13.454545454545455
atg,0,2,0,4.5
aus,0,7,0,44.285714285714285
aut,0,10,0,10
bgd,0,10,0,54.6
bgr,0,21,0,17.80952380952381
bhr,0,2,0,31.5
blz,0,1,0,10
bol,0,2,0,42
bra,0,39,0,28.28205128205128
can,0,26,0,7.423076923076923
che,0,6,0,7.333333333333333
chl,0,4,0,37.25
cmr,0,1,0,8
col,0,3,0,9.666666666666666
cri,0,2,0,50.5
cyp,0,30,0,40.63333333333333
cze,0,233,0,58.871244635193136
dnk,0,5,0,5
dom,0,1,0,8
dza,0,6,0,52.333333333333336
ecu,0,3,0,61
est,0,42,0,36.095238095238095
fin,0,31,0,5.774193548387097
fra,0,60,0,28.416666666666668
geo,0,49,0,14.938775510204081
gin,0,1,0,3
gnb,0,2,0,4.5
grc,0,12,0,8.416666666666668
grl,0,1,0,24
gtm,0,3,0,1.3333333333333333
hnd,0,1,0,87
hun,0,9,0,11.222222222222221
idn,0,38,0,51.89473684210526
ind,0,36,0,46.52777777777778
irl,0,5,0,13.8
irq,0,1,0,8
isl,0,1,0,7
ita,0,53,0,17.71698113207547
jam,0,3,0,7
jor,0,8,0,19.375
jpn,0,38,0,15.026315789473685
ken,0,3,0,33
khm,0,1,0,5
kwt,0,3,0,38
lao,0,1,0,8
lby,0,2,0,7
lka,0,1,0,11
lva,0,231,0,51.683982683982684
mar,0,3,0,85
mda,0,91,0,38.78021978021978
mex,0,14,0,12
mmr,0,1,0,7
mne,0,4,0,7.75
mng,0,2,0,6.5
mrt,0,1,0,5
mys,0,7,0,33.714285714285715
nor,0,12,0,9.5
npl,0,1,0,2
nzl,0,1,0,1
pak,0,8,0,71.25
pan,0,2,0,5.5
per,0,3,0,10.333333333333334
phl,0,19,0,32.21052631578947
prt,0,7,0,8.285714285714285
pse,0,1,0,2
qat,0,3,0,8.333333333333332
rou,0,18,0,13.944444444444445
sau,0,27,0,5.7407407407407405
sgp,0,5,0,7.2
slv,0,2,0,14.5
srb,0,10,0,9.7
svk,0,6,0,7.333333333333333
svn,0,4,0,22.25
swe,0,43,0,6.232558139534884
syc,0,1,0,10
syr,0,6,0,5.666666666666667
tha,0,42,0,37.904761904761905
uga,0,1,0,8
ury,0,3,0,22.333333333333332
ven,0,3,0,22
vnm,0,36,0,38.47222222222222
yem,0,2,0,10
zaf,0,3,0,12.666666666666666
zzz,0,11,0,7.363636363636363
