country,clicks,impressions,ctr,position
uzb,751,69759,0.010765635975286344,7.0663570292005335
rus,130,6037,0.021533874440947492,19.56733476892496
kgz,8,301,0.026578073089700997,6.677740863787376
tjk,8,284,0.028169014084507043,6.359154929577465
tkm,6,57,0.10526315789473684,6.43859649122807
tur,6,216,0.027777777777777776,22.61111111111111
blr,4,277,0.01444043321299639,11.916967509025271
kaz,4,434,0.009216589861751152,10.748847926267281
ukr,4,1780,0.0022471910112359553,48.40056179775281
deu,3,251,0.01195219123505976,20.374501992031874
hkg,3,42,0.07142857142857142,9.333333333333334
nld,3,208,0.014423076923076924,11.413461538461538
chn,2,16,0.125,7.625
kor,2,118,0.01694915254237288,6.593220338983051
arg,1,17,0.058823529411764705,16.176470588235293
aze,1,36,0.027777777777777776,9.666666666666666
bel,1,16,0.0625,10.9375
egy,1,22,0.045454545454545456,19.136363636363637
esp,1,37,0.02702702702702703,24.08108108108108
gbr,1,375,0.0026666666666666666,34.736
hrv,1,8,0.125,5.875
irn,1,32,0.03125,6.53125
isr,1,73,0.0136986301369863,15.863013698630137
ltu,1,19,0.05263157894736842,13.157894736842104
nga,1,2,0.5,7.5
pol,1,61,0.01639344262295082,18.80327868852459
twn,1,5,0.2,9.4
usa,1,618,0.0016181229773462784,15.34789644012945
afg,0,3,0,2.666666666666667
alb,0,3,0,10.333333333333334
are,0,55,0,31.21818181818182
arm,0,20,0,13.9
atg,0,2,0,4.5
aus,0,7,0,44.285714285714285
aut,0,10,0,10
bgd,0,10,0,54.6
bgr,0,21,0,17.80952380952381
bhr,0,2,0,31.5
blz,0,1,0,10
bol,0,2,0,42
bra,0,38,0,29
can,0,23,0,7.869565217391305
che,0,6,0,7.333333333333333
chl,0,4,0,37.25
cmr,0,1,0,8
col,0,2,0,5
cri,0,2,0,50.5
cyp,0,30,0,40.63333333333333
cze,0,233,0,58.871244635193136
dnk,0,5,0,5
dom,0,1,0,8
dza,0,6,0,52.333333333333336
ecu,0,2,0,91
est,0,41,0,36.73170731707317
fin,0,31,0,5.774193548387097
fra,0,59,0,28.779661016949152
geo,0,48,0,15.083333333333334
gin,0,1,0,3
gnb,0,2,0,4.5
grc,0,12,0,8.416666666666668
grl,0,1,0,24
gtm,0,3,0,1.3333333333333333
hnd,0,1,0,87
hun,0,8,0,11.5
idn,0,38,0,51.89473684210526
ind,0,35,0,47.77142857142857
irl,0,5,0,13.8
irq,0,1,0,8
isl,0,1,0,7
ita,0,39,0,23.487179487179485
jam,0,3,0,7
jor,0,8,0,19.375
jpn,0,38,0,15.026315789473685
ken,0,3,0,33
khm,0,1,0,5
kwt,0,3,0,38
lao,0,1,0,8
lby,0,2,0,7
lka,0,1,0,11
lva,0,228,0,52.29824561403509
mar,0,3,0,85
mda,0,90,0,39.18888888888889
mex,0,13,0,12.307692307692308
mmr,0,1,0,7
mne,0,4,0,7.75
mng,0,2,0,6.5
mrt,0,1,0,5
mys,0,6,0,38.166666666666664
nor,0,12,0,9.5
npl,0,1,0,2
nzl,0,1,0,1
pak,0,8,0,71.25
pan,0,2,0,5.5
per,0,3,0,10.333333333333334
phl,0,19,0,32.21052631578947
prt,0,7,0,8.285714285714285
qat,0,3,0,8.333333333333332
rou,0,17,0,14.352941176470589
sau,0,27,0,5.7407407407407405
sgp,0,5,0,7.2
slv,0,2,0,14.5
srb,0,10,0,9.7
svk,0,6,0,7.333333333333333
svn,0,4,0,22.25
swe,0,43,0,6.232558139534884
syc,0,1,0,10
syr,0,6,0,5.666666666666667
tha,0,42,0,37.904761904761905
uga,0,1,0,8
ury,0,2,0,33
ven,0,2,0,32.5
vnm,0,36,0,38.47222222222222
yem,0,2,0,10
zaf,0,3,0,12.666666666666666
zzz,0,11,0,7.363636363636363
