country,clicks,impressions,ctr,position
uzb,2,40,0.05,9.55
are,0,1,0,2
arg,0,1,0,1
arm,0,2,0,9
aze,0,1,0,9
bra,0,1,0,1
can,0,3,0,4
col,0,1,0,19
deu,0,25,0,1.96
ecu,0,1,0,1
esp,0,2,0,7
est,0,1,0,10
fra,0,1,0,7
gbr,0,3,0,1.3333333333333333
geo,0,1,0,8
hun,0,1,0,9
ind,0,1,0,3
isr,0,3,0,26.666666666666668
ita,0,14,0,1.6428571428571428
kaz,0,8,0,7.25
kgz,0,1,0,8
lva,0,3,0,5
mda,0,1,0,2
mex,0,1,0,8
mys,0,1,0,7
nld,0,35,0,2.2
pse,0,1,0,2
rou,0,1,0,7
rus,0,36,0,44.166666666666664
tjk,0,1,0,9
ukr,0,5,0,52.2
ury,0,1,0,1
usa,0,49,0,6.448979591836735
ven,0,1,0,1
