date,clicks,impressions,ctr,position
2026-05-21,0,0,0,0
2026-05-22,0,7,0,1.2857142857142856
2026-05-23,0,0,0,0
2026-05-24,0,0,0,0
2026-05-25,0,0,0,0
2026-05-26,0,0,0,0
2026-05-27,0,0,0,0
2026-05-28,0,0,0,0
2026-05-29,0,0,0,0
2026-05-30,0,25,0,2.48
2026-05-31,0,7,0,4.714285714285714
2026-06-01,0,7,0,19.285714285714285
2026-06-02,0,3,0,5.666666666666667
2026-06-03,0,3,0,33
2026-06-04,0,8,0,6.375
2026-06-05,0,39,0,8.692307692307693
2026-06-06,0,20,0,8.75
2026-06-07,1,8,0.125,19.25
2026-06-08,1,49,0.02040816326530612,8.938775510204081
2026-06-09,0,9,0,23
2026-06-10,0,4,0,8.5
2026-06-11,0,6,0,23.5
2026-06-12,0,5,0,8.6
2026-06-13,0,9,0,30.666666666666668
2026-06-14,0,5,0,8.6
2026-06-15,0,19,0,21.526315789473685
2026-06-16,0,15,0,23.266666666666666
2026-06-17,0,27,0,17.22222222222222
2026-06-18,0,22,0,29.40909090909091
2026-06-19,0,5,0,23.4
2026-06-20,0,3,0,7
2026-06-21,0,31,0,4.516129032258064
2026-06-22,0,35,0,13.142857142857142
2026-06-23,0,20,0,13.7
2026-06-24,1,25,0.04,11.92
2026-06-25,1,11,0.09090909090909091,26.545454545454547
2026-06-26,1,8,0.125,4
2026-06-27,0,5,0,32
2026-06-28,0,2,0,7.5
2026-06-29,0,2,0,51
2026-06-30,0,9,0,41.55555555555556
2026-07-01,0,12,0,40
2026-07-02,0,14,0,19.571428571428573
2026-07-03,0,10,0,31.3
2026-07-04,2,13,0.15384615384615385,28.615384615384617
2026-07-05,0,28,0,23.035714285714285
2026-07-06,0,8,0,26.5
2026-07-07,1,24,0.041666666666666664,29
2026-07-08,0,16,0,23.5625
2026-07-09,1,20,0.05,39.8
2026-07-10,0,23,0,23.434782608695652
2026-07-11,1,22,0.045454545454545456,39.31818181818182
2026-07-12,1,39,0.02564102564102564,27.897435897435898
2026-07-13,2,49,0.04081632653061224,22.06122448979592
2026-07-14,2,51,0.0392156862745098,14.313725490196079
2026-07-15,1,44,0.022727272727272728,17.113636363636363
2026-07-16,0,47,0,20.148936170212767
2026-07-17,0,39,0,18.974358974358974
2026-07-18,0,26,0,26.46153846153846
2026-07-19,0,43,0,50.093023255813954
2026-07-20,0,38,0,36.39473684210526
2026-07-21,1,49,0.02040816326530612,34.734693877551024
2026-07-22,3,56,0.05357142857142857,26.964285714285715
2026-07-23,0,37,0,37.78378378378378
2026-07-24,0,53,0,27.62264150943396
2026-07-25,0,31,0,37.096774193548384
2026-07-26,2,41,0.04878048780487805,23.75609756097561
2026-07-27,1,48,0.020833333333333332,40.041666666666664
2026-07-28,1,77,0.012987012987012988,31.350649350649352
2026-07-29,1,94,0.010638297872340425,33.5
2026-07-30,2,94,0.02127659574468085,27.96808510638298
2026-07-31,0,114,0,36.1140350877193
2026-08-01,0,104,0,28.942307692307693
2026-08-02,3,193,0.015544041450777202,29.05699481865285
2026-08-03,4,226,0.017699115044247787,23.56637168141593
2026-08-04,2,211,0.009478672985781991,36.14218009478673
2026-08-05,4,234,0.017094017094017096,23.517094017094017
2026-08-06,5,465,0.010752688172043012,26.61720430107527
2026-08-07,7,276,0.025362318840579712,20.92391304347826
2026-08-08,2,196,0.01020408163265306,16.93877551020408
2026-08-09,9,313,0.02875399361022364,13.853035143769969
2026-08-10,3,375,0.008,14.064
2026-08-11,5,400,0.0125,11.6625
2026-08-12,6,379,0.0158311345646438,10.672823218997362
2026-08-13,2,469,0.0042643923240938165,15.01279317697228
2026-08-14,5,558,0.008960573476702509,11.206093189964157
2026-08-15,10,525,0.01904761904761905,12.982857142857142
2026-08-16,9,441,0.02040816326530612,20.27891156462585
2026-08-17,4,749,0.0053404539385847796,23.724966622162885
2026-08-18,15,766,0.0195822454308094,13.697127937336814
2026-08-19,10,718,0.013927576601671309,12.763231197771587
2026-08-20,13,793,0.01639344262295082,16.279949558638084
2026-08-21,13,814,0.01597051597051597,13.437346437346438
2026-08-22,10,720,0.013888888888888888,12.918055555555556
2026-08-23,14,1007,0.013902681231380337,18.793445878848065
2026-08-24,17,1216,0.013980263157894737,13.125822368421053
2026-08-25,18,1591,0.011313639220615965,12.370835952231301
2026-08-26,13,1284,0.010124610591900311,10.881619937694705
2026-08-27,19,1491,0.012743125419181758,13.157612340710932
2026-08-28,15,1263,0.011876484560570071,16.15439429928741
2026-08-29,20,1117,0.017905102954341987,9.701880035810206
2026-08-30,19,1343,0.014147431124348473,10.492926284437825
2026-08-31,25,1533,0.016307893020221786,11.686236138290933
2026-09-01,21,1685,0.012462908011869436,11.557863501483679
2026-09-02,34,4078,0.008337420304070623,7.45242766061795
2026-09-03,47,5431,0.008654023200147302,7.245442828208433
2026-09-04,39,4112,0.009484435797665369,9.016050583657588
2026-09-05,43,2930,0.014675767918088738,7.859044368600682
2026-09-06,42,4583,0.0091643028583897,8.11302640192014
2026-09-07,39,4336,0.008994464944649446,8.174815498154981
2026-09-08,34,4663,0.00729144327686039,7.086853956680248
2026-09-09,49,4884,0.010032760032760032,7.20004095004095
2026-09-10,57,4692,0.012148337595907928,7.062233589087809
2026-09-11,52,5073,0.010250344963532427,6.8176621328602405
2026-09-12,37,3902,0.009482316760635571,6.564582265504869
2026-09-13,86,4900,0.017551020408163264,6.715714285714285
2026-09-14,42,4096,0.01025390625,6.779296875
