query,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,176,9604,0.018325697625989172,4.675239483548522
chatgpt kirish,80,24641,0.0032466214845176737,7.367476969278844
chatgpt ilovasini yuklab olish,54,1930,0.027979274611398965,5.722279792746114
chatgpt yuklab olish,48,3732,0.012861736334405145,7.064844587352626
chatgpt ochish,22,3237,0.006796416434970652,6.06641952425085
chatgpt uz,12,685,0.017518248175182483,5.097810218978102
chatgpt bepul kirish,11,2206,0.004986400725294651,8.422937443336355
chatgpt uzbekcha bepul,9,967,0.009307135470527405,5.323681489141675
chatgpt kirish uzbek tilida,8,2014,0.003972194637537239,5.925024826216484
chatgpt uzbek tilida online,8,700,0.011428571428571429,5.897142857142857
chat gpt yuklash,7,613,0.011419249592169658,7.192495921696574
chatgpt uzbekcha online,7,1079,0.006487488415199258,5.085264133456905
chatgpt uzbek tilida gaplashish,6,647,0.00927357032457496,7.049459041731066
chatgpt uzbekcha,6,984,0.006097560975609756,6.227642276422764
gptbot,6,7,0.8571428571428571,1
chat gpt uzbekcha,5,180,0.027777777777777776,6.216666666666667
как оплатить чат gpt в узбекистане,5,22,0.22727272727272727,1.2272727272727273
chatgpt bepul,4,241,0.016597510373443983,6.2946058091286305
jaji piti online,4,670,0.005970149253731343,6.980597014925373
чат джипити узбекча,4,38,0.10526315789473684,6.315789473684211
chatgpt kirish login,3,115,0.02608695652173913,6.2
chatgpt tarjima,3,337,0.008902077151335312,6.480712166172107
chatgpt uzbekcha скачать,3,327,0.009174311926605505,8.629969418960243
chatgpt uzbekistan,3,161,0.018633540372670808,4.7018633540372665
chatgpt yuklash apk,3,65,0.046153846153846156,7.061538461538461
чат гпт узбекча,3,176,0.017045454545454544,5.607954545454546
chat gpt uzb,2,46,0.043478260869565216,4.326086956521739
chatgpt bepul versiyasi,2,18,0.1111111111111111,7.833333333333333
chatgpt online uzbek tilida,2,23,0.08695652173913043,6.608695652173913
chatgpt ozbekcha,2,257,0.007782101167315175,5.972762645914397
chatgpt oʻzbek tilida,2,106,0.018867924528301886,6.811320754716981
chatgpt oʻzbekcha,2,118,0.01694915254237288,7
chatgpt skachat uzbek tilida,2,137,0.014598540145985401,7.087591240875913
chatgpt uzb,2,112,0.017857142857142856,4.9375
chatgpt на узбекском,2,66,0.030303030303030304,4.454545454545455
чат гпт узб,2,20,0.1,3.35
bepul chatgpt,1,14,0.07142857142857142,6.642857142857143
chat gpt 4 uzbekistan,1,85,0.011764705882352941,6.541176470588235
chat gpt uchun prompt,1,13,0.07692307692307693,3.230769230769231
chat gpt uz,1,70,0.014285714285714285,4.614285714285714
chatgpt ilovasi,1,46,0.021739130434782608,6.608695652173913
chatgpt o'rnatish,1,61,0.01639344262295082,6.491803278688525
chatgpt o'zbekcha,1,106,0.009433962264150943,6.59433962264151
chatgpt ochish uzbek tilida,1,471,0.0021231422505307855,6.1571125265392785
chatgpt tarjimon,1,17,0.058823529411764705,7.764705882352941
chatgpt uchun prompt,1,40,0.025,7.625
chatgpt uzbek tilida,1,284,0.0035211267605633804,6.573943661971831
chatgpt uzbekcha tarjimon,1,57,0.017543859649122806,4.7368421052631575
chatgpt yozish,1,243,0.00411522633744856,8.893004115226336
chatgpt yuklash,1,117,0.008547008547008548,7.401709401709402
chatgpt yuklash uzbek tilida,1,6,0.16666666666666666,4.333333333333334
chatgpt скачать uzbek tilida,1,75,0.013333333333333334,6.973333333333334
chatgpt узбекистан,1,3,0.3333333333333333,6.333333333333333
chatgptga kirish,1,64,0.015625,3.65625
chpjt,1,1,1,3
как поговорить с ии,1,2,0.5,14.5
прайс смм специалиста,1,1,1,4
разработка сайтов,1,14,0.07142857142857142,44.5
чат гпт узбек тилида,1,7,0.14285714285714285,6.571428571428571
чат джипити узбек тилида,1,62,0.016129032258064516,7.82258064516129
чати пити узбекча,1,42,0.023809523809523808,7.095238095238095
"""elama""",0,1,0,25
1,0,1,0,4
@cb_survey_a2026_bot,0,2,0,8
ai manager,0,3,0,22.666666666666668
ai боты для бизнеса,0,7,0,86.57142857142857
ai консультант для сайта,0,1,0,18
ai менеджер,0,12,0,32.41666666666667
ai менеджеры,0,3,0,24.333333333333332
ai обработка заявок,0,2,0,67.5
ai продавец,0,9,0,25.666666666666668
ai11179,0,3,0,3.3333333333333335
ai60670,0,1,0,4
ai62911,0,1,0,10
ai67014,0,3,0,6.666666666666667
ai67024,0,3,0,7.666666666666667
ai67039,0,1,0,6
ai67050,0,1,0,10
ai67067,0,2,0,9.5
ai67069,0,2,0,4.5
ai67076,0,2,0,5.5
ai67089,0,2,0,8
ai67090,0,1,0,4
ai67109,0,1,0,10
ai67189,0,2,0,8
ai67226,0,1,0,8
ai67545,0,1,0,10
ai67622,0,1,0,6
ai67623,0,1,0,5
ai67628,0,1,0,4
ai67901,0,1,0,10
ai67903,0,2,0,9
ai67905,0,1,0,9
ai67963,0,2,0,10
ai67990,0,1,0,9
ai67991,0,2,0,9
ai67997,0,2,0,10
ai68339,0,1,0,6
ai97547,0,1,0,10
al chat что это,0,3,0,10.666666666666666
ammocrm,0,1,0,9
arzon sifatli veb sayt yaratish xizmati,0,2,0,75
audit digital marketing,0,1,0,2
bepul sayt yaratish,0,1,0,10
bitrich ai bot,0,1,0,9
boss digital,0,1,0,5
bot direct instagram,0,4,0,17
botlar,0,1,0,6
cajgbt,0,1,0,2
