query,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,11,1878,0.005857294994675187,8.209797657082003
chatgpt ilovasini yuklab olish,3,310,0.00967741935483871,7.2709677419354835
chatgpt yuklab olish,2,130,0.015384615384615385,4.7846153846153845
gptbot,2,2,1,1.5
chachpti,1,1,1,3
chatgpt ochish,1,98,0.01020408163265306,9.214285714285714
chatgpt uzbekistan,1,8,0.125,7.5
chatgpt на узбекском,1,16,0.0625,7.375
общение с ии,1,1,1,11
чат гпт узбек тилида,1,1,1,4
чат жпт узбекча,1,24,0.041666666666666664,6.75
1chatgpt.ru,0,1,0,9
ai бот для сайта,0,10,0,89.4
ai боты для бизнеса,0,5,0,87.8
ai менеджер,0,6,0,32.5
ai обработка заявок,0,2,0,65.5
ai продавец,0,6,0,37.5
ai61845,0,1,0,5
ai61853,0,1,0,6
ai66925,0,1,0,10
ai67069,0,1,0,9
ai67189,0,1,0,10
ai67256,0,1,0,4
ai67258,0,1,0,9
ai67279,0,1,0,10
ai67506,0,1,0,8
ai67623,0,1,0,5
ai67628,0,1,0,1
ai67864,0,1,0,8
ai67969,0,1,0,8
ai67976,0,1,0,10
ai67990,0,1,0,9
ai85506,0,1,0,9
api python telegram,0,1,0,44
arzon sifatli veb sayt yaratish xizmati,0,1,0,84
bot direct instagram,0,2,0,14.5
chadgpt на русском,0,1,0,72
chat gpt uchun prompt,0,1,0,6
chat gpt uz,0,34,0,6.235294117647059
chat gpt uzb,0,5,0,6.8
chat gpt uzbek,0,8,0,6.125
chat gpt uzbek tilida,0,15,0,8.933333333333334
chat gpt yuklab olish,0,9,0,8.88888888888889
chat gpt yuklash,0,1,0,11
chat gpt боты телеграм,0,1,0,46
chat gpt на русском,0,3,0,72
chat gpt по русски,0,1,0,66
chat на русском,0,1,0,63
chatbot crm,0,1,0,24
chatgpt kirish uzbek tilida,0,16,0,8.4375
chatgpt o'rnatish,0,8,0,6.25
chatgpt o'zbek tilida,0,3,0,9.333333333333334
chatgpt o'zbekcha,0,13,0,6.769230769230769
chatgpt ochish uzbek tilida,0,6,0,7
chatgpt online uzbek tilida,0,14,0,6.214285714285714
chatgpt oʻzbek tilida,0,1,0,14
chatgpt tarjima,0,10,0,6.5
chatgpt telegram bot,0,1,0,10
chatgpt uchun prompt,0,14,0,4.5
chatgpt uz,0,116,0,5.896551724137931
chatgpt uzb,0,13,0,4.769230769230769
chatgpt uzbek tilida,0,7,0,8.714285714285715
chatgpt uzbek tilida gaplashish,0,4,0,6.5
chatgpt uzbek tilida online,0,43,0,6.930232558139535
chatgpt uzbek tilida online ko rish,0,12,0,7
chatgpt uzbekcha online,0,4,0,8
chatgpt vs chatgpt,0,1,0,7
chatgpt vs gpt,0,3,0,3
chatgpt yuklab olish kompyuter uchun,0,7,0,8.571428571428571
chatgpt узбекистан,0,3,0,3
chatgpt.uz,0,32,0,4.375
chatgptni,0,1,0,8
chpt yuklab olish,0,2,0,9
claude play uz,0,1,0,7
click bot telegram,0,1,0,10
click telegram bot,0,5,0,7.2
cpa cpc,0,1,0,38
cpa cpl traffic,0,3,0,97.33333333333333
cpc and cpl,0,1,0,29
cpc ccc,0,1,0,72
cpc что это такое в рекламе,0,3,0,83
cpl cpc,0,1,0,52
cpm vs cpc vs cpa,0,2,0,82.5
crm chatbot,0,4,0,33.75
crm with chatbot,0,3,0,42
difference between chatgpt and gpt,0,1,0,33
digital boss,0,1,0,5
digital marketing ташкент,0,2,0,64.5
digital агентство,0,2,0,32
digital маркетинговое агентство,0,1,0,39
digital стратегия,0,1,0,9
direct перевод инстаграм,0,2,0,10.5
gpt bot,0,4,0,6
gpt chat на русском,0,2,0,48.5
gpt chat на русском языке,0,1,0,80
gpt для учебы,0,4,0,38.25
gpt на русском,0,1,0,81
gpt нейросеть онлайн,0,1,0,82
gptbots,0,1,0,67
ii chat,0,1,0,8
instagram direct nima,0,11,0,9.181818181818182
instagramda direct nima,0,7,0,7.571428571428571
mini app,0,1,0,81
o'zbekistonda biznes uchun ai bot,0,4,0,73.5
oddiy so'rov uzbek tilida,0,5,0,12.2
payme telegram,0,1,0,8
payme telegram bot,0,4,0,19.25
python bot telegram,0,2,0,47.5
python telegram bot,0,4,0,44
python telegram bot api,0,1,0,46
python telegram bot примеры,0,1,0,47
python tg bot,0,1,0,48
python-telegram-bot,0,1,0,44
razrabotka,0,1,0,25
savdoni avtomatlashtirish,0,2,0,18.5
sayt ochish,0,1,0,38
sayt tayyorlash,0,1,0,52
sayt tayyorlash xizmati,0,1,0,30
sayt yaratish,0,4,0,77.5
sayt yaratish xizmati,0,4,0,72.75
seo аудит пример,0,3,0,91.33333333333333
seo аудит сайта,0,1,0,85
seo аудит сайта пример,0,2,0,80
seo аудит сайта чек лист,0,11,0,89
seo аудит чек лист,0,10,0,85.4
seo оптимизация сайтов в ташкенте,0,2,0,76.5
seo поисковое продвижение,0,7,0,79.57142857142857
seo продвижение,0,35,0,73
seo продвижение в поиске,0,9,0,73.77777777777777
seo продвижение запросы,0,1,0,15
seo продвижение интернет магазина цена,0,1,0,7
seo продвижение раскрутка сайта,0,1,0,86
seo продвижение раскрутка сайтов,0,1,0,95
seo продвижение сайта,0,2,0,68.5
seo продвижение сайта в ташкенте,0,3,0,80
seo продвижение сайта что это,0,3,0,68.66666666666667
seo продвижение сайта что это такое,0,1,0,66
seo продвижение сайта это,0,3,0,62.333333333333336
seo продвижение сайтов,0,47,0,72.23404255319149
seo продвижение сайтов стоимость,0,1,0,50
seo продвижение сайтов что это,0,2,0,84
seo продвижение сайтов что это такое,0,1,0,61
seo продвижение сайтов это,0,2,0,65
seo продвижение ташкент,0,1,0,66
seo продвижение что входит,0,1,0,54
seo продвижение что это,0,4,0,64
seo продвижение что это такое,0,1,0,64
seo продвижение это,0,7,0,65.71428571428571
seo продвижение это что,0,3,0,68.66666666666667
seo продвижению,0,4,0,72.5
seo продвижения,0,1,0,76
seo продвижения это,0,2,0,75
seo ташкент,0,2,0,75.5
seo услуги что это,0,1,0,65
seo услуги что это такое,0,1,0,67
seo услуги это,0,1,0,72
seo чек лист,0,2,0,94.5
seo чеклист,0,1,0,100
smm продвижение,0,16,0,23.375
smm продвижение что это,0,2,0,28
smm продвижение что это такое,0,1,0,33
smm продвижение это,0,5,0,32.8
smm услуги,0,12,0,21.666666666666668
telegram api python,0,1,0,48
telegram bot api python,0,17,0,46.588235294117645
telegram bot python,0,2,0,50
telegram bot/python,0,1,0,61
telegram mini app,0,1,0,70
telegram mini apps,0,1,0,70
telegram бот на python,0,1,0,54
veb-sayt yaratish,0,1,0,62
