query,country,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,uzb,156,10672,0.01461769115442279,5.201180659670165
chatgpt kirish,uzb,70,23753,0.0029469961689049806,7.376373510714436
chatgpt yuklab olish,uzb,41,3497,0.011724335144409494,7.034029167858164
chatgpt ilovasini yuklab olish,uzb,32,1787,0.01790710688304421,5.69893676552882
chatgpt ilovasini yuklab olish,rus,24,404,0.0594059405940594,6.8094059405940595
chatgpt yuklab olish uzbek tilida,rus,22,616,0.03571428571428571,6.12987012987013
chatgpt ochish,uzb,19,3079,0.006170834686586554,6.150373497888925
chatgpt bepul kirish,uzb,11,2030,0.00541871921182266,8.493103448275862
chatgpt uz,uzb,10,774,0.012919896640826873,5.235142118863049
gptbot,uzb,10,13,0.7692307692307693,1.3846153846153846
chatgpt uzbekcha bepul,uzb,9,935,0.009625668449197862,5.3304812834224595
chatgpt kirish uzbek tilida,uzb,8,1945,0.004113110539845758,5.932133676092545
chatgpt uzbek tilida online,uzb,8,729,0.010973936899862825,5.969821673525377
chatgpt kirish,rus,7,608,0.011513157894736841,6.975328947368421
chatgpt uzbek tilida gaplashish,uzb,6,647,0.00927357032457496,7.052550231839258
chatgpt yuklab olish,rus,6,266,0.022556390977443608,6.2781954887218046
chat gpt uzbekcha,rus,4,26,0.15384615384615385,5.384615384615385
chat gpt yuklash,uzb,4,569,0.007029876977152899,7.172231985940246
chatgpt bepul,uzb,4,241,0.016597510373443983,6.2946058091286305
chatgpt uzbekcha,uzb,4,944,0.00423728813559322,6.25
chatgpt uzbekcha online,uzb,4,1014,0.0039447731755424065,5.126232741617357
как оплатить чат gpt в узбекистане,uzb,4,21,0.19047619047619047,1.1428571428571428
chat gpt yuklash,rus,3,40,0.075,7.55
chatgpt ochish,rus,3,208,0.014423076923076924,6.326923076923077
chatgpt tarjima,uzb,3,342,0.008771929824561403,6.4678362573099415
jaji piti online,uzb,3,659,0.004552352048558422,6.95144157814871
чат гпт узбекча,uzb,3,134,0.022388059701492536,5.858208955223881
чат джипити узбекча,rus,3,21,0.14285714285714285,5.380952380952381
chat gpt uzb,uzb,2,44,0.045454545454545456,4.681818181818182
chatgpt bepul versiyasi,uzb,2,16,0.125,7.875
chatgpt kirish login,uzb,2,107,0.018691588785046728,6.121495327102804
chatgpt online uzbek tilida,uzb,2,36,0.05555555555555555,6.361111111111111
chatgpt oʻzbek tilida,uzb,2,107,0.018691588785046728,6.878504672897196
chatgpt oʻzbekcha,uzb,2,117,0.017094017094017096,7.0085470085470085
chatgpt skachat uzbek tilida,uzb,2,108,0.018518518518518517,7.333333333333333
chatgpt uz,rus,2,21,0.09523809523809523,4.523809523809524
