query,device,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,MOBILE,140,9096,0.015391380826737027,4.673153034300792
chatgpt kirish,MOBILE,69,21475,0.0032130384167636788,7.354691501746217
chatgpt ilovasini yuklab olish,MOBILE,51,1838,0.027747551686615888,5.70348204570185
chatgpt yuklab olish,MOBILE,42,3128,0.013427109974424553,6.78420716112532
chatgpt yuklab olish uzbek tilida,DESKTOP,34,447,0.07606263982102908,4.72930648769575
chatgpt ochish,MOBILE,19,3076,0.006176853055916775,6.072821846553966
chatgpt bepul kirish,MOBILE,11,2135,0.005152224824355972,8.450585480093677
chatgpt kirish,DESKTOP,11,2995,0.003672787979966611,7.470784641068447
chatgpt uzbekcha bepul,MOBILE,9,926,0.009719222462203024,5.345572354211663
chatgpt uz,MOBILE,8,456,0.017543859649122806,5.267543859649122
chatgpt uzbek tilida online,MOBILE,8,690,0.011594202898550725,5.9
chat gpt yuklash,MOBILE,7,572,0.012237762237762238,7.129370629370629
chatgpt kirish uzbek tilida,MOBILE,7,1975,0.0035443037974683543,5.9270886075949365
chatgpt uzbekcha online,MOBILE,7,1008,0.006944444444444444,5.069444444444445
chatgpt uzbekcha,MOBILE,6,832,0.007211538461538462,6.243990384615385
chatgpt yuklab olish,DESKTOP,6,569,0.01054481546572935,8.659050966608085
chat gpt uzbekcha,MOBILE,5,159,0.031446540880503145,5.7924528301886795
chatgpt uzbek tilida gaplashish,MOBILE,5,630,0.007936507936507936,7.06984126984127
chatgpt uz,DESKTOP,4,227,0.01762114537444934,4.753303964757709
gptbot,MOBILE,4,4,1,1
jaji piti online,MOBILE,4,646,0.006191950464396285,6.979876160990712
как оплатить чат gpt в узбекистане,MOBILE,4,13,0.3076923076923077,1.3076923076923077
чат джипити узбекча,MOBILE,4,35,0.11428571428571428,6.085714285714285
chatgpt ilovasini yuklab olish,DESKTOP,3,67,0.04477611940298507,6.208955223880597
chatgpt kirish login,MOBILE,3,109,0.027522935779816515,6.165137614678899
chatgpt tarjima,MOBILE,3,307,0.009771986970684038,6.423452768729642
chatgpt uzbekcha скачать,MOBILE,3,313,0.009584664536741214,8.654952076677317
chatgpt uzbekistan,MOBILE,3,141,0.02127659574468085,4.666666666666666
chatgpt yuklash apk,MOBILE,3,64,0.046875,7.03125
чат гпт узбекча,MOBILE,3,146,0.02054794520547945,5.575342465753424
chat gpt uzb,MOBILE,2,40,0.05,4.35
chatgpt bepul,DESKTOP,2,53,0.03773584905660377,6.6415094339622645
chatgpt bepul,MOBILE,2,187,0.0106951871657754,6.197860962566845
chatgpt ochish,DESKTOP,2,136,0.014705882352941176,5.985294117647059
chatgpt online uzbek tilida,DESKTOP,2,11,0.18181818181818182,6.636363636363637
chatgpt ozbekcha,MOBILE,2,209,0.009569377990430622,5.91866028708134
chatgpt oʻzbek tilida,MOBILE,2,99,0.020202020202020204,6.747474747474747
chatgpt oʻzbekcha,MOBILE,2,117,0.017094017094017096,7
chatgpt skachat uzbek tilida,MOBILE,2,125,0.016,7.064
chatgpt uzb,MOBILE,2,90,0.022222222222222223,5.088888888888889
chatgpt yuklab olish uzbek tilida,TABLET,2,61,0.03278688524590164,4.590163934426229
chatgpt на узбекском,DESKTOP,2,23,0.08695652173913043,3.869565217391304
gptbot,DESKTOP,2,3,0.6666666666666666,1
bepul chatgpt,MOBILE,1,14,0.07142857142857142,6.642857142857143
chat gpt 4 uzbekistan,MOBILE,1,78,0.01282051282051282,6.512820512820513
chat gpt uchun prompt,MOBILE,1,11,0.09090909090909091,3.4545454545454546
chat gpt uz,MOBILE,1,48,0.020833333333333332,4.770833333333334
chatgpt bepul versiyasi,DESKTOP,1,3,0.3333333333333333,8
chatgpt bepul versiyasi,MOBILE,1,15,0.06666666666666667,7.8
chatgpt ilovasi,MOBILE,1,44,0.022727272727272728,6.4772727272727275
chatgpt kirish uzbek tilida,TABLET,1,9,0.1111111111111111,6
chatgpt o'rnatish,MOBILE,1,35,0.02857142857142857,5.4
chatgpt o'zbekcha,DESKTOP,1,37,0.02702702702702703,6.945945945945946
chatgpt ochish,TABLET,1,25,0.04,5.72
chatgpt ochish uzbek tilida,MOBILE,1,460,0.002173913043478261,6.15
chatgpt tarjimon,MOBILE,1,13,0.07692307692307693,7.538461538461538
chatgpt uchun prompt,MOBILE,1,39,0.02564102564102564,7.666666666666667
chatgpt uzbek tilida,MOBILE,1,242,0.004132231404958678,6.545454545454546
chatgpt uzbek tilida gaplashish,TABLET,1,2,0.5,7.5
chatgpt uzbekcha tarjimon,MOBILE,1,53,0.018867924528301886,4.754716981132075
chatgpt yozish,DESKTOP,1,60,0.016666666666666666,9.316666666666666
chatgpt yuklash,MOBILE,1,103,0.009708737864077669,7.271844660194175
chatgpt yuklash uzbek tilida,DESKTOP,1,4,0.25,4
chatgpt скачать uzbek tilida,DESKTOP,1,7,0.14285714285714285,6.428571428571429
chatgpt узбекистан,MOBILE,1,1,1,8
chatgptga kirish,MOBILE,1,57,0.017543859649122806,3.6140350877192984
chpjt,MOBILE,1,1,1,3
как оплатить чат gpt в узбекистане,DESKTOP,1,9,0.1111111111111111,1.1111111111111112
как поговорить с ии,MOBILE,1,2,0.5,14.5
прайс смм специалиста,DESKTOP,1,1,1,4
разработка сайтов,DESKTOP,1,11,0.09090909090909091,41.09090909090909
чат гпт узб,DESKTOP,1,5,0.2,3.4
чат гпт узб,MOBILE,1,15,0.06666666666666667,3.3333333333333335
чат гпт узбек тилида,MOBILE,1,3,0.3333333333333333,4.666666666666666
чат джипити узбек тилида,MOBILE,1,27,0.037037037037037035,7.62962962962963
чати пити узбекча,MOBILE,1,37,0.02702702702702703,7.054054054054054
"""elama""",DESKTOP,0,1,0,25
1,MOBILE,0,1,0,4
@cb_survey_a2026_bot,DESKTOP,0,2,0,8
ai manager,DESKTOP,0,3,0,22.666666666666668
ai боты для бизнеса,DESKTOP,0,7,0,86.57142857142857
ai консультант для сайта,DESKTOP,0,1,0,18
ai менеджер,DESKTOP,0,11,0,32.45454545454545
ai менеджер,MOBILE,0,1,0,32
ai менеджеры,DESKTOP,0,3,0,24.333333333333332
ai обработка заявок,DESKTOP,0,2,0,67.5
ai продавец,DESKTOP,0,6,0,29.5
ai продавец,MOBILE,0,3,0,18
ai11179,DESKTOP,0,3,0,3.3333333333333335
ai60670,DESKTOP,0,1,0,4
ai62911,DESKTOP,0,1,0,10
ai67014,DESKTOP,0,3,0,6.666666666666667
ai67024,DESKTOP,0,3,0,7.666666666666667
ai67039,DESKTOP,0,1,0,6
ai67050,DESKTOP,0,1,0,10
ai67067,DESKTOP,0,2,0,9.5
ai67069,DESKTOP,0,2,0,4.5
ai67076,DESKTOP,0,2,0,5.5
ai67089,DESKTOP,0,2,0,8
ai67090,DESKTOP,0,1,0,4
