query,page,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,174,9601,0.01812311217581502,4.674408915737944
chatgpt kirish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,74,21142,0.003500141897644499,7.225853750827736
chatgpt ilovasini yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,54,1930,0.027979274611398965,5.722279792746114
chatgpt yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,48,3732,0.012861736334405145,7.064844587352626
chatgpt bepul kirish,https://gptbot.uz/uz/gpt-uzbek-tilida/,11,2205,0.004988662131519274,8.41904761904762
chatgpt ochish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,11,1855,0.005929919137466307,5.940700808625337
chatgpt ochish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,9,1193,0.0075440067057837385,6.271584241408215
chatgpt uz,https://gptbot.uz/ru/gpt-chat/,9,368,0.024456521739130436,4.4375
chatgpt uzbekcha bepul,https://gptbot.uz/uz/gpt-uzbek-tilida/,9,939,0.009584664536741214,5.326943556975506
chatgpt uzbek tilida online,https://gptbot.uz/uz/gpt-uzbek-tilida/,8,665,0.012030075187969926,5.738345864661654
chat gpt yuklash,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,7,613,0.011419249592169658,7.192495921696574
chatgpt kirish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,7,1920,0.0036458333333333334,5.868229166666667
chatgpt uzbekcha online,https://gptbot.uz/ru/gpt-chat/,7,1011,0.006923837784371909,5
chatgpt uzbek tilida gaplashish,https://gptbot.uz/uz/gpt-uzbek-tilida/,6,638,0.009404388714733543,7.018808777429467
gptbot,https://gptbot.uz/,6,7,0.8571428571428571,1
как оплатить чат gpt в узбекистане,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,5,22,0.22727272727272727,1.8181818181818183
chat gpt uzbekcha,https://gptbot.uz/ru/gpt-chat/,4,18,0.2222222222222222,4.611111111111111
chatgpt bepul,https://gptbot.uz/ru/gpt-chat/,4,223,0.017937219730941704,6.147982062780269
chatgpt uzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,4,873,0.004581901489117984,6.20504009163803
jaji piti online,https://gptbot.uz/ru/gpt-chat/,4,612,0.006535947712418301,6.892156862745098
чат джипити узбекча,https://gptbot.uz/ru/gpt-chat/,4,38,0.10526315789473684,6.315789473684211
chatgpt kirish,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,3,1714,0.001750291715285881,8.79463243873979
chatgpt kirish,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,1796,0.0016703786191536749,7.71826280623608
chatgpt kirish login,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,3,111,0.02702702702702703,6.126126126126126
chatgpt tarjima,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,324,0.009259259259259259,6.521604938271605
chatgpt uz,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,316,0.00949367088607595,5.860759493670886
chatgpt uzbekistan,https://gptbot.uz/ru/gpt-chat/,3,90,0.03333333333333333,4.044444444444444
chatgpt yuklash apk,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,3,65,0.046153846153846156,7.061538461538461
чат гпт узбекча,https://gptbot.uz/uz/gpt-uzbek-tilida/,3,136,0.022058823529411766,5.860294117647059
chat gpt uzb,https://gptbot.uz/ru/gpt-chat/,2,36,0.05555555555555555,3.611111111111111
chatgpt bepul versiyasi,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2,18,0.1111111111111111,7.833333333333333
chatgpt ochish,https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2,193,0.010362694300518135,6.455958549222798
chatgpt online uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,22,0.09090909090909091,6.590909090909091
chatgpt ozbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,119,0.01680672268907563,6.504201680672269
chatgpt oʻzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,101,0.019801980198019802,6.7227722772277225
chatgpt skachat uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2,126,0.015873015873015872,7.26984126984127
chatgpt uzb,https://gptbot.uz/ru/gpt-chat/,2,83,0.024096385542168676,4.518072289156626
chatgpt uzbekcha,https://gptbot.uz/ru/gpt-chat/,2,111,0.018018018018018018,6.405405405405405
chatgpt uzbekcha скачать,https://gptbot.uz/ru/gpt-chat/,2,243,0.00823045267489712,8.8559670781893
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,2,26,0.07692307692307693,14.423076923076923
chatgpt на узбекском,https://gptbot.uz/ru/gpt-chat/,2,64,0.03125,4.375
чат гпт узб,https://gptbot.uz/ru/gpt-chat/,2,20,0.1,3.35
bepul chatgpt,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,11,0.09090909090909091,7.090909090909091
chat gpt 4 uzbekistan,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,55,0.01818181818181818,6.745454545454545
chat gpt uchun prompt,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,1,13,0.07692307692307693,3.230769230769231
chat gpt uz,https://gptbot.uz/ru/gpt-chat/,1,38,0.02631578947368421,4.105263157894736
chat gpt uzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,161,0.006211180124223602,5.913043478260869
chatgpt ilovasi,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,46,0.021739130434782608,6.608695652173913
chatgpt kirish uzbek tilida,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1,959,0.0010427528675703858,9.752867570385819
chatgpt o'rnatish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,60,0.016666666666666666,6.6
chatgpt o'zbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,103,0.009708737864077669,6.543689320388349
chatgpt ochish,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,26,0.038461538461538464,9.038461538461538
chatgpt ochish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,107,0.009345794392523364,6.289719626168225
chatgpt oʻzbekcha,https://gptbot.uz/ru/gpt-chat/,1,1,1,1
chatgpt oʻzbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,117,0.008547008547008548,7.051282051282051
chatgpt tarjimon,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,17,0.058823529411764705,7.764705882352941
chatgpt uchun prompt,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,1,40,0.025,7.625
chatgpt uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,273,0.003663003663003663,6.534798534798535
chatgpt uzbekcha tarjimon,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,57,0.017543859649122806,4.7368421052631575
chatgpt uzbekcha скачать,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,18,0.05555555555555555,10.055555555555555
chatgpt yozish,https://gptbot.uz/ru/gpt-chat/,1,209,0.004784688995215311,8.889952153110048
chatgpt yuklash,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,117,0.008547008547008548,7.401709401709402
chatgpt yuklash uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,6,0.16666666666666666,4.333333333333334
chatgpt скачать uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,68,0.014705882352941176,6.75
chatgpt узбекистан,https://gptbot.uz/ru/gpt-chat/,1,3,0.3333333333333333,6.333333333333333
chatgptga kirish,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1,64,0.015625,3.65625
chpjt,https://gptbot.uz/ru/gpt-chat/,1,1,1,3
как поговорить с ии,https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,1,2,0.5,14.5
прайс смм специалиста,https://gptbot.uz/ru/blog/stoimost-i-pakety-smm-uslug-v-tashkente/,1,1,1,4
разработка сайтов,https://gptbot.uz/ru/razrabotka-saytov-tashkent/,1,14,0.07142857142857142,44.5
чат гпт узбек тилида,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,6,0.16666666666666666,6.333333333333333
чат джипити узбек тилида,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,62,0.016129032258064516,7.82258064516129
чати пити узбекча,https://gptbot.uz/ru/gpt-chat/,1,14,0.07142857142857142,6.071428571428571
"""elama""",https://gptbot.uz/ru/blog/telegram-ads-ili-posevy-v-kanalah/,0,1,0,25
1,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,1,0,4
@cb_survey_a2026_bot,https://gptbot.uz/ru/stoimost-chat-bota/,0,2,0,8
ai manager,https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,0,3,0,22.666666666666668
ai боты для бизнеса,https://gptbot.uz/ru/blog/chatgpt-ili-ai-bot-dlya-biznesa/,0,2,0,60.5
ai боты для бизнеса,https://gptbot.uz/ru/blog/chto-takoe-ai-bot-dlya-biznesa/,0,5,0,97
ai консультант для сайта,https://gptbot.uz/ru/ai-chat-dlya-sayta/,0,1,0,18
ai менеджер,https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,0,12,0,32.41666666666667
