query,page,clicks,impressions,ctr,position
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,11,1876,0.005863539445628998,8.195628997867804
chatgpt ilovasini yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,3,310,0.00967741935483871,7.2709677419354835
chatgpt yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2,130,0.015384615384615385,4.7846153846153845
gptbot,https://gptbot.uz/,2,2,1,1.5
chachpti,https://gptbot.uz/ru/gpt-chat/,1,1,1,3
chatgpt ochish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1,94,0.010638297872340425,9.202127659574469
chatgpt uzbekistan,https://gptbot.uz/ru/gpt-chat/,1,6,0.16666666666666666,7.166666666666667
chatgpt на узбекском,https://gptbot.uz/ru/gpt-chat/,1,15,0.06666666666666667,7.466666666666667
gptbot,https://gptbot.uz/uz/,1,1,1,3
общение с ии,https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,1,1,1,11
чат гпт узбек тилида,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,1,1,4
чат жпт узбекча,https://gptbot.uz/uz/gpt-uzbek-tilida/,1,24,0.041666666666666664,6.75
1chatgpt.ru,https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,0,1,0,9
ai бот для сайта,https://gptbot.uz/ru/blog/chat-bot-dlya-sayta/,0,10,0,89.4
ai боты для бизнеса,https://gptbot.uz/ru/blog/chatgpt-ili-ai-bot-dlya-biznesa/,0,3,0,84.66666666666667
ai боты для бизнеса,https://gptbot.uz/ru/blog/chto-takoe-ai-bot-dlya-biznesa/,0,1,0,96
ai боты для бизнеса,https://gptbot.uz/ru/blog/kak-vybrat-ai-bota-dlya-biznesa/,0,1,0,89
ai менеджер,https://gptbot.uz/ru/blog/ai-menedzher-dlya-instagram/,0,1,0,1
ai менеджер,https://gptbot.uz/ru/blog/chto-takoe-ai-menedzher-i-kak-on-rabotaet/,0,5,0,38.8
ai обработка заявок,https://gptbot.uz/ru/ai-chat-dlya-sayta-polzovatel-zayavki/,0,1,0,87
ai обработка заявок,https://gptbot.uz/ru/avtomatizatsiya-zayavok/,0,1,0,70
ai обработка заявок,https://gptbot.uz/ru/bot-dlya-obrabotki-zayavok/,0,2,0,65.5
ai обработка заявок,https://gptbot.uz/ru/sayt-s-ai-botom/,0,1,0,82
ai продавец,https://gptbot.uz/ru/ai-prodavec/,0,6,0,37.5
ai61845,https://gptbot.uz/ru/gpt-chat/,0,1,0,5
ai61853,https://gptbot.uz/ru/gpt-chat/,0,1,0,6
ai66925,https://gptbot.uz/ru/gpt-chat/,0,1,0,10
ai67069,https://gptbot.uz/ru/gpt-chat/,0,1,0,9
ai67189,https://gptbot.uz/ru/gpt-chat/,0,1,0,10
ai67256,https://gptbot.uz/ru/gpt-chat/,0,1,0,4
ai67258,https://gptbot.uz/ru/,0,1,0,9
ai67279,https://gptbot.uz/ru/,0,1,0,10
ai67506,https://gptbot.uz/ru/gpt-chat/,0,1,0,8
ai67623,https://gptbot.uz/ru/gpt-chat/,0,1,0,5
ai67628,https://gptbot.uz/ru/gpt-chat/,0,1,0,1
ai67864,https://gptbot.uz/ru/gpt-chat/,0,1,0,8
ai67969,https://gptbot.uz/ru/gpt-chat/,0,1,0,8
ai67976,https://gptbot.uz/ru/,0,1,0,10
ai67990,https://gptbot.uz/ru/,0,1,0,9
ai85506,https://gptbot.uz/ru/gpt-chat/,0,1,0,9
api python telegram,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,1,0,44
arzon sifatli veb sayt yaratish xizmati,https://gptbot.uz/uz/sayt-yaratish/,0,1,0,84
bot direct instagram,https://gptbot.uz/ru/blog/instagram-direct-bot-kak-rabotaet/,0,1,0,19
bot direct instagram,https://gptbot.uz/ru/instagram-direct-bot/,0,1,0,10
chadgpt на русском,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0,1,0,72
chat gpt uchun prompt,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,0,1,0,6
chat gpt uz,https://gptbot.uz/ru/gpt-chat/,0,30,0,6.033333333333333
chat gpt uz,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,4,0,7.75
chat gpt uzb,https://gptbot.uz/ru/gpt-chat/,0,5,0,6.8
chat gpt uzbek,https://gptbot.uz/ru/gpt-chat/,0,2,0,6
chat gpt uzbek,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,6,0,6.166666666666667
chat gpt uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,0,9,0,9.88888888888889
chat gpt uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,6,0,7.5
chat gpt yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,9,0,8.88888888888889
chat gpt yuklash,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,1,0,11
chat gpt боты телеграм,https://gptbot.uz/ru/blog/kak-podklyuchit-chatgpt-k-telegram-botu/,0,1,0,46
chat gpt на русском,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0,2,0,85
chat gpt на русском,https://gptbot.uz/ru/blog/chat-gpt-online/,0,2,0,69
chat gpt по русски,https://gptbot.uz/ru/blog/chat-gpt-online/,0,1,0,66
chat на русском,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0,1,0,63
chatbot crm,https://gptbot.uz/ru/avtomatizatsiya-prodazh/,0,1,0,24
chatgpt kirish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,16,0,8.4375
chatgpt o'rnatish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,8,0,6.25
chatgpt o'zbek tilida,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,0,3,0,9.333333333333334
chatgpt o'zbekcha,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,13,0,6.769230769230769
chatgpt ochish,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,4,0,9.5
chatgpt ochish uzbek tilida,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,5,0,7
chatgpt ochish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,1,0,7
chatgpt online uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,14,0,6.214285714285714
chatgpt oʻzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,1,0,14
chatgpt tarjima,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,10,0,6.5
chatgpt telegram bot,https://gptbot.uz/ru/blog/kak-podklyuchit-chatgpt-k-telegram-botu/,0,1,0,10
chatgpt uchun prompt,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,0,14,0,4.5
chatgpt uz,https://gptbot.uz/ru/gpt-chat/,0,106,0,5.60377358490566
chatgpt uz,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,10,0,9
chatgpt uzb,https://gptbot.uz/ru/gpt-chat/,0,13,0,4.769230769230769
chatgpt uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,7,0,8.714285714285715
chatgpt uzbek tilida gaplashish,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,4,0,6.5
chatgpt uzbek tilida online,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,43,0,6.930232558139535
chatgpt uzbek tilida online ko rish,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,12,0,7
chatgpt uzbekcha online,https://gptbot.uz/ru/gpt-chat/,0,2,0,6.5
chatgpt uzbekcha online,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,2,0,9.5
chatgpt uzbekistan,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,2,0,8.5
chatgpt vs chatgpt,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,0,1,0,7
chatgpt vs gpt,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,0,3,0,3
chatgpt yuklab olish kompyuter uchun,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,7,0,8.571428571428571
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida-ai-chat/,0,1,0,42
chatgpt yuklab olish uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida/,0,2,0,21.5
chatgpt на узбекском,https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,0,1,0,6
chatgpt узбекистан,https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,0,1,0,3
chatgpt узбекистан,https://gptbot.uz/ru/gpt-chat/,0,2,0,3
chatgpt.uz,https://gptbot.uz/ru/gpt-chat/,0,32,0,4.375
chatgptni,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,1,0,8
chpt yuklab olish,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0,2,0,9
claude play uz,https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,0,1,0,7
click bot telegram,https://gptbot.uz/ru/blog/priem-oplaty-payme-click-v-telegram-bote/,0,1,0,10
click telegram bot,https://gptbot.uz/ru/blog/priem-oplaty-payme-click-v-telegram-bote/,0,3,0,6
click telegram bot,https://gptbot.uz/uz/blog/telegram-botda-payme-click-humo-tolovlarini-qabul-qilish/,0,2,0,9
cpa cpc,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,1,0,38
cpa cpl traffic,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,3,0,97.33333333333333
cpc and cpl,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,1,0,29
cpc ccc,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,1,0,72
cpc что это такое в рекламе,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,3,0,83
cpl cpc,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,1,0,52
cpm vs cpc vs cpa,https://gptbot.uz/ru/blog/cpa-cpm-cpc-cpl-v-reklame/,0,2,0,82.5
crm chatbot,https://gptbot.uz/ru/avtomatizatsiya-prodazh/,0,4,0,33.75
crm with chatbot,https://gptbot.uz/ru/avtomatizatsiya-prodazh/,0,3,0,42
difference between chatgpt and gpt,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,0,1,0,33
digital boss,https://gptbot.uz/boss-digital/,0,1,0,5
digital marketing ташкент,https://gptbot.uz/ru/digital-marketing-tashkent/,0,2,0,64.5
digital агентство,https://gptbot.uz/ru/blog/kak-vybrat-digital-agentstvo-v-tashkente/,0,2,0,32
digital маркетинговое агентство,https://gptbot.uz/ru/blog/kak-vybrat-digital-agentstvo-v-tashkente/,0,1,0,39
digital стратегия,https://gptbot.uz/ru/blog/digital-strategiya-dlya-biznesa-v-uzbekistane/,0,1,0,9
direct перевод инстаграм,https://gptbot.uz/ru/blog/instagram-direct-bot-kak-rabotaet/,0,2,0,10.5
gpt bot,https://gptbot.uz/uz/gpt-bot-biznes-uchun/,0,4,0,6
gpt chat на русском,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0,2,0,48.5
gpt chat на русском языке,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0,1,0,80
gpt для учебы,https://gptbot.uz/ru/gpt-dlya-ucheby/,0,4,0,38.25
gpt на русском,https://gptbot.uz/ru/blog/chat-gpt-na-russkom/,0,1,0,81
gpt нейросеть онлайн,https://gptbot.uz/ru/blog/chat-gpt-online/,0,1,0,82
gptbot,https://gptbot.uz/ru/gpt-chat/,0,1,0,9
gptbots,https://gptbot.uz/,0,1,0,67
ii chat,https://gptbot.uz/ru/blog/ii-chat-na-russkom-chto-eto-i-kakie-byvayut/,0,1,0,8
instagram direct nima,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,0,11,0,9.454545454545455
instagram direct nima,https://gptbot.uz/uz/instagram-uchun-ai-menejer/,0,3,0,9
instagramda direct nima,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,0,4,0,7.5
instagramda direct nima,https://gptbot.uz/uz/instagram-uchun-ai-menejer/,0,3,0,7.666666666666667
mini app,https://gptbot.uz/ru/blog/telegram-mini-app-chto-eto/,0,1,0,81
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/ru/blog/ai-bot-dlya-biznesa-v-uzbekistane/,0,1,0,84
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/ru/gpt-dlya-biznesa-v-uzbekistane/,0,1,0,88
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/ru/gpt-dlya-biznesa/,0,1,0,86
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/ru/o-kompanii/,0,1,0,90
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/uz/,0,1,0,93
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/uz/biznes-uchun-ai-bot/,0,1,0,51
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/uz/blog/chat-gpt-uzbek-biznes-uchun/,0,1,0,69
o'zbekistonda biznes uchun ai bot,https://gptbot.uz/uz/sayt-uchun-ai-bot/,0,1,0,81
oddiy so'rov uzbek tilida,https://gptbot.uz/uz/gpt-uzbek-tilida-ai-chat/,0,5,0,12.2
payme telegram,https://gptbot.uz/ru/blog/priem-oplaty-payme-click-v-telegram-bote/,0,1,0,8
payme telegram bot,https://gptbot.uz/ru/blog/priem-oplaty-payme-click-v-telegram-bote/,0,4,0,20.5
payme telegram bot,https://gptbot.uz/ru/blog/telegram-bot-s-oplatoy-payme-click/,0,1,0,18
payme telegram bot,https://gptbot.uz/uz/blog/telegram-botda-payme-click-humo-tolovlarini-qabul-qilish/,0,1,0,23
python bot telegram,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,2,0,47.5
python telegram bot,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,4,0,44
python telegram bot api,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,1,0,46
python telegram bot примеры,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,1,0,47
python tg bot,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,1,0,48
python-telegram-bot,https://gptbot.uz/ru/blog/telegram-bot-na-python/,0,1,0,44
razrabotka,https://gptbot.uz/ru/razrabotka-saytov-tashkent/,0,1,0,25
