date,clicks,impressions,ctr,position
2026-05-21,0,0,0,0
2026-05-22,0,0,0,0
2026-05-23,0,0,0,0
2026-05-24,0,0,0,0
2026-05-25,0,0,0,0
2026-05-26,0,0,0,0
2026-05-27,0,0,0,0
2026-05-28,0,0,0,0
2026-05-29,0,0,0,0
2026-05-30,0,0,0,0
2026-05-31,0,0,0,0
2026-06-01,0,0,0,0
2026-06-02,0,0,0,0
2026-06-03,0,0,0,0
2026-06-04,1,2,0.5,26
2026-06-05,0,0,0,0
2026-06-06,0,0,0,0
2026-06-07,0,0,0,0
2026-06-08,0,0,0,0
2026-06-09,0,1,0,11
2026-06-10,0,0,0,0
2026-06-11,0,0,0,0
2026-06-12,0,0,0,0
2026-06-13,0,0,0,0
2026-06-14,0,0,0,0
2026-06-15,0,0,0,0
2026-06-16,0,0,0,0
2026-06-17,0,0,0,0
2026-06-18,0,2,0,33.5
2026-06-19,0,1,0,7
2026-06-20,0,2,0,35.5
2026-06-21,0,0,0,0
2026-06-22,0,1,0,78
2026-06-23,0,1,0,41
2026-06-24,0,2,0,51.5
2026-06-25,0,0,0,0
2026-06-26,0,2,0,15
2026-06-27,0,1,0,7
2026-06-28,0,0,0,0
2026-06-29,0,2,0,21.5
2026-06-30,0,5,0,33
2026-07-01,0,2,0,32.5
2026-07-02,0,0,0,0
2026-07-03,0,3,0,36.333333333333336
2026-07-04,0,0,0,0
2026-07-05,0,1,0,29
2026-07-06,0,3,0,36.333333333333336
2026-07-07,0,0,0,0
2026-07-08,0,0,0,0
2026-07-09,0,0,0,0
2026-07-10,0,0,0,0
2026-07-11,0,0,0,0
2026-07-12,0,0,0,0
2026-07-13,0,1,0,37
2026-07-14,0,2,0,12
2026-07-15,0,0,0,0
2026-07-16,0,0,0,0
2026-07-17,0,0,0,0
2026-07-18,0,2,0,52
2026-07-19,0,0,0,0
2026-07-20,0,2,0,78
2026-07-21,0,1,0,10
2026-07-22,0,1,0,4
2026-07-23,0,2,0,48
2026-07-24,0,1,0,34
2026-07-25,0,0,0,0
2026-07-26,0,2,0,41
2026-07-27,0,0,0,0
2026-07-28,0,10,0,36.7
2026-07-29,0,10,0,24.7
2026-07-30,0,10,0,39.1
2026-07-31,0,8,0,29.5
2026-08-01,0,10,0,25.2
2026-08-02,0,24,0,32.5
2026-08-03,0,21,0,24.19047619047619
2026-08-04,0,33,0,41.24242424242424
2026-08-05,0,17,0,43.588235294117645
2026-08-06,0,34,0,29.61764705882353
2026-08-07,0,37,0,31.64864864864865
2026-08-08,0,20,0,28.35
2026-08-09,0,27,0,31.14814814814815
2026-08-10,0,36,0,36.30555555555556
2026-08-11,0,28,0,22.5
2026-08-12,0,30,0,36.9
2026-08-13,0,30,0,32.33333333333333
2026-08-14,0,50,0,39.36
2026-08-15,0,43,0,29.25581395348837
2026-08-16,0,31,0,39.61290322580645
2026-08-17,0,55,0,31.654545454545456
2026-08-18,0,44,0,34.65909090909091
2026-08-19,0,36,0,29.27777777777778
2026-08-20,0,46,0,35.41304347826087
2026-08-21,0,53,0,28.22641509433962
2026-08-22,0,36,0,24.444444444444443
2026-08-23,0,24,0,26.333333333333332
2026-08-24,1,43,0.023255813953488372,24.232558139534884
2026-08-25,0,30,0,33.666666666666664
2026-08-26,0,26,0,30.076923076923077
2026-08-27,0,56,0,25.446428571428573
2026-08-28,0,33,0,39.515151515151516
2026-08-29,0,33,0,23.484848484848484
2026-08-30,0,31,0,27.451612903225808
2026-08-31,0,32,0,23.5
2026-09-01,0,23,0,27.695652173913043
2026-09-02,0,113,0,20.513274336283185
2026-09-03,1,72,0.013888888888888888,25.61111111111111
2026-09-04,0,74,0,21.513513513513512
2026-09-05,0,36,0,22.77777777777778
2026-09-06,0,86,0,20.58139534883721
2026-09-07,0,112,0,17.723214285714285
2026-09-08,0,68,0,23.926470588235293
2026-09-09,0,83,0,28.132530120481928
2026-09-10,0,87,0,28.17241379310345
2026-09-11,0,135,0,20.348148148148148
2026-09-12,1,64,0.015625,22.359375
2026-09-13,1,95,0.010526315789473684,17.13684210526316
2026-09-14,1,96,0.010416666666666666,26.604166666666668
